Europa - Champions League
Países Baixos - Eredivisie Playoffs
América do Sul - Copa Libertadores
Alemanha - Regionalliga: West
Alemanha - Regionalliga: Nordost
Alemanha - Regionalliga: Nord
Alemanha - Oberliga: Niedersachsen
Alemanha - Oberliga: Nordost-Süd
Alemanha - Oberliga: Hessen
Alemanha - Oberliga: Schleswig-Holstein
Alemanha - Oberliga: Bremen
Alemanha - Bundesliga Women
Alemanha - Reg. Cup Saarland
América do Norte e Central - CONCACAF Champions League
América do Sul - Copa Sudamericana
Argentina - Reserve League
Armênia - Armenian Cup
Austrália - Northern Nsw
Austrália - Queensland FFA Cup Preliminary
Austrália - NSW FFA Cup Preliminary
Austrália - Northern NSW FFA Cup Preliminary
Austrália - Victoria FFA Cup Preliminary
Áustria - VFV Cup
Áustria - SFV Cup
Azerbaijão - Birinci Dasta
Bahrein - Premier League
Belarus - Belarusian Cup
Brasil - Brasileiro U20
Brasil - Copa do Nordeste
Brasil - Cearense 2
Brasil - Catarinense 2
Bulgária - Bulgarian Cup
Camarões - Elite One
Camarões - Elite Two
Camboja - Hun Sen Cup
Cazaquistão - Kazakhstan Cup
Chipre - Cyprus Cup
Colômbia - Torneo Betplay
Croácia - 3. HNL - Center
Croácia - U19 League
Emirados Árabes Unidos - Uae League
Emirados Árabes Unidos - Division 1
Equador - Primera B
Escócia - SWPL 1
Escócia - SWPL 2
Eslováquia - Youth League
Eslovênia - 2. SNL
Eslovênia - 1. Junior League
Espanha - Tercera - Group 11
Estônia - Women's Cup
Estônia - Small Cup
Etiópia - Premier League
EUA - USL Championship
EUA - US Open Cup
EUA - NWSL
Filipinas - PFL
Finlândia - Kolmonen
Finlândia - Finland Cup
Finlândia - A-Junior League
França - Division 1 Women
Gabão - Champoinnat D1
Geórgia - Liga 3
Guatemala - Liga Nacional
Honduras - Liga Nacional
Ilhas Faroe - 1. Deild
Ilhas Faroe - Faroe Islands Cup
Índia - I-League
Indonésia - Liga 1
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Premier: Isthmian
Inglaterra - Women's Super League
Inglaterra - Premier League U18
Inglaterra - Premier League International Cup
Irlanda do Norte - Championship Women
Islândia - Premier League Women
Itália - Primavera Cup
Kosovo - Superliga
Lituânia - Lithuanian Cup
Marrocos - Botola Pro
Mauritânia - Super D1
México - Liga Premier Serie A
México - Liga TDP: Group 2
México - Liga Mx Women
Nicarágua - Primera Division
Nicarágua - Liga Primera U20
Noruega - Toppserien
República Tcheca - 3. Liga MSFL
Romênia - Romanian Cup Women
São Marino - Campionato
Serra Leoa - Premier League
Sérvia - Serbian Cup
Suíça - 1.Liga Promotion
Suriname - Topklasse
Tailândia - Thai Premier League
Tunísia - Ligue 1
Turquia - Bölgesel Amatör Lig
Turquia - U19 Elit A
Uganda - Premier League
Uruguai - Segunda Division
Uzbequistão - Professional Football League
Uzbequistão - Pro League A
Zâmbia - Super League
Inglaterra - U18 Professional Development League Cup
Suazilândia - Premier League
Israel - U19 Cup
Martinica - Division d'Honneur
Luxemburgo - Ligue 1 Women
Alemanha - State Leagues: Schleswig - Holstein
Luxemburgo - 1. Division
Japão - WE League Cup
Porto Rico - Liga Puerto Rico
Polônia - IV Liga: Śląska I
Espanha - Autonómicas: Canarias - Gran Canaria
Itália - U18 Serie A/B
Escócia - Regional Leagues: Midlands
Suíça - 2. Liga Interregional - Group 3
Escócia - Regional Leagues: North JFA
Escócia - Regional Leagues: East of Scotland
Macedônia FYR - Mladinska Super liga
Qatar - Olympic League
Alemanha - State Leagues: Hessen - Nord
Inglaterra - Sussex Senior Challenge Cup
Inglaterra - Lancashire Senior Cup
Irlanda - Leinster Senior League
Itália - U16 Serie A/B
Hungria - Nöi Magyar Kupa
Polônia - IV Liga: Podlaska
Alemanha - State Leagues: Mecklenburg - Vorpommern
Brasil - Carioca A2
Austrália - Victoria Women's State Knockout Cup
China - League Two
Noruega - U19 Champions League
Austrália - Victoria NPL Women
Finlândia - Kolmonen - Etelä
Alemanha - State Leagues: Bayern - Mitte
Turquia - Super Lig Women
Eslováquia - I Liga Women
Tailândia - Thai League 3 - Play-offs
Austrália - Capital Territory Womens Federation Cup
Finlândia - Kolmonen - Länsi
Rússia - FNL 2 - Group 4
Espanha - División De Honor Juvenil - Group 5
Europa - UEFA U17 Championship Qualification
Alemanha - State Leagues: Bayern - Nordost
Alemanha - State Leagues: Bayern - Südwest
Alemanha - State Leagues: Weser - Ems
Inglaterra - U18 Professional Development League
Polônia - IV Liga: Dolnośląska East
Polônia - IV Liga: Świętokrzyska
Polônia - IV Liga: Podkarpacka
Polônia - IV Liga: Wielkopolska
Polônia - IV Liga: Małopolska
Polônia - IV Liga: Mazowiecka
Polônia - IV Liga: Lódzka
Polônia - IV Liga: Lubuska
Polônia - IV Liga: Kujawsko-Pomorska
Eslováquia - 4. liga: Bratislava
Ilhas Faroe - Meistaradeildin Women
Escócia - Regional Leagues
Japão - J1 100 Year Vision League
