Europa - Champions League
América do Sul - Copa Libertadores
Alemanha - Regionalliga: West
Alemanha - Regionalliga: Bayern
Alemanha - Oberliga: Hamburg
Alemanha - Oberliga: Bayern Süd
América do Norte e Central - CONCACAF Champions League
América do Sul - Copa Sudamericana
Arábia Saudita - Division 1
Argentina - Reserve League
Armênia - First League
Austrália - Queensland FFA Cup Preliminary
Austrália - Victoria FFA Cup Preliminary
Austrália - NSW FFA Cup Preliminary
Austrália - Capital Territory FFA Cup Preliminary
Áustria - Regionalliga: Ost
Áustria - VFV Cup
Bahrein - Premier League
Brasil - Brasileiro Women
Brasil - Brasileiro U20
Brasil - Paulista A2
Brasil - Catarinense 2
Colômbia - Liga Femenina
Croácia - 3. HNL - West
Dinamarca - Elitedivisionen Women
Equador - Primera B
Escócia - SWPL 1
Estônia - Esiliiga B
Estônia - Women's Cup
Estônia - U19 League
Estônia - Small Cup
EUA - US Open Cup
Finlândia - Kolmonen
Finlândia - Finland Cup
Gabão - Champoinnat D1
Honduras - Liga Nacional
Ilhas Faroe - 1. Deild
Índia - Indian Super League
Indonésia - Liga 1
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Northern
Inglaterra - Premier League U18
Inglaterra - Premier League International Cup
Inglaterra - London Senior Cup
Iraque - Iraqi League
Letônia - Virsliga
Lituânia - Lithuanian Cup
México - Liga de Expansión MX
Noruega - Toppserien
Portugal - Liga 3
Portugal - Liga Revelacao U23
Quirguizistão - Top Liga
Romênia - Romanian Cup Women
Tunísia - Ligue 2
Turquia - 3. Lig Play-offs
Uganda - Premier League
Uzbequistão - Professional Football League
Uzbequistão - Pro League A
Bósnia e Herzegovina - Premijer Ženska Liga
Dinamarca - U17 Ligaen
Inglaterra - U18 Professional Development League
Irlanda do Norte - Premier Intermediate League
Escócia - FA Youth Cup
Israel - U19 Cup
Ucrânia - Premier League Women
Espanha - Autonómicas: Canarias - Tenerife 1
Escócia - Regional Leagues: East of Scotland
Suazilândia - Premier League
Inglaterra - Sheffield and Hallamshire Senior Cup
Itália - U16 Serie A/B
Irlanda - Munster Senior League
Qatar - Olympic League
México - U19 League
Escócia - Regional Leagues: North JFA
Polônia - IV Liga: Lódzka
Malásia - Liga M3
Brasil - Copa Espirito Santo
Europa - UEFA U17 Championship Qualification
Tailândia - Thai League 3 - Play-offs
Finlândia - Kolmonen - Länsi
Finlândia - Kolmonen - Etelä
Austrália - Capital Territory Womens Federation Cup
Geórgia - Women's League
Rússia - Third Division - Moskva
Noruega - U19 Champions League
Austrália - Victoria Women's State Knockout Cup
Cazaquistão - Womens Championship
Alemanha - State Leagues: Bayern - Mitte
Alemanha - State Leagues: Bayern - Nordost
Alemanha - State Leagues: Bayern - Südwest
Alemanha - State Leagues: Hamburg - Hansa
Austrália - New South Wales NPL 3 Youth
