Alemanha - DFB Pokal
Itália - Coppa Italia
França - Coupe de France
Portugal - Taça De Portugal
Turquia - Turkish Cup
Rússia - Premier League
África do Sul - Gladafrica Championship
Albânia - Albanian Cup
Alemanha - Regionalliga: Nordost
Alemanha - Regionalliga: Nord
Alemanha - Regionalliga: Südwest
Alemanha - Regionalliga: West
Alemanha - Oberliga: Hamburg
Alemanha - Oberliga: Westfalen
Alemanha - Oberliga: Schleswig-Holstein
Alemanha - Oberliga: Niedersachsen
Alemanha - Oberliga: Nordost-Süd
Alemanha - Oberliga: Baden-Wurttemberg
Alemanha - Bundesliga Women
Alemanha - Junioren Bundesliga
Arábia Saudita - Division 1
Argentina - Primera C
Argentina - Copa Argentina
Argentina - Reserve League
Armênia - First League
Ásia - AFC Cup
Austrália - Northern Territory Premier League
Austrália - Northern NSW FFA Cup Preliminary
Austrália - NSW FFA Cup Preliminary
Azerbaijão - Birinci Dasta
Azerbaijão - Azerbaidjan Cup
Bósnia e Herzegovina - Premier Liga
Bósnia e Herzegovina - First League: RS
Brasil - Serie D
Brasil - Copa do Brasil
Brasil - Brasileiro Women
Brasil - Brasileiro U20
Brasil - Copa do Nordeste
Brasil - Paulista A3
Bulgária - Vtora Liga
Bulgária - Bulgarian Cup
Camarões - Elite One
Camarões - Elite Two
Camboja - Hun Sen Cup
Chipre - 3. Division
Chipre - Cyprus Cup
Costa Rica - Primera Division
Croácia - 3. HNL - South
Croácia - U19 League
Equador - Primera B
Eslováquia - 2. Liga
Eslovênia - Slovenian Cup
Espanha - Tercera - Group 11
Espanha - Tercera - Group 12
Espanha - Primera Division Women
Estônia - U19 League
Estônia - Small Cup
EUA - USL Championship
EUA - USL League One
Finlândia - Kakkonen
Finlândia - Kolmonen
Finlândia - A-Junior League
França - Division 1 Women
Geórgia - Crystalbet Erovnuli Liga
Geórgia - Erovnuli Liga 2
Grécia - Super League 2
Guadalupe - Division d'Honneur
Guatemala - Primera Division
Guiné - Ligue 1
Honduras - Liga Nacional
Hungria - Hungarian Cup
Ilhas Turcas e Caicos - Premier League
Indonésia - Liga 1
Inglaterra - Wsl 2 Women
Inglaterra - Premier League U18
Inglaterra - Central League
Iraque - Iraqi League
Irlanda do Norte - Championship Women
Irlanda do Norte - Premiership Development League
Islândia - League Cup C
Letônia - Virsliga
Líbia - Premier League
Lituânia - Lithuanian Cup
Macedônia FYR - Macedonian Cup
Mali - Premiere Division
Marrocos - Botola Pro
Maurício - Mauritian League
México - Liga de Expansión MX
México - Liga Premier Serie A
Moldávia - Moldovan Cup
Mongólia - Premier League
Montenegro - Montenegro Cup
Noruega - NM Cup
Noruega - Cup Women
Países Baixos - Eredivisie Women
RD Congo - Super Ligue
República Tcheca - 3. Liga CFL
República Tcheca - 3. Liga MSFL
República Tcheca - 4. Liga Division C
República Tcheca - 4. Liga Division E
República Tcheca - 4. Liga Division A
República Tcheca - 4. Liga Division F
Romênia - Liga 1 Women
Rússia - FNL
Sérvia - Prva Liga
Suíça - Challenge League
Suíça - Erste Liga Cup
Suriname - Topklasse
Tunísia - Ligue 2
Turcomenistão - Ýokary Liga
Turquia - Bölgesel Amatör Lig
Ucrânia - Ukrainian Cup
Uganda - Premier League
Uzbequistão - Professional Football League
Zâmbia - Super League
Zimbábue - Premier Soccer League
Espanha - Autonómicas: Euskadi - Guipúzcoa
Irlanda - Munster Senior League
Inglaterra - Surrey Senior Cup
Inglaterra - U18 Premier League Cup
Suazilândia - Premier League
Luxemburgo - Cup
Espanha - Autonómicas: Baleares - Menorca
Irlanda - Leinster Senior League
Luxemburgo - Promotion d'Honneur
Hungria - U17 League
Escócia - Regional Leagues: Midlands
Ucrânia - Premier League Women
Bósnia e Herzegovina - Premijer omladinska liga
Hong Kong - HKPL U22 League
Ásia - AGCFF Gulf Club Champions League
México - U19 League
EUA - USL Super League
Ásia - AFC Challenge League
Ásia - ASEAN Club Championship
Ilhas Cayman - CIFA Premier League
Suíça - U19 Elite
Espanha - Autonómicas: Canarias - Tenerife 1
Escócia - Regional Leagues
Luxemburgo - Ligue 1 Women
Finlândia - Kolmonen - Etelä
Austrália - Northern Territory Women's Premier League
Canadá - League 1 BC
Equador - Copa Ecuador
Austrália - Victoria Women's State Knockout Cup
Brasil - Copa Espirito Santo
Turquia - Super Lig Women
Alemanha - State Leagues: Bayern - Mitte
Finlândia - Kolmonen - Länsi
Arábia Saudita - Division 2
Espanha - División De Honor Juvenil - Group 4
Alemanha - Regionalliga Women - Nordost
Espanha - Primera Nacional Femenina - Group 2
Europa - UEFA U17 Championship Qualification
Alemanha - State Leagues: Bayern - Nordost
Alemanha - State Leagues: Bayern - Südost
Hungria - U19 Alap
Polônia - IV Liga: Lubelska I
Guiana Francesa - Régional 1
Alemanha - State Leagues: Hessen - Nord
Alemanha - State Leagues: Weser - Ems
Alemanha - U17 Bundesliga
Inglaterra - U18 Professional Development League
Polônia - IV Liga: Podkarpacka
Alemanha - State Leagues: Bayern - Südwest
Polônia - IV Liga: Wielkopolska
Polônia - IV Liga: Kujawsko-Pomorska
Alemanha - State Leagues: Hessen - Süd
Alemanha - State Leagues: Hessen - Mitte
Japão - J1 100 Year Vision League
