Alemanha - Oberliga: Hamburg
Alemanha - Oberliga: Rheinland-Pfalz/Saar
Argentina - Reserve League
Armênia - First League
Austrália - Northern Territory Premier League
Austrália - Capital Territory
Austrália - NSW FFA Cup Preliminary
Austrália - South Australia FFA Cup Preliminary
Austrália - Northern NSW FFA Cup Preliminary
Austrália - Victoria FFA Cup Preliminary
Bahrein - Second Division
Bangladesh - Federation Cup
Barbados - Premier League
Brasil - Copa do Brasil
Brasil - Paulista Women
Brasil - Brasileiro U20
Brasil - Catarinense 2
Colômbia - Torneo Betplay
Colômbia - Copa Betplay
Costa do Marfim - Ligue 1
Croácia - 3. HNL - West
Croácia - 3. HNL - Center
Croácia - 3. HNL - East
Emirados Árabes Unidos - Arabian Gulf Reserve League
Escócia - Premiership Play-Offs
Escócia - League One Play-Offs
Estônia - Women's Cup
Estônia - U19 League
EUA - USL League Two
EUA - NWSL
EUA - WPSL
Finlândia - Finland Cup
Finlândia - Women's Cup
Gabão - Champoinnat D1
Honduras - Liga Nacional
Índia - Indian Super League
Índia - I-League
Inglaterra - Premier League U18
Inglaterra - Premier League International Cup
Jordânia - Jordan Cup
Letônia - Virsliga
Líbano - Premier League
Mauritânia - Super D1
Moçambique - Mocambola
Noruega - Cup Women
Omã - Professional League
RD Congo - Super Ligue
República Tcheca - Fortuna Liga
República Tcheca - 2. Liga FNL
República Tcheca - 4. Liga Division E
Romênia - Liga 2
São Marino - Campionato
Serra Leoa - Premier League
Sérvia - Prva Liga
Síria - Premier League
Suécia - Allsvenskan Women
Tanzânia - Ligi kuu Bara
Tunísia - Ligue 1
Tunísia - Ligue 2
Ucrânia - Premier League
Ucrânia - Second League: Group A
Uganda - Premier League
Uzbequistão - Uzbekistan Cup
Zâmbia - Super League
Polônia - IV Liga: Dolnośląska East
Dinamarca - U17 Ligaen
Bulgária - Women's League
Ucrânia - Premier League Women
Ucrânia - U19 League
Inglaterra - Walsall Senior Cup
Israel - U19 Cup
Itália - U18 Serie A/B
Guam - Soccer League
Escócia - East of Scotland League Cup
Irlanda - Leinster Senior League
Índia - Indian Women's League
Polônia - IV Liga: Lubuska
Países Baixos - U19 Divisie 1
Bósnia e Herzegovina - Premijer omladinska liga
Aruba - Play-offs 1/2
Alemanha - State Leagues: Hamburg - Hansa
Polônia - IV Liga: Kujawsko-Pomorska
Polônia - 3. Liga - Group 3
Finlândia - Kolmonen - Länsi
Austrália - Capital Territory NPL Youth League
Austrália - Queensland NPL Youth League
Austrália - Victoria Women's State Knockout Cup
Equador - Copa Ecuador
Austrália - Northern Territory Women's Premier League
Cazaquistão - Womens Championship
Austrália - Western Australia State League 1 Reserves
Irlanda - Munster Senior Cup
Geórgia - Women's League
Escócia - Regional Leagues: North JFA
