Europa - Champions League
América do Sul - Copa Libertadores
Alemanha - Regionalliga: Nordost
Alemanha - Regionalliga: Bayern
Alemanha - Oberliga: Hamburg
Alemanha - Oberliga: Bayern Nord
Alemanha - Oberliga: Bayern Süd
Alemanha - Oberliga: Bremen
América do Norte e Central - CONCACAF Champions League
América do Sul - Copa Sudamericana
Arábia Saudita - Division 1
Arábia Saudita - Youth League
Argentina - Primera B Metropolitana
Argentina - Reserve League
Armênia - First League
Ásia - AFC Champions League
Austrália - Capital Territory
Austrália - Northern Territory Premier League
Austrália - Queensland Premier League 2
Austrália - Brisbane Premier League
Austrália - Northern NSW FFA Cup Preliminary
Austrália - Capital Territory FFA Cup Preliminary
Austrália - NSW FFA Cup Preliminary
Austrália - South Australia Reserves Premier League
Áustria - Regionalliga: Ost
Áustria - SFV Cup
Áustria - WFV Cup
Bahrein - Second Division
Bangladesh - Federation Cup
Barbados - Premier League
Brasil - Brasileiro U20
Brasil - Copa do Nordeste
Chipre - 1. Division
Curaçao - Premier League
Eslováquia - Slovakia Cup
Espanha - Primera Division RFEF: Group 1
Espanha - Segunda Division RFEF: Group 5
Etiópia - Premier League
EUA - US Open Cup
Finlândia - Finland Cup
Gabão - Champoinnat D1
Índia - I-League 2nd Division
Inglaterra - Vanarama National League North
Inglaterra - Vanarama National League South
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Professional Development League
Inglaterra - Premier League U18
Inglaterra - Central League
Iraque - Iraqi League
Irlanda - Leinster Senior Cup
Islândia - League Cup C
Israel - Liga Leumit
Jordânia - Premier League
Letônia - Virsliga
Líbia - Premier League
Lituânia - Lithuanian Cup
Macedônia FYR - First League
Madagascar - Pro League
Malta - Premier League
México - Liga TDP: Group 2
Mundo - World Cup Women Qualification Europe
Mundo - Friendly International Women
Noruega - Cup Women
Omã - Professional League
Portugal - Liga Revelacao U23
Quênia - Premier League
Quênia - Super League
República Tcheca - 4. Liga Division D
Romênia - Liga 2
Serra Leoa - Premier League
Tanzânia - Ligi kuu Bara
Uzbequistão - Professional Football League
Uzbequistão - Pro League A
Vietnã - Second Division
Inglaterra - Staffordshire Senior Cup
Espanha - Autonómicas: Canarias - Tenerife 1
Espanha - Autonómicas: Euskadi - Guipúzcoa
Inglaterra - Birmingham Senior Cup
Inglaterra - Northumberland Senior Cup
Inglaterra - Durham County Challenge Cup
Inglaterra - Surrey Senior Cup
Porto Rico - Liga Puerto Rico
Itália - U18 Serie A/B
Inglaterra - Hertfordshire Senior Challenge Cup
Ucrânia - U19 League
Inglaterra - BBFA Senior Cup
Irlanda - Munster Senior League
Irlanda - Leinster Senior League
Suíça - U19 Elite
Espanha - Autonómicas: Canarias - Gran Canaria
Qatar - Olympic League
Ásia - AFC Challenge League
Países Baixos - U19 Divisie 1
Hong Kong - HKPL U22 League
Macedônia FYR - Mladinska Super liga
Escócia - Regional Leagues: East of Scotland
Escócia - Regional Leagues: North JFA
Libéria - LFA First Division
Austrália - Queensland NPL Youth League
Irlanda do Norte - Premier Intermediate League
Rússia - Third Division - Moskva
Europa - UEFA U19 Championship Women Qualification
Polônia - 3. Liga - Group 3
Espanha - División De Honor Juvenil - Group 6
Noruega - 3. Division - Group 5
Mundo - Hybrid Friendlies Women
Austrália - Capital Territory NPL Youth League
Alemanha - U17 Bundesliga
América do Norte e Central - Womens WC Qualification CONCACAF
China - League Two
Equador - Copa Ecuador
Alemanha - State Leagues: Bayern - Mitte
Alemanha - State Leagues: Bayern - Nordwest
Alemanha - State Leagues: Bayern - Südost
Alemanha - State Leagues: Hamburg - Hammonia
Alemanha - State Leagues: Mecklenburg - Vorpommern
Liechtenstein - Liechtenstein Cup
América do Sul - Concacaf Women Qualifiers
