Itália - Coppa Italia
Países Baixos - Eredivisie Playoffs
Turquia - Turkish Cup
Albânia - Albanian Cup
Alemanha - Oberliga: Niedersachsen
Alemanha - Oberliga: Baden-Wurttemberg
Alemanha - Oberliga: Rheinland-Pfalz/Saar
Arábia Saudita - Division 1
Argentina - Copa Argentina
Argentina - Reserve League
Austrália - Capital Territory
Austrália - NSW FFA Cup Preliminary
Austrália - Northern NSW FFA Cup Preliminary
Áustria - Erste Liga
Áustria - Regionalliga: Mitte
Áustria - STFV Cup
Áustria - VFV Cup
Áustria - SFV Cup
Azerbaijão - Azerbaidjan Cup
Bahrein - Second Division
Bósnia e Herzegovina - Bosnia Cup
Botsuana - Premier League
Brasil - Copa do Brasil
Brasil - Brasileiro U20
Brasil - Paulista A2
Brasil - Catarinense 2
Brasil - Cearense 2
Brasil - Copa Gaúcha
Butão - Bhutan Premier League
Canadá - Premier League
Cazaquistão - Kazakhstan Cup
Colômbia - Torneo Betplay
Colômbia - Copa Betplay
Costa Rica - Primera Division
Croácia - 3. HNL - Center
Croácia - Croatia Cup
Dinamarca - 2nd Division
Dinamarca - Landspokal Cup
El Salvador - Primera Division
El Salvador - Reserve League
Equador - Primera B
Escócia - Championship Play-Offs
Eslovênia - Slovenian Cup
Eslovênia - Women's Cup
Espanha - Spain Youth League
Estônia - Esiliiga A
Estônia - Women's Cup
Estônia - U19 League
Estônia - Small Cup
EUA - USL League One
EUA - USL League Two
EUA - WPSL
Europa - UEFA U17 Championship Women
Finlândia - Kolmonen
Finlândia - Finland Cup
Finlândia - Women's Cup
Gabão - Champoinnat D1
Iêmen - Yemeni League
Ilhas Faroe - Faroe Islands Cup
Inglaterra - Women's Super League
Irlanda do Norte - Championship Women
Irlanda do Norte - Premiership Development League
Islândia - Iceland Cup
Itália - Serie C Play-offs
Itália - Serie D: Playoffs
Jamaica - Premier League
Letônia - Virsliga
Letônia - First Liga
Mali - Premiere Division
México - Liga TDP: Group 2
Moçambique - Mocambola
Moldávia - Moldovan Cup
Nicarágua - Liga Primera U20
Omã - Professional League
Polônia - 3. Liga
Quênia - Premier League
RD Congo - Super Ligue
República Tcheca - Fortuna Liga
Romênia - Romania Cup
Romênia - Romanian Cup Women
Senegal - Ligue 1
Serra Leoa - Premier League
Sérvia - Serbian Cup
Sudão - Sudan Premier League
Suécia - Ettan: North
Suécia - Ettan: South
Suécia - Division 2: Ostra Gotaland
Suécia - Division 2: Norra Gotaland
Suécia - Division 2: Norrland
Suíça - 2. Liga Interregional Cup
Suriname - Topklasse
Tanzânia - Ligi kuu Bara
Tunísia - Ligue 1
Ucrânia - Premier League
Uganda - Premier League
Uzbequistão - Uzbekistan Cup
Zâmbia - Super League
Zimbábue - Premier Soccer League
Ucrânia - Premier League Women
Tahiti - Ligue 1
Porto Rico - Liga Puerto Rico
Luxemburgo - Cup
Moldávia - Campionatul Moldovei
Portugal - Júniores U17
Brasil - Paraense 2
Alemanha - State Leagues: Mittelrhein - 1
Alemanha - State Leagues: Sachsen
Suíça - 2. Liga Interregional
Israel - U19 Elite Division
Alemanha - State Leagues: Baden
Inglaterra - Sussex Senior Challenge Cup
Equador - Super Cup
Alemanha - State Leagues: Mecklenburg - Vorpommern
Suíça - 2. Liga Interregional - Group 5
Suíça - 2. Liga Interregional - Group 2
Suíça - 2. Liga Interregional - Group 3
Aruba - Play-offs 1/2
Macedônia FYR - Mladinska Super liga
Gana - Division One
Ásia - AFC Challenge League
Brasil - Copa do Brasil U17
Ásia - ASEAN Club Championship
Vietnã - Womens National Cup
África - CAF U17 Cup of Nations
Irlanda - Leinster Senior League
Irlanda - Munster Senior League
Escócia - East of Scotland League Cup
Alemanha - State Leagues: Hessen - Nord
EUA - USL W League
Alemanha - State Leagues: Weser - Ems
Austrália - South Australia Women's Premier & State Cup
Brasil - Copa Espirito Santo
Uruguai - Campeonato Femenino
Finlândia - Kolmonen - Etelä
Eslováquia - I Liga Women
Turquia - Bölgesel Amatör Lig - Play-offs
Austrália - Capital Territory NPL Youth League
Finlândia - Kolmonen - Länsi
EUA - MLS Next Pro
Polônia - 3. Liga - Group 3
Polônia - 3. Liga - Group 4
Polônia - 3. Liga - Group 2
Austrália - Victoria Women's State Knockout Cup
Brasil - Carioca A2
Polônia - IV Liga: Lubuska
Bósnia e Herzegovina - Premijer Ženska Liga
Alemanha - State Leagues: Sachsen - Anhalt
Polônia - IV Liga: Świętokrzyska
Polônia - IV Liga: Zachodniopomorska
Polônia - IV Liga: Warmińsko-Mazurska
Polônia - IV Liga: Małopolska
Polônia - IV Liga: Mazowiecka
Polônia - IV Liga: Kujawsko-Pomorska
Polônia - IV Liga: Pomorska
Alemanha - State Leagues: Hessen - Süd
Geórgia - Women's League
Suécia - U19 League
Escócia - Regional Leagues
Alemanha - State Leagues: Saarland
Japão - J1 100 Year Vision League
