Link,Data,Hora,Pais,Liga,Rodada,Home,Away,H_gols_ft,A_gols_ft,H_gols_ht,A_gols_ht,H_posse,A_posse,H_xg,A_xg,H_chutes,A_chutes,H_chutes_alvo,A_chutes_alvo,H_escanteios,A_escanteios,H_faltas,A_faltas,H_amarelos,A_amarelos,H_vermelhos,A_vermelhos,H_ataques,A_ataques,H_ataques_perigosos,A_ataques_perigosos,H_defesas_goleiro,A_defesas_goleiro,H_passes,A_passes,H_acerto_passe,A_acerto_passe,H_passes_decisivos,A_passes_decisivos,H_cruzamentos,A_cruzamentos,H_dribles,A_dribles,H1_chutes_alvo,A1_chutes_alvo,H1_ataques,A1_ataques,H1_ataques_perigosos,A1_ataques_perigosos,H2_chutes_alvo,A2_chutes_alvo,H2_ataques,A2_ataques,H2_ataques_perigosos,A2_ataques_perigosos,Odd_h_open,Odd_d_open,Odd_a_open,Odd_h_close,Odd_d_close,Odd_a_close
https://redscores.com/match/austria-klagenfurt-hartberg/TCAxRQA#1422974,2025-02-16,10:30,Austria,Tipico Bundesliga,Rodada 18,Hartberg,Austria Klagenfurt,1,1,1,1,70.0,30.0,2.37,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/salzburg-wsg-tirol/zx3CA#1422971,2025-02-15,13:00,Austria,Tipico Bundesliga,Rodada 18,Salzburg,WSG Tirol,1,1,1,1,69.0,31.0,4.21,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/blau-weis-linz-lask-linz/d3xh4#1422861,2025-02-09,13:00,Austria,Tipico Bundesliga,Rodada 17,LASK Linz,Blau-Weiß Linz,0,0,0,0,69.0,31.0,1.99,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/salzburg-austria-klagenfurt/zxTCA#1422967,2025-02-09,10:30,Austria,Tipico Bundesliga,Rodada 17,Austria Klagenfurt,Salzburg,0,0,0,0,29.0,71.0,0.27,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/blau-weis-linz-austria-klagenfurt/d3xTCA#1422964,2024-12-08,10:30,Austria,Tipico Bundesliga,Rodada 16,Blau-Weiß Linz,Austria Klagenfurt,2,1,2,1,48.0,52.0,1.72,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/salzburg-rapid-vienna/zxj9#1422963,2024-12-07,13:00,Austria,Tipico Bundesliga,Rodada 16,Salzburg,Rapid Vienna,2,2,2,2,48.0,52.0,2.81,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/sturm-graz-wsg-tirol/b4x3CA#1422966,2024-12-07,13:00,Austria,Tipico Bundesliga,Rodada 16,WSG Tirol,Sturm Graz,0,3,0,3,59.0,41.0,0.39,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/blau-weis-linz-grazer-ak/d3x0qA#1422956,2024-11-24,10:30,Austria,Tipico Bundesliga,Rodada 14,Blau-Weiß Linz,Grazer AK,1,2,1,2,64.0,36.0,0.93,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/salzburg-lask-linz/zxh4#1422885,2024-11-23,13:00,Austria,Tipico Bundesliga,Rodada 14,Salzburg,LASK Linz,1,2,1,2,67.0,33.0,2.15,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/rapid-vienna-wsg-tirol/j9x3CA#1422957,2024-11-23,13:00,Austria,Tipico Bundesliga,Rodada 14,WSG Tirol,Rapid Vienna,0,0,0,0,27.0,73.0,0.16,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/sturm-graz-austria-klagenfurt/b4xTCA#1422955,2024-11-23,13:00,Austria,Tipico Bundesliga,Rodada 14,Sturm Graz,Austria Klagenfurt,7,0,7,0,50.0,50.0,3.28,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/austria-wien-wolfsberger-ac/P8xCAA#1422884,2024-11-09,13:00,Austria,Tipico Bundesliga,Rodada 13,Wolfsberger AC,Austria Wien,0,1,0,1,59.0,41.0,1.11,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
