data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-04-15,Inglaterra - League One,15:45,Wimbledon,Stockport County,3.75,3.5,1.9,https://redscores.com/pt-br/match/stockport-county-afc-wimbledon/Ccx6c
2026-04-15,Inglaterra - League One,15:45,Luton,Northampton,1.3,5.0,8.5,https://redscores.com/pt-br/match/luton-town-northampton-town/3AxtB
2026-04-15,Noruega - Eliteserien,14:00,Tromsø,Lillestrøm,1.8,3.75,4.0,https://redscores.com/pt-br/match/lillestrom-tromso/EUxw6A
2026-04-15,Noruega - Eliteserien,14:00,Sarpsborg 08,Bodø / Glimt,7.0,5.0,1.4,https://redscores.com/pt-br/match/bodo-glimt-sarpsborg-08/KNxTv
2026-04-15,África do Sul - Premier League,14:30,Magesi,Kaizer Chiefs,4.0,3.0,1.9,https://redscores.com/pt-br/match/kaizer-chiefs-magesi/uUxsJc
2026-04-15,Arábia Saudita - Pro League,15:00,Al Nassr,Al Ettifaq,1.16,7.0,12.0,https://redscores.com/pt-br/match/al-nassr-al-ettifaq/CUxdvb
2026-04-15,Bulgária - Parva Liga,12:00,Cherno More,CSKA 1948 Sofia,2.55,3.0,2.55,https://redscores.com/pt-br/match/cherno-more-cska-1948-sofia/U5AxFQR
2026-04-15,Bulgária - Parva Liga,14:30,Arda,Ludogorets,7.5,3.9,1.5,https://redscores.com/pt-br/match/ludogorets-arda/7wxvOD
2026-04-15,Coréia do Sul - K-League 1,07:30,Ulsan,Seoul,2.62,3.2,2.45,https://redscores.com/pt-br/match/seoul-ulsan/AFxwrA
2026-04-15,Eslovênia - 1. SNL,11:30,Bravo,Primorje,1.66,3.7,4.1,https://redscores.com/pt-br/match/primorje-bravo/nFbxXYM
2026-04-15,Eslovênia - 1. SNL,13:30,Celje,Olimpija,1.9,3.4,3.4,https://redscores.com/pt-br/match/celje-olimpija/ijxZL
2026-04-15,Irlanda do Norte - Premiership,15:45,Ballymena United,Bangor,1.72,3.5,4.0,https://redscores.com/pt-br/match/ballymena-united-bangor/8Jxg0b
2026-04-15,Peru - Primera Division,17:00,UTC Cajamarca,Sport Huancayo,2.0,3.25,3.5,https://redscores.com/pt-br/match/utc-cajamarca-sport-huancayo/NcAx6lB
