data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-04-30,Noruega - Eliteserien,14:00,Bodø / Glimt,Start,1.11,9.0,17.0,https://redscores.com/pt-br/match/bodo-glimt-start/KNx0w
2026-04-30,Arábia Saudita - Pro League,13:00,Al Akhdoud,Al Ettifaq,3.6,3.5,1.8,https://redscores.com/pt-br/match/al-ettifaq-al-akhdoud/dvbxLQAA
2026-04-30,Arábia Saudita - Pro League,15:00,Al Kholood,Al Feiha,2.4,3.25,2.5,https://redscores.com/pt-br/match/al-feiha-al-kholood/rXcxOQAA
2026-04-30,Argentina - Primera B Nacional,20:30,All Boys,San Miguel,2.15,2.75,3.9,https://redscores.com/pt-br/match/all-boys-san-miguel/6gbxQ5B
2026-04-30,Dinamarca - First Division,14:00,Esbjerg,Horsens,2.55,3.1,2.75,https://redscores.com/pt-br/match/horsens-esbjerg/oBxOl
2026-04-30,Estônia - Meistriliiga,13:00,Flora,Harju Jalgpallikool,1.38,4.5,6.0,https://redscores.com/pt-br/match/flora-harju-jalgpallikool/RkbxDzcA
