Link,Data,Hora,Liga,Rodada,Home,Away,H_gols_ft,A_gols_ft,H_gols_ht,A_gols_ht,H_posse,A_posse,H_xg,A_xg,H_chutes,A_chutes,H_chutes_alvo,A_chutes_alvo,H_escanteios,A_escanteios,H_faltas,A_faltas,H_amarelos,A_amarelos,H_vermelhos,A_vermelhos,H_ataques,A_ataques,H_ataques_perigosos,A_ataques_perigosos,H_defesas_goleiro,A_defesas_goleiro,H_passes,A_passes,H_acerto_passe,A_acerto_passe,H_passes_decisivos,A_passes_decisivos,H_cruzamentos,A_cruzamentos,H_dribles,A_dribles,H1_chutes_alvo,A1_chutes_alvo,H1_ataques,A1_ataques,H1_ataques_perigosos,A1_ataques_perigosos,H2_chutes_alvo,A2_chutes_alvo,H2_ataques,A2_ataques,H2_ataques_perigosos,A2_ataques_perigosos,Odd_h_open,Odd_d_open,Odd_a_open,Odd_h_close,Odd_d_close,Odd_a_close
https://redscores.com/match/schalke-04-dsc-arminia-bielefeld/dAx9y#1710765,2025-10-05,08:30,2. Bundesliga,Rodada 8,DSC Arminia Bielefeld,Schalke 04,1,2,1,2,70.0,30.0,1.06,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/hertha-bsc-preusen-munster/L3xY8#1429122,2025-05-09,13:30,2. Bundesliga,Rodada 33,Preußen Münster,Hertha BSC,2,0,2,0,36.0,64.0,1.11,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/darmstadt-98-elversberg/4DxZ7#1710823,2025-11-30,09:30,2. Bundesliga,Rodada 14,Elversberg,Darmstadt 98,0,0,0,0,46.0,54.0,1.29,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/dsc-arminia-bielefeld-holstein-kiel/9yxg8#1710864,2026-01-23,14:30,2. Bundesliga,Rodada 19,DSC Arminia Bielefeld,Holstein Kiel,2,2,2,2,62.0,38.0,1.95,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/hamburger-sv-elversberg/mwxZ7#1429933,2025-03-28,14:30,2. Bundesliga,Rodada 27,Hamburger SV,Elversberg,0,0,0,0,58.0,42.0,1.92,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/hertha-bsc-holstein-kiel/L3xg8#1710973,2026-04-25,08:00,2. Bundesliga,Rodada 31,Hertha BSC,Holstein Kiel,0,1,0,1,59.0,41.0,2.09,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/nurnberg-preusen-munster/UHxY8#1428985,2025-03-09,09:30,2. Bundesliga,Rodada 25,Preußen Münster,Nürnberg,0,1,0,1,53.0,47.0,2.56,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/paderborn-eintracht-braunschweig/JVxN7#1710916,2026-03-07,09:00,2. Bundesliga,Rodada 25,Paderborn,Eintracht Braunschweig,1,1,1,1,68.0,32.0,1.46,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/darmstadt-98-spvgg-greuther-furth/4DxH5#1429105,2025-04-05,08:00,2. Bundesliga,Rodada 28,Darmstadt 98,SpVgg Greuther Fürth,1,0,1,0,51.0,49.0,1.11,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/darmstadt-98-fortuna-dusseldorf/4Dx4I#1710748,2025-09-21,08:30,2. Bundesliga,Rodada 6,Fortuna Düsseldorf,Darmstadt 98,0,3,0,3,51.0,49.0,0.98,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
