liga,hora,home,away,link_confronto,motivo
Escócia - Premiership,12:00,Dundee United,Motherwell,https://redscores.com/pt-br/match/dundee-united-motherwell/tcxcC,Duplicado sem prioridade
Escócia - Premiership,12:00,Livingston,Dundee,https://redscores.com/pt-br/match/livingston-dundee/hcxuc,Duplicado sem prioridade
