liga,hora,home,away,link_confronto,motivo
Escócia - Premiership,16:45,Hearts,Kilmarnock,https://redscores.com/pt-br/match/kilmarnock-hearts/7bxEC,Duplicado sem prioridade
Escócia - Premiership,16:45,Celtic,Dundee,https://redscores.com/pt-br/match/celtic-dundee/2xuc,Duplicado sem prioridade
Escócia - Premiership,16:45,Aberdeen,St. Mirren,https://redscores.com/pt-br/match/aberdeen-st-mirren/Ocxee,Duplicado sem prioridade
Escócia - Premiership,16:45,Dundee United,Rangers,https://redscores.com/pt-br/match/rangers-dundee-united/AAxtc,Duplicado sem prioridade
Escócia - Premiership,16:45,Falkirk,Motherwell,https://redscores.com/pt-br/match/motherwell-falkirk/cCxtg,Duplicado sem prioridade
