liga,hora,home,away,link_confronto,motivo
Escócia - Premiership,12:00,Dundee,St. Mirren,https://redscores.com/pt-br/match/dundee-st-mirren/ucxee,Duplicado sem prioridade
Escócia - Premiership,12:00,Motherwell,Hearts,https://redscores.com/pt-br/match/motherwell-hearts/cCxEC,Duplicado sem prioridade
