liga,hora,home,away,link_confronto,motivo
África do Sul - Premier League,14:30,Orlando Pirates,Polokwane City,https://redscores.com/pt-br/match/orlando-pirates-polokwane-city/IUbxhOB,Substituído por versão com odds
África do Sul - Premier League,14:30,Stellenbosch,Golden Arrows,https://redscores.com/pt-br/match/golden-arrows-stellenbosch/pMx2Z,Substituído por versão com odds
Argélia - Ligue 1,16:00,MC Alger,Paradou AC,https://redscores.com/pt-br/match/mc-alger-paradou-ac/n2AxZkc,Substituído por versão com odds
