liga,hora,home,away,link_confronto,motivo
Escócia - Premiership,16:45,Hibernian,Aberdeen,https://redscores.com/pt-br/match/hibernian-aberdeen/CAxOc,Duplicado sem prioridade
Escócia - Premiership,16:45,Livingston,Dundee United,https://redscores.com/pt-br/match/livingston-dundee-united/hcxtc,Duplicado sem prioridade
Escócia - Premiership,16:45,Dundee,Kilmarnock,https://redscores.com/pt-br/match/kilmarnock-dundee/7bxuc,Duplicado sem prioridade
Escócia - Premiership,16:45,Rangers,St. Mirren,https://redscores.com/pt-br/match/rangers-st-mirren/AAxee,Duplicado sem prioridade
