liga,hora,home,away,link_confronto,motivo
Escócia - Premiership,16:45,Hibernian,Rangers,https://redscores.com/pt-br/match/rangers-hibernian/AAxCA,Duplicado sem prioridade
Escócia - Premiership,16:45,Motherwell,Dundee United,https://redscores.com/pt-br/match/dundee-united-motherwell/tcxcC,Duplicado sem prioridade
Escócia - Premiership,16:45,Celtic,Falkirk,https://redscores.com/pt-br/match/celtic-falkirk/2xtg,Duplicado sem prioridade
Escócia - Premiership,16:45,St. Mirren,Hearts,https://redscores.com/pt-br/match/hearts-st-mirren/ECxee,Duplicado sem prioridade
Escócia - Premiership,16:45,Kilmarnock,Aberdeen,https://redscores.com/pt-br/match/kilmarnock-aberdeen/7bxOc,Duplicado sem prioridade
Irlanda - Premier Division,17:00,Shamrock Rovers,Galway United,https://redscores.com/pt-br/match/shamrock-rovers-galway-united/mBxDC,Duplicado sem prioridade
