liga,hora,home,away,link_confronto,motivo
Escócia - Premiership,11:00,Hibernian,Kilmarnock,https://redscores.com/pt-br/match/hibernian-kilmarnock/CAx7b,Duplicado sem prioridade
Escócia - Premiership,11:00,Motherwell,Falkirk,https://redscores.com/pt-br/match/motherwell-falkirk/cCxtg,Duplicado sem prioridade
Escócia - Premiership,11:00,Rangers,Dundee United,https://redscores.com/pt-br/match/rangers-dundee-united/AAxtc,Duplicado sem prioridade
Escócia - Premiership,11:00,St. Mirren,Aberdeen,https://redscores.com/pt-br/match/aberdeen-st-mirren/Ocxee,Duplicado sem prioridade
