Match_ID,Campeonato,Rodada,Home,Away,Score_Home,Score_Away,Data,Hora,H_Gols_HT,A_Gols_HT
fXOYFTlA,BRASIL: Brasileirão Betano,RODADA 33,Internacional,Bahia,2,2,,,,
8G0i3j54,BRASIL: Brasileirão Betano,RODADA 33,Vasco,Juventude,1,3,,,,
rccM6PBd,BRASIL: Brasileirão Betano,RODADA 33,Sport,Atlético-MG,2,4,,,,
YP8tk0pf,BRASIL: Brasileirão Betano,RODADA 32,Palmeiras,Santos,2,0,,,,
2JuWaHbC,BRASIL: Brasileirão Betano,RODADA 32,Ceará,Fortaleza,1,1,,,,
2yZ1drhK,BRASIL: Brasileirão Betano,RODADA 32,Fluminense,Mirassol,1,0,,,,
Ui2kmvF6,BRASIL: Brasileirão Betano,RODADA 32,São Paulo,Flamengo,2,2,,,,
IDrp9LyQ,BRASIL: Brasileirão Betano,RODADA 32,Atlético-MG,Bahia,3,0,,,,
YwlF3aam,BRASIL: Brasileirão Betano,RODADA 32,Grêmio,Cruzeiro,0,1,,,,
n9AYjMFs,BRASIL: Brasileirão Betano,RODADA 32,Botafogo,Vasco,3,0,,,,
250coIqJ,BRASIL: Brasileirão Betano,RODADA 32,Red Bull Bragantino,"Corinthians
2",2,1,,,,
dKc4s9ro,BRASIL: Brasileirão Betano,RODADA 32,Sport,Juventude,0,2,,,,
fgxO1wUa,BRASIL: Brasileirão Betano,RODADA 32,Vitória,Internacional,1,0,,,,
j38gV5gL,BRASIL: Brasileirão Betano,RODADA 31,Vasco,São Paulo,0,2,,,,
lY8SsqwR,BRASIL: Brasileirão Betano,RODADA 31,Internacional,Atlético-MG,0,0,,,,
zVtGYv0D,BRASIL: Brasileirão Betano,RODADA 31,Juventude,Palmeiras,0,2,,,,
6kkaxN0l,BRASIL: Brasileirão Betano,RODADA 31,Bahia,Red Bull Bragantino,2,1,,,,
v3m7z1V0,BRASIL: Brasileirão Betano,RODADA 31,Ceará,Fluminense,2,0,,,,
nZgPPqHr,BRASIL: Brasileirão Betano,RODADA 31,Corinthians,Grêmio,2,0,,,,
fyFpXRO8,BRASIL: Brasileirão Betano,RODADA 31,Flamengo,Sport,3,0,,,,
0CSXL1G7,BRASIL: Brasileirão Betano,RODADA 31,Mirassol,Botafogo,0,0,,,,
t85Kq58E,BRASIL: Brasileirão Betano,RODADA 31,Cruzeiro,Vitória,3,1,,,,
hnPPNNoe,BRASIL: Brasileirão Betano,RODADA 31,Santos,Fortaleza,1,1,,,,
lWodnIJj,BRASIL: Brasileirão Betano,RODADA 12,Fluminense,Ceará,1,0,,,,
n7czHFYA,BRASIL: Brasileirão Betano,RODADA 30,Palmeiras,Cruzeiro,0,0,,,,
IeXE9XQp,BRASIL: Brasileirão Betano,RODADA 30,Red Bull Bragantino,Vasco,0,3,,,,
vsfSIy4b,BRASIL: Brasileirão Betano,RODADA 30,Botafogo,Santos,2,2,,,,
6HD9VEm4,BRASIL: Brasileirão Betano,RODADA 30,Grêmio,Juventude,3,1,,,,
8MoqFg3N,BRASIL: Brasileirão Betano,RODADA 30,São Paulo,Bahia,2,0,,,,
6FYkBp2k,BRASIL: Brasileirão Betano,RODADA 30,Fortaleza,Flamengo,1,0,,,,
SUMb9OW1,BRASIL: Brasileirão Betano,RODADA 30,Sport,Mirassol,1,2,,,,
rF0JKcZo,BRASIL: Brasileirão Betano,RODADA 30,Fluminense,Internacional,1,0,,,,
Y3F1XzJi,BRASIL: Brasileirão Betano,RODADA 30,Atlético-MG,Ceará,1,0,,,,
2q7IThIG,BRASIL: Brasileirão Betano,RODADA 30,Vitória,Corinthians,0,1,,,,
YH8ywW2b,BRASIL: Brasileirão Betano,RODADA 14,Bahia,Internacional,1,0,,,,
Y5pU5U8C,BRASIL: Brasileirão Betano,RODADA 29,Santos,Vitória,0,1,,,,
ptCtFYoQ,BRASIL: Brasileirão Betano,RODADA 29,Vasco,Fluminense,2,0,,,,
S2Q90flU,BRASIL: Brasileirão Betano,RODADA 29,Juventude,Red Bull Bragantino,1,0,,,,
vTEg4xk5,BRASIL: Brasileirão Betano,RODADA 29,Bahia,Grêmio,4,0,,,,
ngI12GJH,BRASIL: Brasileirão Betano,RODADA 29,Ceará,Botafogo,0,2,,,,
IDQp6bKh,BRASIL: Brasileirão Betano,RODADA 29,Internacional,Sport,2,0,,,,
6Jrx48wP,BRASIL: Brasileirão Betano,RODADA 29,Mirassol,São Paulo,3,0,,,,
K2KfiVgJ,BRASIL: Brasileirão Betano,RODADA 29,Flamengo,Palmeiras,3,2,,,,
AmNx8Kkt,BRASIL: Brasileirão Betano,RODADA 29,Cruzeiro,Fortaleza,1,0,,,,
UDmD9C9m,BRASIL: Brasileirão Betano,RODADA 29,Corinthians,Atlético-MG,1,0,,,,
MVjUv14d,BRASIL: Brasileirão Betano,RODADA 28,Fluminense,Juventude,1,0,,,,
feZUdZPs,BRASIL: Brasileirão Betano,RODADA 28,Vitória,Bahia,2,1,,,,
OfcbFst9,BRASIL: Brasileirão Betano,RODADA 28,Grêmio,São Paulo,2,0,,,,
raKBivl2,BRASIL: Brasileirão Betano,RODADA 28,Atlético-MG,Cruzeiro,1,1,,,,
jNSweDff,BRASIL: Brasileirão Betano,RODADA 28,"Fortaleza
2",Vasco,0,2,,,,
GlzXbMeS,BRASIL: Brasileirão Betano,RODADA 28,Santos,Corinthians,3,1,,,,
zZG3g0Jk,BRASIL: Brasileirão Betano,RODADA 28,Mirassol,Internacional,3,1,,,,
OzRogiP6,BRASIL: Brasileirão Betano,RODADA 28,Sport,Ceará,1,1,,,,
lxqG24d3,BRASIL: Brasileirão Betano,RODADA 28,Botafogo,Flamengo,0,3,,,,
ryxP0rRF,BRASIL: Brasileirão Betano,RODADA 28,Palmeiras,Red Bull Bragantino,5,1,,,,
xhSj8atA,BRASIL: Brasileirão Betano,RODADA 12,Palmeiras,Juventude,4,1,,,,
GtMnQX1e,BRASIL: Brasileirão Betano,RODADA 13,Mirassol,Fluminense,2,1,,,,
nRmLztMU,BRASIL: Brasileirão Betano,RODADA 14,Atlético-MG,Sport,3,1,,,,
UXBknqCM,BRASIL: Brasileirão Betano,RODADA 27,Ceará,Santos,3,0,,,,
M9FgSNKj,BRASIL: Brasileirão Betano,RODADA 27,Cruzeiro,Sport,1,1,,,,
AVell5sA,BRASIL: Brasileirão Betano,RODADA 27,Bahia,"Flamengo
2",1,0,,,,
0G2LtNZq,BRASIL: Brasileirão Betano,RODADA 27,Juventude,Fortaleza,1,2,,,,
UBzFZ5SG,BRASIL: Brasileirão Betano,RODADA 27,São Paulo,Palmeiras,2,3,,,,
txPbwlTi,BRASIL: Brasileirão Betano,RODADA 27,Vasco,Vitória,4,3,,,,
x4I7ySc4,BRASIL: Brasileirão Betano,RODADA 27,Corinthians,Mirassol,3,0,,,,
lrxDFpyo,BRASIL: Brasileirão Betano,RODADA 27,Fluminense,Atlético-MG,3,0,,,,
xIctjRCc,BRASIL: Brasileirão Betano,RODADA 27,Internacional,Botafogo,2,0,,,,
jRONXqcT,BRASIL: Brasileirão Betano,RODADA 27,Red Bull Bragantino,Grêmio,1,0,,,,
E3zO6GhD,BRASIL: Brasileirão Betano,RODADA 26,Flamengo,Cruzeiro,0,0,,,,
rscYMSrB,BRASIL: Brasileirão Betano,RODADA 26,Fortaleza,São Paulo,0,2,,,,
MR8POlEb,BRASIL: Brasileirão Betano,RODADA 26,Vitória,Ceará,1,0,,,,
tAS9UJpK,BRASIL: Brasileirão Betano,RODADA 26,Botafogo,Bahia,2,1,,,,
Y77lNywf,BRASIL: Brasileirão Betano,RODADA 26,Santos,Grêmio,1,1,,,,
E15HQAqn,BRASIL: Brasileirão Betano,RODADA 26,Internacional,Corinthians,1,1,,,,
S60cLF76,BRASIL: Brasileirão Betano,RODADA 26,Mirassol,Red Bull Bragantino,1,1,,,,
Qs4tPc8s,BRASIL: Brasileirão Betano,RODADA 26,Palmeiras,Vasco,3,0,,,,
UcetL6DN,BRASIL: Brasileirão Betano,RODADA 26,Sport,Fluminense,2,2,,,,
0Kb5JgxJ,BRASIL: Brasileirão Betano,RODADA 26,Atlético-MG,Juventude,0,0,,,,
Q7mXcL9r,BRASIL: Brasileirão Betano,RODADA 25,São Paulo,Ceará,0,1,,,,
Uy213snL,BRASIL: Brasileirão Betano,RODADA 25,Corinthians,Flamengo,1,2,,,,
MZttdave,BRASIL: Brasileirão Betano,RODADA 25,Red Bull Bragantino,Santos,2,2,,,,
GhQrGKVQ,BRASIL: Brasileirão Betano,RODADA 25,Bahia,Palmeiras,1,0,,,,
SCL6s0P1,BRASIL: Brasileirão Betano,RODADA 25,Fluminense,Botafogo,2,0,,,,
8SMzIt1E,BRASIL: Brasileirão Betano,RODADA 25,Grêmio,Vitória,3,1,,,,
SWqlfw97,BRASIL: Brasileirão Betano,RODADA 25,Atlético-MG,Mirassol,1,0,,,,
8j5N8xO0,BRASIL: Brasileirão Betano,RODADA 25,Juventude,Internacional,1,1,,,,
Y98h53H8,BRASIL: Brasileirão Betano,RODADA 25,Vasco,Cruzeiro,2,0,,,,
zw7FAbgl,BRASIL: Brasileirão Betano,RODADA 25,Fortaleza,Sport,1,0,,,,
dCmBGxiK,BRASIL: Brasileirão Betano,RODADA 16,Grêmio,Botafogo,1,1,,,,
zqKT3a7E,BRASIL: Brasileirão Betano,RODADA 16,Vasco,Bahia,3,1,,,,
ADfFhrId,BRASIL: Brasileirão Betano,RODADA 24,Cruzeiro,Red Bull Bragantino,2,1,,,,
ravZCC3B,BRASIL: Brasileirão Betano,RODADA 24,Santos,São Paulo,1,0,,,,
0KpGdiJU,BRASIL: Brasileirão Betano,RODADA 24,Flamengo,Vasco,1,1,,,,
6ZlBhQX2,BRASIL: Brasileirão Betano,RODADA 24,Internacional,Grêmio,2,3,,,,
6cXcqMfk,BRASIL: Brasileirão Betano,RODADA 24,Sport,Corinthians,1,0,,,,
2mi7f4mp,BRASIL: Brasileirão Betano,RODADA 24,Mirassol,Juventude,2,0,,,,
zZzREYYb,BRASIL: Brasileirão Betano,RODADA 24,Palmeiras,Fortaleza,4,1,,,,
GWKPGf4n,BRASIL: Brasileirão Betano,RODADA 24,Botafogo,Atlético-MG,1,0,,,,
zFtSlrXR,BRASIL: Brasileirão Betano,RODADA 24,Ceará,Bahia,1,1,,,,
vmmJj42F,BRASIL: Brasileirão Betano,RODADA 24,Vitória,Fluminense,0,1,,,,
tQYsALBc,BRASIL: Brasileirão Betano,RODADA 12,Botafogo,Mirassol,3,3,,,,
zDaj2ekg,BRASIL: Brasileirão Betano,RODADA 23,Bahia,Cruzeiro,1,2,,,,
4ApwevrQ,BRASIL: Brasileirão Betano,RODADA 23,Vasco,Ceará,2,2,,,,
M9ZGmdz0,BRASIL: Brasileirão Betano,RODADA 23,São Paulo,Botafogo,1,0,,,,
jkRXqEZO,BRASIL: Brasileirão Betano,RODADA 23,Atlético-MG,Santos,1,1,,,,
4hi7bDlI,BRASIL: Brasileirão Betano,RODADA 23,Juventude,Flamengo,0,2,,,,
IyTPoz5C,BRASIL: Brasileirão Betano,RODADA 23,Red Bull Bragantino,Sport,1,1,,,,
x4hiXzjJ,BRASIL: Brasileirão Betano,RODADA 23,Fluminense,Corinthians,0,1,,,,
lrM9kI5m,BRASIL: Brasileirão Betano,RODADA 23,Palmeiras,Internacional,4,1,,,,
dSma0ZJ5,BRASIL: Brasileirão Betano,RODADA 23,Fortaleza,Vitória,2,0,,,,
UFdr4HKt,BRASIL: Brasileirão Betano,RODADA 23,Grêmio,Mirassol,0,1,,,,
rsHer1bK,BRASIL: Brasileirão Betano,RODADA 22,Internacional,Fortaleza,2,1,,,,
txarZdL6,BRASIL: Brasileirão Betano,RODADA 22,Sport,Vasco,2,3,,,,
4WcStlNF,BRASIL: Brasileirão Betano,RODADA 22,Corinthians,Palmeiras,1,1,,,,
fLz1MJy1,BRASIL: Brasileirão Betano,RODADA 22,Mirassol,Bahia,5,1,,,,
