Europa - Champions League
América do Sul - Copa Libertadores
África do Sul - Gladafrica Championship
Alemanha - Regionalliga: Nordost
Alemanha - Regionalliga: Bayern
Alemanha - Oberliga: Rheinland-Pfalz/Saar
Alemanha - Oberliga: Bayern Süd
Alemanha - Oberliga: Bayern Nord
América do Sul - Copa Libertadores U20
Armênia - First League
Ásia - AFC Champions League
Ásia - AFC Cup
Ásia - Asian Cup Women
Áustria - Erste Liga
Áustria - Regionalliga: Ost
Áustria - WFV Cup
Azerbaijão - Premier League
Bangladesh - Federation Cup
Barbados - Premier League
Bósnia e Herzegovina - Bosnia Cup
Brasil - Copa do Brasil
Brasil - Amapaense
Brasil - Roraimense
Burkina Faso - Premier League
Butão - Super League
Camarões - Elite One
Chile - Primera B
Colômbia - Torneo Betplay
Costa Rica - Liga de Ascenso
Croácia - Croatia Cup
Emirados Árabes Unidos - Uae League
Estônia - Estonian Cup
Etiópia - Premier League
França - Division 1 Women
Honduras - Liga Nacional
Indonésia - Liga 1
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Premier: Northern
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Professional Development League
Inglaterra - Premier League U18
Inglaterra - Central League
Inglaterra - FA Youth Cup
Irlanda do Norte - Championship
Islândia - League Cup
Islândia - League Cup Women A
Líbia - Premier League
Macedônia FYR - First League
Malta - First Division
México - Liga TDP: Group 2
México - Liga Mx Women
Mianmar - National League
Mundo - CONCACAF Champions League
Mundo - Club Friendlies 3
Mundo - Viareggio Cup
País de Gales - FAW Championship
Portugal - Liga Revelacao U23
Quênia - Super League
RD Congo - Super Ligue
República Tcheca - U19 League
Ruanda - National Soccer League
Sérvia - Super Liga Žene
Síria - Premier League
Turquia - 1. Lig
Turquia - 2. Lig: Beyaz
Uganda - Premier League
Uzbequistão - Professional Football League
Polônia - Women's Cup
Escócia - Lowland League Cup
Inglaterra - U17 Professional Development League Cup
Inglaterra - Somerset Premier Cup
Inglaterra - BBFA Senior Cup
Azerbaijão - Reserve League
Espanha - Autonómicas: Canarias - Gran Canaria
Países Baixos - U19 Divisie 1
Ásia - AGCFF Gulf Club Champions League
Itália - U18 Serie A/B
País de Gales - FAW Championship - South
Irlanda do Norte - Premier Intermediate League
Inglaterra - Gloucester Senior Challenge Cup
Inglaterra - U18 Professional Development League
Alemanha - Reg. Cup Hamburg
Alemanha - State Leagues: Bayern - Südost
Escócia - Regional Leagues
Inglaterra - Staffordshire Senior Cup
Croácia - Second NL
Inglaterra - Alan Turvey Trophy
Áustria - Jugendliga U15
Países Baixos - U21 Divisie 1
Ucrânia - Premier League Women
Inglaterra - Lancashire FA Challenge Trophy
Escócia - Regional Leagues: East of Scotland
