Inglaterra - FA Cup
Mundo - Africa Cup of Nations
Angola - Girabola
Aruba - Division de Honor
Ásia - Afc Championship U23
Austrália - W-League
Bahrein - Premier League
Bermudas - Premier League
Brasil - Sao Paolo Youth Cup
Brasil - Pernambucano 1
Brasil - Brasiliense
Brasil - Paulista A2
Brunei Darussalam - Super League
Burundi - Ligue A
Chipre - 1. Division
Curaçao - Premier League
Emirados Árabes Unidos - Arabian Gulf Reserve League
Espanha - Primera Division RFEF: Group 1
Espanha - Primera Division RFEF: Group 2
Espanha - Tercera - Group 7
Espanha - Tercera - Group 12
Etiópia - Premier League
França - CFA Group A
França - CFA Group C
Gana - Premier League
Gibraltar - Premier Division
Guadalupe - Division d'Honneur
Indonésia - Liga 1
Inglaterra - Non League Premier: Isthmian
Inglaterra - Premier League 2 Division One
Inglaterra - Professional Development League
Inglaterra - Premier League U18
Iraque - Iraqi League
Israel - Liga Leumit
Israel - Liga Alef
Israel - Liga Bet - South A
Itália - Serie C: Girone B
Itália - Serie C: Girone C
México - Liga de Expansión MX
México - Liga Premier Serie A
México - Liga Premier Serie B
México - Liga TDP: Group 2
México - Liga Mx Women
Mundo - Club Friendlies
Mundo - Club Friendlies 3
Quênia - Premier League
Quênia - Super League
Ruanda - National Soccer League
Serra Leoa - Premier League
Síria - Premier League
Sudão - Sudan Premier League
Tailândia - Thai Premier League
Tailândia - Thai League Two
Trinidad e Tobago - T&T Pro League
Turquia - 1. Lig
Irlanda - Leinster Senior League
Irlanda - Munster Senior League
Irlanda do Norte - Irish Cup
Espanha - Autonómicas: Navarra
Índia - Indian Women's League
Espanha - Autonómicas: Canarias - Gran Canaria
Egito - Second Division A
México - U19 League
Omã - First Division League
Indonésia - Liga Nusantara
Qatar - U19 League
País de Gales - FAW Championship - South
Espanha - Autonómicas: Canarias - Tenerife 1
Mundo - Club Friendlies 2
Israel - Liga Alef - Süd
Israel - Liga Bet - North A
Martinica - Division d'Honneur
Israel - Liga Bet - North B
Israel - Liga Bet - South B
Arábia Saudita - Division 2
Malásia - Liga M3
Irlanda do Norte - Premier Intermediate League
Malta - National Amateur League
Emirados Árabes Unidos - Youth League
Escócia - Regional Leagues: North JFA
