Alemanha - Regionalliga: West
Arábia Saudita - Division 1
Bahrein - Premier League
Brasil - Piauiense
Brasil - Carioca 1
Brasil - Paulista A1
Brasil - Gaucho 1
Burkina Faso - Premier League
Burundi - Ligue A
Cingapura - S. League
Colômbia - Torneo Betplay
Costa Rica - Primera Division
Costa Rica - Liga de Ascenso
Etiópia - Premier League
Gibraltar - Premier Division
Grécia - Gamma Ethniki Group 6
Índia - Santosh Trophy
Indonésia - Liga 1
Inglaterra - Vanarama National League South
Inglaterra - Non League Premier: Isthmian
Inglaterra - Premier League 2 Division One
Inglaterra - Professional Development League
Irã - Azadegan League
Iraque - Iraqi League
Irlanda do Norte - Premiership Development League
Israel - Liga Leumit
Israel - Liga Alef
Israel - State Cup
Itália - Serie C: Girone A
Itália - Serie A Women
Itália - PrimaVera 1
Itália - Primavera 3
Líbia - Premier League
Mali - Premiere Division
Mauritânia - Super D1
México - Liga Premier Serie B
México - Liga Mx Women
Mundo - Club Friendlies 3
Nigéria - Npfl
Portugal - Liga Revelacao U23
Qatar - QSL Cup
RD Congo - Super Ligue
Serra Leoa - Premier League
Sudão - Sudan Premier League
Turquia - 1. Lig
Turquia - U19 Elit A
Itália - U17 Serie A/B
Israel - State Cup Women
Hong Kong - HKPL U22 League
Gana - Division One
Tailândia - Thai League 3 - North East
Israel - Liga Bet - North A
Israel - Liga Bet - North B
Arábia Saudita - Division 2
Malásia - Liga M3
Indonésia - Liga Nusantara
