Europa - Europa League
Mundo - Friendly International
Angola - Girabola
Arábia Saudita - Division 1
Brasil - Sao Paolo Youth Cup
Brasil - Catarinense 1
Brasil - Baiano 1
Brasil - Goiano 1
Brasil - Cearense 1
Brasil - Pernambucano 1
Brasil - Maranhense
Brasil - Sergipano
Brasil - Matogrossense
Brasil - Gaucho 1
Brasil - Carioca 1
Brasil - Paulista A1
Brasil - Mineiro 1
Brasil - Acreano
Costa Rica - Primera Division
El Salvador - Primera Division
Etiópia - Premier League
Guatemala - Liga Nacional
Índia - Santosh Trophy
Inglaterra - Premier League Cup
Inglaterra - FA Youth Cup
Inglaterra - Premier League International Cup
Irã - Persian Gulf Pro League
Iraque - Iraqi League
Israel - Liga Alef
Israel - Liga Bet - South A
Israel - Ligat Al Women
Itália - Coppa Italia Women
Itália - PrimaVera 1
Jamaica - Premier League
Kuwait - Division 1
Líbia - Premier League
Maldivas - Male League
México - Liga TDP: Group 2
México - Liga Mx Women
Mianmar - National League
Mundo - Club Friendlies 3
Nigéria - Npfl
RD Congo - Super Ligue
Sudão - Sudan Premier League
Tanzânia - Ligi kuu Bara
Tunísia - Ligue 1
Uganda - Premier League
Vietnã - U19 Championship
Irlanda - Munster Senior League
Egito - Second Division A
Inglaterra - Northumberland Senior Cup
Mundo - Club Friendlies 4
Malta - First Division Women
País de Gales - Welsh Premier Women's League
Israel - Liga Bet - South B
Israel - Liga Bet - North B
Israel - Liga Alef - Süd
