Itália - Coppa Italia
África do Sul - Gladafrica Championship
Arábia Saudita - Division 1
Argélia - Ligue 2
Bahrein - Premier League
Brasil - Baiano 1
Brasil - Paraense
Brasil - Matogrossense
Brasil - Cearense 1
Brasil - Carioca 1
Burkina Faso - Premier League
Costa Rica - Primera Division
Costa Rica - Liga de Ascenso
Emirados Árabes Unidos - Uae League
Escócia - Challenge Cup
Etiópia - Premier League
Guatemala - Liga Nacional
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Northern
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Professional Development League
Inglaterra - Central League
Inglaterra - Premier League U18
Inglaterra - Premier League Cup
Inglaterra - Central League Cup
Inglaterra - FA Youth Cup
Inglaterra - London Senior Cup
Irã - Persian Gulf Pro League
Irã - Azadegan League
Iraque - Iraqi League
Irlanda do Norte - Irish League Cup
Israel - Liga Alef
Israel - State Cup
Líbia - Premier League
Malta - Fa Trophy
Mauritânia - Super D1
Mundo - Club Friendlies 3
Nicarágua - Primera Division
Nicarágua - Liga Primera U20
Portugal - Liga Revelacao U23
Qatar - QSL Cup
Serra Leoa - Premier League
Tanzânia - Ligi kuu Bara
Tunísia - Ligue 1
Turquia - 2. Lig: Beyaz
Turquia - 2. Lig: Kirmizi
Uganda - Premier League
Vietnã - U19 Championship
Inglaterra - Bedfordshire Senior Challenge Cup
Inglaterra - Somerset Premier Cup
Espanha - Copa Catalunya Femenina
Inglaterra - U17 Professional Development League Cup
Escócia - Regional Leagues: North JFA
Inglaterra - National League Cup
País de Gales - FAW Championship - South
Irlanda do Norte - Irish Cup
Inglaterra - Youth Alliance Cup
Itália - U18 Serie A/B
Inglaterra - Surrey Senior Cup
Inglaterra - Walsall Senior Cup
Inglaterra - Alan Turvey Trophy
Inglaterra - Hampshire Senior Cup
Israel - Liga Bet - North A
