Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Women's Super League
Inglaterra - Wsl 2 Women
Inglaterra - Premier League 2 Division One
Inglaterra - Premier League U18
Irã - Persian Gulf Pro League
Iraque - Iraqi League
Irlanda - Women's National League
Irlanda do Norte - Premiership
Irlanda do Norte - Championship
Islândia - Inkasso-Deildin
Islândia - Premier League Women
Israel - Ligat ha'Al
Israel - Liga Alef
Israel - Liga Bet - South A
Itália - Serie C: Girone B
Itália - PrimaVera 1
Itália - Primavera 2
Itália - Primavera 3
Japão - J3-League
Japão - Japan Football League
Japão - Nadeshiko League 1
Japão - Nadeshiko League 2
Jordânia - Premier League
Kuwait - Premier League
Laos - Premier League
Letônia - Virsliga
Letônia - First Liga
Líbano - Premier League
Lituânia - 1. Lyga
Macedônia FYR - First League
Macedônia FYR - Second League
Malásia - Super League
Malauí - Super League
Malta - Premier League
Malta - First Division
Malta - Gozo First Division
Marrocos - Botola Pro
Marrocos - Botola 2
México - Liga de Expansión MX
México - Liga Premier Serie A
México - Liga TDP: Group 2
México - Liga Mx Women
Mianmar - National League
Moçambique - Mocambola
Moldávia - National Division
Moldávia - Division A
Mongólia - Premier League
Montenegro - First League
Mundo - World Cup U20
Nicarágua - Primera Division
Nigéria - Npfl
Noruega - 2. Division: Group 2
Noruega - 2. Division
Noruega - 3. Division
Noruega - Cup Women
Nova Zelândia - Regional Leagues
Nova Zelândia - National League Women
Omã - Professional League
País de Gales - Premier League
País de Gales - FAW Championship
País de Gales - Welsh Cup
Países Baixos - Tweede Divisie
Polônia - Ekstraklasa
Polônia - 1. Liga
Polônia - 2. Liga East
Polônia - 3. Liga
Polônia - Ekstraliga Women
Portugal - Segunda Liga
Portugal - 2. Division: Group D
Portugal - 1st Division Women
Portugal - Júniores U19
Qatar - Premier League
Quênia - Premier League
Quênia - Super League
Quirguizistão - Top Liga
República Dominicana - Liga Mayor
República Tcheca - Fortuna Liga
República Tcheca - 2. Liga FNL
República Tcheca - 3. Liga MSFL
República Tcheca - 3. Liga CFL
República Tcheca - 4. Liga Division E
República Tcheca - 4. Liga Division C
República Tcheca - 4. Liga Division B
República Tcheca - 4. Liga Division A
República Tcheca - 4. Liga Division F
República Tcheca - 4. Liga Division D
República Tcheca - First League Women
República Tcheca - U19 League
Romênia - Liga 1
Romênia - Liga 2
Romênia - 3. Liga: Series 5
Romênia - 3. Liga: Series 4
Romênia - 3. Liga: Series 3
Romênia - 3. Liga: Series 2
Romênia - 3. Liga: Series 1
Romênia - 3. Liga: Series 7
Romênia - 3. Liga: Series 8
Romênia - 3. Liga: Series 6
Romênia - Liga 1 Women
Rússia - Premier League Women
São Marino - Campionato
Sérvia - Super Liga
Sérvia - U19 League
Suécia - Ettan: North
Suécia - Ettan: South
Suécia - Division 2: Vastra Gotaland
Suécia - Division 2: Norrland
Suécia - Division 2: Sodra Svealand
Suécia - Division 2: Norra Svealand
Suécia - Division 2: Norra Gotaland
Suécia - Division 2: Ostra Gotaland
Suécia - Allsvenskan Women
Suécia - Elitettan Women
Suíça - Challenge League
Suíça - 1.Liga Promotion
Suíça - Nationalliga A Women
Suíça - Nationalliga B Women
Tailândia - Thai Premier League
Tailândia - Thai League Two
Taipé Chinês - Taiwan Mulan Football League
Tajiquistão - Vysshaya Liga
Tanzânia - Ligi kuu Bara
Tunísia - Ligue 2
Turquia - 1. Lig
Turquia - 2. Lig: Kirmizi
Turquia - 3. Lig: Group 4
Turquia - 3. Lig: Group 1
Turquia - 3. Lig: Group 2
Turquia - 3. Lig: Group 3
Turquia - U19 Elit A
Ucrânia - Premier League
Ucrânia - Persha Liga
Ucrânia - Second League: Group A
Uganda - Premier League
Uzbequistão - Professional Football League
Vietnã - V-League
Vietnã - V-League 2
Zimbábue - Premier Soccer League
Alemanha - State Leagues: Hessen - Nord
Alemanha - State Leagues: Südwest
Alemanha - State Leagues: Mecklenburg - Vorpommern
Alemanha - State Leagues: Weser - Ems
Alemanha - State Leagues: Südbaden
Alemanha - State Leagues: Württemberg
Brasil - Mineiro 3
Nova Caledônia - Super Ligue
Moldávia - Liga 2
Alemanha - U17 Bundesliga
Ilhas Faroe - 2. Deild
Dinamarca - 2. Division Women
Inglaterra - U18 Professional Development League
Polônia - IV Liga: Dolnośląska East
Dinamarca - U17 Ligaen
Polônia - IV Liga: Małopolska
Polônia - IV Liga: Podlaska
Polônia - IV Liga: Warmińsko-Mazurska
Polônia - IV Liga: Wielkopolska
Polônia - IV Liga: Zachodniopomorska
Polônia - IV Liga: Podkarpacka
Eslováquia - 4. liga: Center
Dinamarca - 3. Division
Polônia - IV Liga: Lubelska I
Polônia - IV Liga: Opolska
Escócia - East of Scotland Qualifying Cup
Alemanha - State Leagues: Sachsen - Anhalt
Bósnia e Herzegovina - Premijer Ženska Liga
Brasil - Maranhense 2
Portugal - Júniores U17
Alemanha - State Leagues: Sachsen
Alemanha - State Leagues: Baden
Ilhas Faroe - Women's Cup
Rússia - Third Division - South
Finlândia - Ykkönen
África - U20 Women's World Cup Qualification Africa
Internacional - OFC U19 Women's Championship
Guiana - GFF Elite League
Islândia - U19 League B
Guam - Soccer League
Polônia - II Liga Women
Polônia - IV Liga: Śląska I
Finlândia - Kolmonen - Promotion Play-offs Finals
Áustria - Frauenliga
Croácia - Second NL
Romênia - Liga 2 Feminin
Brasil - Pernambucano 2
Áustria - Jugendliga U16
Países Baixos - U21 Divisie 2
Brasil - Paranaense 3
Polônia - IV Liga: Lódzka
Alemanha - State Leagues: Rheinland
Alemanha - State Leagues: Schleswig - Holstein
Alemanha - State Leagues: Thüringen
Suíça - 2. Liga Interregional
Israel - U19 Elite Division
França - Championnat National U19
Polônia - IV Liga: Mazowiecka
Polônia - 3. Liga - Group 4
Polônia - IV Liga: Lubuska
Eslováquia - I Liga Women
Finlândia - Kolmonen - Länsi
Noruega - 3. Division - Group 2
Noruega - 3. Division - Group 4
Noruega - 3. Division - Group 3
Noruega - 3. Division - Group 5
Noruega - 3. Division - Group 6
EUA - MLS Next Pro
Rússia - FNL 2 - Group 2
Rússia - FNL 2 - Group 3
Polônia - 3. Liga - Group 3
Polônia - 3. Liga - Group 2
Tailândia - Thai League 3 - Championship Round
Rússia - FNL 2 - Group 4
Finlândia - Kolmonen - Etelä
Espanha - División De Honor Juvenil - Group 5
Espanha - División De Honor Juvenil - Group 1
Espanha - División De Honor Juvenil - Group 2
Espanha - División De Honor Juvenil - Group 7
Espanha - División De Honor Juvenil - Group 3
Espanha - División De Honor Juvenil - Group 6
Israel - Liga Bet - North B
Tailândia - Thai League 3 - West
Israel - Liga Bet - North A
Israel - Liga Bet - South B
Israel - Liga Alef - Süd
Polônia - IV Liga: Kujawsko-Pomorska
Polônia - IV Liga: Pomorska
Alemanha - State Leagues: Hessen - Süd
Eslováquia - 4. liga: West
Alemanha - State Leagues: Hessen - Mitte
Eslováquia - 4. liga: Bratislava
Eslováquia - 4. liga: East
Suécia - U19 League
Escócia - Regional Leagues
Alemanha - State Leagues: Hamburg - Hansa
Alemanha - State Leagues: Saarland
Japão - Regional Leagues: Tohoku
Japão - Regional Leagues: Tokai
Japão - Regional Leagues: Chugoku
Finlândia - Kolmonen - Pohjoinen
Alemanha - State Leagues: Bayern - Südwest
Alemanha - State Leagues: Bayern - Südost
Alemanha - State Leagues: Bayern - Mitte
Alemanha - State Leagues: Bayern - Nordwest
Alemanha - State Leagues: Bayern - Nordost
Ilha da Reunião - Regionale 1
Chile - Tercera A
China - League Two
Malásia - Liga M3
Rússia - Third Division - Golden Ring
Canadá - Northern Super League
