Espanha - Super Cup
Portugal - League Cup
Arábia Saudita - Division 1
Ásia - Afc Championship U23
Benin - Championnat National
Brasil - Sao Paolo Youth Cup
Brasil - Paranaense 1
Brasil - Cearense 1
Brasil - Catarinense 1
Chipre - Cyprus Cup
Emirados Árabes Unidos - Uae League
Emirados Árabes Unidos - Arabian Gulf Reserve League
Espanha - Segunda Division RFEF: Group 3
Espanha - Tercera - Group 10
Espanha - Tercera - Group 9
Espanha - Tercera - Group 6
Grécia - Gamma Ethniki Group 3
Grécia - Greek Cup
Honduras - Liga Nacional
Ilhas Turcas e Caicos - Premier League
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Premier League International Cup
Inglaterra - Premier League Cup
Israel - Liga Bet - South A
Itália - Coppa Italia Serie D
Itália - Primavera Cup
Jamaica - Premier League
Líbia - Premier League
Malta - Premier League
México - Liga Mx Women
Mianmar - National League
Mundo - Club Friendlies 3
Omã - Professional League
Qatar - Premier League
Quênia - Premier League
Quênia - Super League
RD Congo - Super Ligue
Senegal - Ligue 1
Sudão - Sudan Premier League
Trinidad e Tobago - T&T Pro League
Uganda - Premier League
Quênia - Women Premier League
Indonésia - Liga Nusantara
Hong Kong - HKPL U22 League
Tailândia - Thai League 3 Cup
Portugal - Women's Cup
Gana - Cup
Malta - National Amateur League
Arábia Saudita - Division 2
Israel - Liga Bet - South B
Mundo - Club Friendlies 2
