Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Países Baixos - KNVB Beker
Portugal - Taça De Portugal
Turquia - Turkish Cup
Albânia - 1st Division
Andorra - Primera División
Arábia Saudita - Youth League
Azerbaijão - Birinci Dasta
Bósnia e Herzegovina - Premier Liga
Brasil - Copa do Brasil
Colômbia - Copa Betplay
Costa Rica - Primera Division
Espanha - Tercera - Group 13
Espanha - Tercera - Group 6
Europa - Champions League Women
Grécia - Super League 2
Grécia - Gamma Ethniki Group 3
Grécia - Greek Cup
Guadalupe - Division d'Honneur
Guatemala - Liga Nacional
Honduras - Liga Nacional
Índia - Santosh Trophy
Inglaterra - Non League Premier: Southern Central
Inglaterra - Wsl 2 Women
Inglaterra - Central League
Inglaterra - Premier League International Cup
Inglaterra - FA Youth Cup
Irã - Persian Gulf Pro League
Itália - PrimaVera 1
Jamaica - Premier League
Jordânia - 1st Division
Kuwait - Premier League
Líbia - Premier League
Malauí - Super League
Mali - Premiere Division
Malta - First Division
Mundo - FIFA Club World Cup
Portugal - Liga Revelacao U23
Portugal - Júniores U19
Quênia - Premier League
Quênia - Super League
RD Congo - Super Ligue
República Dominicana - Liga Mayor
Ruanda - National Soccer League
Síria - Premier League
Tailândia - League Cup
Trinidad e Tobago - T&T Pro League
Turquia - 2. Lig: Kirmizi
Turquia - 2. Lig: Beyaz
Turquia - 3. Lig: Group 4
Turquia - 3. Lig: Group 1
Turquia - 3. Lig: Group 2
Turquia - 3. Lig: Group 3
Uganda - Premier League
Zâmbia - Super League
Mundo - U16 National Team Friendlies 2
Ásia - Southeast Asian Games Women
Egito - Second Division A
País de Gales - FAW Championship - South
Tailândia - Thai League 3 Cup
Ásia - ASEAN Club Championship
Países Baixos - U19 Divisie 1
Hong Kong - HKPL U22 League
Grécia - Greece Super League 2 K19
Indonésia - Liga Nusantara
Inglaterra - U18 Premier League Cup
Libéria - LFA First Division
Espanha - División De Honor Juvenil - Group 4
Israel - Liga Bet - South B
França - Championnat National U19
Israel - U19 Elite Division
