Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Alemanha - DFB Pokal
Países Baixos - KNVB Beker
Portugal - League Cup
Turquia - Turkish Cup
América do Sul - Copa Libertadores
África do Sul - Gladafrica Championship
África do Sul - League Cup
Albânia - 1st Division
Alemanha - Regionalliga: Nord
América do Norte e Central - Concacaf Caribbean Club Championship
Andorra - Primera División
Angola - Girabola
Arábia Saudita - Division 1
Argentina - Reserve League
Armênia - Armenian Cup
Ásia - AFC Cup
Áustria - Austrian Cup
Azerbaijão - Azerbaidjan Cup
Belarus - Vysshaya Liga
Bélgica - Belgian Cup
Bósnia e Herzegovina - Bosnia Cup
Brasil - Carioca 2
Brasil - Copa Gaúcha
Bulgária - Bulgarian Cup
Chipre - Cyprus Cup
Costa Rica - Liga de Ascenso
Croácia - Croatia Cup
Dinamarca - Landspokal Cup
El Salvador - Primera Division
Equador - Primera B
Eslováquia - Slovakia Cup
Eslováquia - Youth League
Eslovênia - Slovenian Cup
Espanha - Tercera - Group 11
Espanha - Tercera - Group 6
Estônia - Estonian Cup
Estônia - U19 League
Etiópia - Premier League
Grécia - Greek Cup
Guadalupe - Division d'Honneur
Hong Kong - Premier League
Hungria - Hungarian Cup
Índia - Bangalore Super Division
Índia - Hero Super Cup
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Women's National League - Premier Division South
Inglaterra - Women's National League - Premier Division North
Inglaterra - Premier League U18
Inglaterra - Premier League International Cup
Iraque - Iraqi League
Israel - State Cup
Itália - Coppa Italia Serie C
Itália - Coppa Italia Serie D
Itália - Primavera Cup
Luxemburgo - National Division
Macedônia FYR - First League
Macedônia FYR - Macedonian Cup
Malásia - FA Cup
Malauí - Super League
Malta - Premier League
Marrocos - Botola Pro
Moldávia - Moldovan Cup
Mongólia - Premier League
Mundo - Friendly International Women
Nicarágua - Primera Division
Omã - Professional League
Polônia - 3. Liga
Portugal - Liga Revelacao U23
Qatar - QSL Cup
Quênia - Premier League
RD Congo - Super Ligue
República Tcheca - 4. Liga Division D
República Tcheca - U19 League
Romênia - Romania Cup
Rússia - Russian Cup
Sérvia - Serbian Cup
Suíça - 1.Liga Promotion
Tunísia - Ligue 1
Ucrânia - Ukrainian Cup
Uganda - Premier League
Uzbequistão - Uzbekistan Cup
Zâmbia - Super League
Europa - UEFA U17 Championship Women Qualification
América do Norte e Central - Concacaf Central American Cup
Bolívia - Copa de la División Profesional
Inglaterra - Surrey Senior Cup
Brasil - Potiguar 2
Inglaterra - U17 Premier League Cup
Alemanha - U17 Bundesliga
Polônia - IV Liga: Podlaska
Liechtenstein - Liechtenstein Cup
Uruguai - Copa Uruguay
Eslováquia - I Liga Women
Brasil - Paraense B2
