Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Alemanha - DFB Pokal
França - Coupe de France
Países Baixos - KNVB Beker
Turquia - Turkish Cup
Suíça - Swiss Cup
América do Sul - Copa Libertadores
Alemanha - Regionalliga: Nordost
Arábia Saudita - Division 1
Bangladesh - Federation Cup
Botsuana - Premier League
Brasil - Cearense 1
Brasil - Baiano 1
Brasil - Maranhense
Brasil - Amazonense
Brasil - Paranaense 1
Brasil - Catarinense 1
Brasil - Pernambucano 1
Brasil - Sergipano
Brasil - Acreano
Bulgária - Super Cup
Colômbia - Torneo Betplay
Costa Rica - Liga de Ascenso
Escócia - Challenge Cup
Europa - UEFA Youth League
Índia - Santosh Trophy
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Northern
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Professional Development League
Inglaterra - Central League
Inglaterra - Premier League Cup
Inglaterra - Premier League International Cup
Inglaterra - London Senior Cup
Irã - Persian Gulf Pro League
Irã - Azadegan League
Irlanda do Norte - Championship
Irlanda do Norte - Irish League Cup
Israel - State Cup
Jordânia - Premier League
Líbia - Premier League
Malta - Premier League
México - Liga TDP: Group 2
Mundo - CONCACAF Champions League
Mundo - Club Friendlies 3
Nicarágua - Primera Division
Nicarágua - Liga Primera U20
Omã - Professional League
Portugal - Liga Revelacao U23
Qatar - Q League
RD Congo - Super Ligue
Síria - Premier League
Sudão - Sudan Premier League
Tailândia - Thai League Two
Tanzânia - Ligi kuu Bara
Irlanda do Norte - Irish Cup
Inglaterra - Birmingham Senior Cup
Escócia - Lowland League Cup
Inglaterra - Bedfordshire Senior Challenge Cup
Ilhas Cayman - CIFA Premier League
Costa Rica - Copa Costa Rica
Inglaterra - Sussex Senior Challenge Cup
Malásia - Liga M3
Inglaterra - Surrey Senior Cup
Inglaterra - Cheshire Senior Cup
Inglaterra - U18 Professional Development League Cup
Inglaterra - U18 Premier League Cup
Inglaterra - Northumberland Senior Cup
Guiana Francesa - Régional 1
Inglaterra - U17 Premier League Cup
Inglaterra - Alan Turvey Trophy
Inglaterra - Hampshire Senior Cup
Arábia Saudita - Division 2
Escócia - Football League - Highland League
Mundo - Club Friendlies 4
