Europa - Champions League
África do Sul - Gladafrica Championship
Alemanha - Regionalliga: West
Arábia Saudita - Division 1
Austrália - W-League
Bahrein - Premier League
Brasil - Cearense 1
Brasil - Baiano 1
Brasil - Goiano 1
Brasil - Amazonense
Brasil - Paraense
Brasil - Matogrossense
Brasil - Maranhense
Brasil - Pernambucano 1
Brasil - Acreano
Brasil - Paulista A2
Brasil - Paulista A3
Camarões - Elite One
Costa Rica - Primera Division
Costa Rica - Liga de Ascenso
El Salvador - Primera Division
Emirados Árabes Unidos - Uae League
Emirados Árabes Unidos - Arabian Gulf Reserve League
Escócia - SWPL 1
Espanha - Segunda Division RFEF: Group 5
Gibraltar - Premier Division
Grécia - Super League K19
Guadalupe - Division d'Honneur
Guatemala - Liga Nacional
Guatemala - Primera Division
Honduras - Liga Nacional
Hong Kong - Premier League
Ilhas Turcas e Caicos - Premier League
Índia - Santosh Trophy
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Premier League U18
Irã - Persian Gulf Pro League
Iraque - Iraqi League
Irlanda do Norte - Irish League Cup
Israel - Liga Bet - South A
Itália - Coppa Italia Serie C
Itália - Coppa Italia Women
Jamaica - Premier League
Jordânia - Premier League
Líbia - Premier League
Maldivas - Male League
Malta - Fa Trophy
Mauritânia - Super D1
Mianmar - National League
Mundo - Club Friendlies 3
Mundo - Friendly International Women
Nicarágua - Liga Primera U20
Nigéria - Npfl
Países Baixos - Women's Cup
Portugal - Liga Revelacao U23
Quênia - Premier League
Quênia - Super League
RD Congo - Super Ligue
São Marino - Campionato
Sudão - Sudan Premier League
Tailândia - League Cup
Trinidad e Tobago - T&T Pro League
Tunísia - Ligue 1
Turquia - 2. Lig: Beyaz
Turquia - 2. Lig: Kirmizi
Turquia - Bölgesel Amatör Lig
Uganda - Premier League
Zâmbia - Super League
Inglaterra - Birmingham Senior Cup
Espanha - Autonómicas: C Valenciana - Nord
Ásia - ASEAN Club Championship
Espanha - Autonómicas: C Valenciana - Sud
Hong Kong - HKPL U22 League
Itália - U18 Serie A/B
Tahiti - Ligue 1
França - Championnat National U19
Espanha - Autonómicas: Canarias - Tenerife 1
Itália - Primavera 2 Women
Inglaterra - Youth Alliance Cup
Escócia - Football League - Highland League
Mundo - Club Friendlies 4
Turquia - Bölgesel Amatör Lig - Region 4
Turquia - Bölgesel Amatör Lig - Region 2
Internacional - FIFA Women's Champions Cup
