Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Alemanha - DFB Pokal
Itália - Coppa Italia
França - Coupe de France
Países Baixos - KNVB Beker
Portugal - Taça De Portugal
Turquia - Turkish Cup
Suíça - Swiss Cup
América do Sul - Copa Libertadores
Alemanha - Regionalliga: West
Alemanha - Bundesliga Women
Angola - Girabola
Arábia Saudita - Division 1
Arábia Saudita - Youth League
Argentina - Copa Argentina
Austrália - W-League
Azerbaijão - Azerbaidjan Cup
Bélgica - Belgian Cup
Botsuana - Premier League
Brasil - Baiano 1
Brasil - Paraense
Brasil - Matogrossense
Brasil - Paranaense 1
Brasil - Pernambucano 1
Brasil - Cearense 1
Brasil - Sergipano
Brasil - Amazonense
Brasil - Paulista A3
Camarões - Elite One
Chipre - 1. Division
Chipre - Cyprus Cup
Colômbia - Torneo Betplay
El Salvador - Primera Division
El Salvador - Reserve League
Escócia - SWPL 2
Espanha - Tercera - Group 5
Espanha - Copa de la Reina
Etiópia - Premier League
Europa - UEFA Youth League
Grécia - Gamma Ethniki Group 6
Grécia - Greek Cup
Índia - Santosh Trophy
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Professional Development League
Inglaterra - Central League
Inglaterra - Premier League Cup
Iraque - Iraqi League
Israel - State Cup
Jordânia - Premier League
Kuwait - Division 1
Laos - Premier League
Líbia - Premier League
Maldivas - Male League
Malta - Premier League
México - Liga TDP: Group 2
México - Liga Mx Women
Mianmar - National League
Mundo - CONCACAF Champions League
Mundo - Club Friendlies 3
Nicarágua - Primera Division
Nicarágua - Liga Primera U20
País de Gales - FAW Championship
Qatar - Premier League
RD Congo - Super Ligue
Ruanda - National Soccer League
Serra Leoa - Premier League
Sudão - Sudan Premier League
Tailândia - Thai League Two
Tanzânia - Ligi kuu Bara
Trinidad e Tobago - T&T Pro League
Turquia - 3. Lig: Group 2
Turquia - 3. Lig: Group 3
Zâmbia - Super League
Espanha - Autonómicas: C Valenciana - Sud
Portugal - Women's Cup
Espanha - Copa Catalunya Femenina
Ilhas Cayman - CIFA Premier League
Tailândia - Thai League 3 Cup
Ásia - ASEAN Club Championship
Hong Kong - HKPL U22 League
Itália - U18 Serie A/B
Inglaterra - Surrey Senior Cup
Espanha - Autonómicas: Murcia
Espanha - Autonómicas: Baleares - Mallorca A
Escócia - Football League - Highland League
Mundo - Club Friendlies 4
