Angola - Girabola
Argentina - Copa Argentina
Brasil - Sao Paolo Youth Cup
Brasil - Catarinense 1
Chipre - 1. Division
Costa Rica - Liga de Ascenso
Emirados Árabes Unidos - Uae League
Emirados Árabes Unidos - Arabian Gulf Reserve League
Gibraltar - Premier Division
Indonésia - Liga 2
Inglaterra - Non League Premier: Isthmian
Inglaterra - Premier League 2 Division One
Inglaterra - Premier League International Cup
Inglaterra - FA Youth Cup
Iraque - Iraqi League
Irlanda do Norte - Premiership Development League
Islândia - Reykjavik Cup
Israel - Liga Leumit
Itália - Serie C: Girone C
Jamaica - Premier League
México - Liga Premier Serie A
Mundo - Club Friendlies 3
Nigéria - Npfl
Portugal - Liga Revelacao U23
Qatar - QSL Cup
Quênia - Premier League
RD Congo - Super Ligue
Serra Leoa - Premier League
Sudão - Sudan Premier League
Tanzânia - Ligi kuu Bara
Tunísia - Ligue 1
Turquia - 1. Lig
Turquia - U19 Elit A
Vietnã - U19 Championship
Itália - U18 Serie A/B
Arábia Saudita - Division 2
Indonésia - Liga Nusantara
