Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Alemanha - DFB Pokal
Países Baixos - KNVB Beker
Portugal - League Cup
Turquia - Turkish Cup
África do Sul - Gladafrica Championship
África do Sul - League Cup
Albânia - 1st Division
Alemanha - Regionalliga: Nord
Alemanha - Regionalliga: Nordost
Alemanha - Regionalliga: Bayern
América do Sul - Copa Sudamericana
Arábia Saudita - Division 1
Arábia Saudita - Kings Cup
Argentina - Reserve League
Armênia - First League
Armênia - Armenian Cup
Áustria - Landesliga: Wien
Áustria - Austrian Cup
Azerbaijão - Azerbaidjan Cup
Bélgica - Belgian Cup
Bósnia e Herzegovina - Bosnia Cup
Bulgária - Bulgarian Cup
Eslovênia - Slovenian Cup
Estônia - Estonian Cup
Estônia - U19 League
Etiópia - Premier League
Geórgia - Crystalbet Erovnuli Liga
Grécia - Greek Cup
Hungria - Hungarian Cup
Índia - Bangalore Super Division
Índia - Hero Super Cup
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Northern
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - EFL Trophy
Inglaterra - Professional Development League
Inglaterra - Premier League Cup
Inglaterra - Premier League International Cup
Israel - Toto Cup Ligat Al
Israel - State Cup
Itália - Coppa Italia Serie C
Itália - Primavera Cup
Jordânia - 1st Division
Malásia - FA Cup
Malta - Premier League
Moçambique - Mocambola
Moldávia - Moldovan Cup
Mundo - Friendly International Women
Portugal - Liga Revelacao U23
Qatar - QSL Cup
República Tcheca - Fortuna Liga
República Tcheca - 2. Liga FNL
República Tcheca - 4. Liga Division D
República Tcheca - 4. Liga Division E
República Tcheca - 4. Liga Division F
Romênia - Romania Cup
Rússia - Russian Cup
Sérvia - Serbian Cup
Tajiquistão - Vysshaya Liga
Ucrânia - Ukrainian Cup
Uzbequistão - Pro League A
Brasil - Cearense Women
Europa - UEFA U17 Championship Women Qualification
Inglaterra - U17 Professional Development League Cup
Europa - Women's Nations League
América do Norte e Central - Concacaf Central American Cup
Bolívia - Copa de la División Profesional
Inglaterra - Essex Senior Cup
Inglaterra - Surrey Senior Cup
Internacional - UEFA U19 Championship Women Qualification
Inglaterra - U17 Premier League Cup
Inglaterra - Alan Turvey Trophy
Inglaterra - Hertfordshire Senior Challenge Cup
Europa - UEFA U17 Championship Qualification
