Alemanha - DFB Pokal
Itália - Coppa Italia
América do Sul - Copa Libertadores
Albânia - Albanian Cup
Angola - Girabola
Arábia Saudita - Division 1
Ásia - AFC Champions League
Ásia - AFC Cup
Azerbaijão - Premier League
Bósnia e Herzegovina - Bosnia Cup
Brasil - Amazonense
Brasil - Baiano 1
Brasil - Sergipano
Brasil - Pernambucano 1
Brasil - Acreano
Bulgária - Bulgarian Cup
Costa Rica - Liga de Ascenso
Escócia - Challenge Cup
Guiné - Ligue 1
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Premier: Northern
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - EFL Trophy
Inglaterra - Professional Development League
Inglaterra - Central League
Inglaterra - Premier League International Cup
Inglaterra - Premier League Cup
Inglaterra - Central League Cup
Inglaterra - London Senior Cup
Irlanda do Norte - Championship
Itália - Serie C: Girone C
Itália - Serie C: Girone B
Kosovo - Kosovar Cup
Macedônia FYR - First League
Mauritânia - Super D1
México - Liga de Expansión MX
México - Liga TDP: Group 2
México - Liga Mx Women
Mianmar - National League
Mundo - CONCACAF Champions League
Mundo - Club Friendlies 3
País de Gales - FAW Championship
Portugal - Liga Revelacao U23
RD Congo - Super Ligue
Romênia - Romania Cup
Ruanda - National Soccer League
São Marino - Campionato
Sudão - Sudan Premier League
Tailândia - Thai League Two
Tailândia - Thai League 3
Tanzânia - Ligi kuu Bara
Inglaterra - U18 Premier League Cup
Inglaterra - Cheshire Senior Cup
Costa Rica - Copa Costa Rica
Inglaterra - Somerset Premier Cup
Escócia - Lowland League Cup
Inglaterra - Bedfordshire Senior Challenge Cup
Ásia - AGCFF Gulf Club Champions League
Hong Kong - HKPL U22 League
País de Gales - FAW Championship - South
Inglaterra - Durham County Challenge Cup
Espanha - Autonómicas: Andalucía - GR 2
Guiana Francesa - Régional 1
Malta - National Amateur League
Irlanda do Norte - Premier Intermediate League
Escócia - Regional Leagues
Malásia - Liga M3
Tailândia - Thai League 3 - West
Tailândia - Thai League 3 - East
Tailândia - Thai League 3 - North East
Tailândia - Thai League 3 - North
Mundo - Club Friendlies 4
