Inglaterra - FA Cup
Albânia - Kampionati i Femrave
Alemanha - Regionalliga: Nordost
Alemanha - Regionalliga: West
Alemanha - Oberliga: Bremen
Alemanha - Oberliga: Nordost-Nord
Alemanha - Oberliga: Westfalen
Alemanha - Bundesliga Women
Arábia Saudita - Division 1
Argélia - Ligue 2
Austrália - W-League
Azerbaijão - Birinci Dasta
Bélgica - First Amateur Division
Bélgica - Super League Women
Brasil - Piauiense
Brasil - Catarinense 1
Brasil - Amapaense
Brasil - Carioca 1
Brasil - Gaucho 1
Brunei Darussalam - Super League
Burundi - Ligue A
Chipre - 1. Division
Chipre - 2. Division
Cingapura - S. League
Colômbia - Torneo Betplay
Costa Rica - Primera Division
Croácia - 2. HNL
Emirados Árabes Unidos - Uae League
Espanha - Primera Division RFEF: Group 1
Espanha - Primera Division RFEF: Group 2
Espanha - Tercera - Group 15
Espanha - Tercera - Group 13
Espanha - Tercera - Group 4
França - National
França - CFA Group A
França - CFA Group C
Gana - Premier League
Grécia - Gamma Ethniki Group 5
Indonésia - Liga 1
Inglaterra - Non League Premier: Southern Central
Inglaterra - Women's Super League
Inglaterra - Premier League 2 Division One
Inglaterra - Professional Development League
Irã - Persian Gulf Pro League
Iraque - Iraqi League
Irlanda - First Division
Islândia - League Cup
Islândia - League Cup B
Israel - Liga Leumit
Israel - Liga Alef
Israel - Liga Bet - South A
Jordânia - Premier League
Líbano - Premier League
Malta - Premier League
Marrocos - Botola Pro
México - Liga de Expansión MX
México - Liga Premier Serie A
México - Liga Premier Serie B
México - Liga TDP: Group 2
México - Liga Mx Women
Mundo - Club Friendlies
Mundo - Club Friendlies 3
País de Gales - FAW Championship
Polônia - 1. Liga
Portugal - Liga Revelacao U23
Quênia - Premier League
RD Congo - Super Ligue
Ruanda - National Soccer League
Serra Leoa - Premier League
Sérvia - Prva Liga
Síria - Premier League
Sudão - Sudan Premier League
Suíça - Challenge League
Suíça - Nationalliga A Women
Tailândia - Thai Premier League
Tailândia - Thai League Two
Tanzânia - Ligi kuu Bara
Tunísia - Ligue 1
Turquia - 1. Lig
Turquia - U19 Elit A
Uganda - Premier League
Malta - First Division Women
Espanha - Autonómicas: Euskadi - Álava
Espanha - Autonómicas: Navarra
Espanha - Autonómicas: Euskadi - Guipúzcoa
Espanha - Autonómicas: Baleares - Mallorca A
Espanha - Autonómicas: Canarias - Tenerife 1
Gana - Division One
Escócia - Regional Leagues: North JFA
País de Gales - FAW Championship - South
Qatar - U19 League
México - U19 League
Arábia Saudita - Women’s Premier League
Egito - Second Division A
África - U20 Women's World Cup Qualification Africa
Espanha - Autonómicas: Canarias - Gran Canaria
Irlanda - Leinster Senior League
Israel - Liga Bet - North B
Israel - Liga Bet - North A
Israel - Liga Bet - South B
Israel - Liga Alef - Süd
Mundo - Club Friendlies 4
Malásia - Liga M3
Emirados Árabes Unidos - Youth League
Austrália - Victoria NPL 3
Alemanha - State Leagues: Mecklenburg - Vorpommern
Alemanha - U17 Bundesliga
Inglaterra - U18 Professional Development League
Japão - J1 100 Year Vision League
