Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Países Baixos - KNVB Beker
Mundo - Friendly International
Arábia Saudita - Youth League
Bangladesh - Federation Cup
Croácia - U19 League
Escócia - Challenge Cup
Guiné - Ligue 1
Inglaterra - Vanarama National League South
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Northern
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Professional Development League
Inglaterra - Premier League U18
Inglaterra - Central League
Inglaterra - Premier League Cup
Inglaterra - Premier League International Cup
Inglaterra - FA Youth Cup
Israel - Liga Bet - South A
Itália - PrimaVera 1
Mauritânia - Super D1
País de Gales - FAW Championship
Portugal - Liga Revelacao U23
Quênia - Premier League
Quênia - Super League
RD Congo - Super Ligue
Romênia - 3. Liga: Series 8
Tailândia - Thai Premier League
Turquia - 2. Lig: Kirmizi
Turquia - 2. Lig: Beyaz
Turquia - 3. Lig: Group 3
Turquia - 3. Lig: Group 4
Turquia - 3. Lig: Group 1
Turquia - 3. Lig: Group 2
Uganda - Premier League
Bolívia - Copa de la División Profesional
Azerbaijão - Reserve League
Hong Kong - HKPL U22 League
Inglaterra - National League Cup
Indonésia - Liga Nusantara
País de Gales - FAW Championship - South
Inglaterra - Surrey Senior Cup
Inglaterra - Gloucester Senior Challenge Cup
Espanha - Copa Catalunya
Israel - Liga Bet - South B
Arábia Saudita - Division 2
Mundo - Non-FIFA Friendlies
Inglaterra - Northamptonshire Senior Cup
Inglaterra - Hampshire Senior Cup
Inglaterra - Durham County Challenge Cup
Israel - U19 Elite Division
Inglaterra - Alan Turvey Trophy
Guiana Francesa - Régional 1
Inglaterra - Northumberland Senior Cup
Inglaterra - Walsall Senior Cup
Ásia - Arabian Gulf Cup U23
