Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Itália - Coppa Italia
França - Coupe de France
Países Baixos - KNVB Beker
Turquia - Turkish Cup
Arábia Saudita - Division 1
Argélia - Algeria Cup
Ásia - Afc Championship U23
Austrália - W-League
Bahrein - Premier League
Bélgica - Belgian Cup
Benin - Championnat National
Brasil - Sao Paolo Youth Cup
Brasil - Baiano 1
Brasil - Cearense 1
Brasil - Matogrossense
Brasil - Paranaense 1
Brasil - Pernambucano 1
Brasil - Paulista A1
Brasil - Acreano
Costa Rica - Primera Division
Escócia - Challenge Cup
Espanha - Tercera - Group 11
Espanha - Primera Division Women
Inglaterra - Vanarama National League South
Inglaterra - Non League Premier: Northern
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Isthmian
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - Fa Trophy
Inglaterra - EFL Trophy
Inglaterra - Professional Development League
Inglaterra - Central League
Inglaterra - Central League Cup
Inglaterra - Premier League International Cup
Inglaterra - London Senior Cup
Iraque - Iraqi League
Irlanda do Norte - Championship
Israel - Liga Alef
Israel - State Cup
Mauritânia - Super D1
Mianmar - National League
Mundo - Club Friendlies 3
Portugal - Liga Revelacao U23
Senegal - Ligue 1
Serra Leoa - Premier League
Sudão - Sudan Premier League
Uganda - Premier League
Inglaterra - Cheshire Senior Cup
Inglaterra - Surrey Senior Cup
Inglaterra - Sussex Senior Challenge Cup
Inglaterra - Essex Senior Cup
Irlanda do Norte - Irish Cup
Itália - U17 Serie A/B
Inglaterra - Birmingham Senior Cup
Inglaterra - Manchester Premier Cup
Inglaterra - Derbyshire Senior Cup
Inglaterra - BBFA Senior Cup
México - U19 League
Gana - Division One
Indonésia - Liga Nusantara
Inglaterra - Sheffield and Hallamshire Senior Cup
Malta - National Amateur League
Inglaterra - Gloucester Senior Challenge Cup
Inglaterra - Alan Turvey Trophy
Inglaterra - Hampshire Senior Cup
Israel - U19 Elite Division
Irlanda do Norte - Premier Intermediate League
Inglaterra - Hertfordshire Senior Challenge Cup
Escócia - FA Youth Cup
Inglaterra - Durham County Challenge Cup
Martinica - Division d'Honneur
Inglaterra - Lancashire FA Challenge Trophy
Inglaterra - Staffordshire Senior Cup
Espanha - Autonómicas: Canarias - Tenerife 1
Inglaterra - Northumberland Senior Cup
