Argentina - Primera C
Argentina - Reserve League
Armênia - First League
Áustria - Regionalliga: Mitte
Brasil - Copa Santa Catarina
Colômbia - Torneo Betplay
Colômbia - Copa Betplay
Dinamarca - Women's Cup
Equador - Primera B
Escócia - League One
Estônia - U19 League
EUA - USL Championship
Europa - Champions League Women
França - National
Inglaterra - Vanarama National League North
Inglaterra - Non League Premier: Northern
Inglaterra - EFL Trophy
Inglaterra - Professional Development League
Inglaterra - Premier League Cup
Inglaterra - London Senior Cup
Irã - Azadegan League
Irlanda do Norte - Irish League Cup
Itália - Coppa Italia Serie D
Jordânia - 1st Division
Mauritânia - Super D1
México - Liga Premier Serie A
México - Liga TDP: Group 2
Mundo - World Cup U20
Noruega - 3. Division
País de Gales - Premier League
Países Baixos - Eredivisie Women
Paraguai - Copa Paraguay
Quirguizistão - Top Liga
Ucrânia - Second League: Group A
Inglaterra - Alan Turvey Trophy
Inglaterra - Kent Senior Cup
Rússia - Third Division - Sankt-Peterburg
Inglaterra - Staffordshire Senior Cup
Bolívia - Copa de la División Profesional
Rússia - Third Division - Moskva
Europa - UEFA U17 Championship Qualification
Europa - UEFA U19 Championship Qualification
Canadá - Northern Super League
