Albânia - 1st Division
Albânia - 2nd Division
Albânia - Kampionati i Femrave
Alemanha - Regionalliga: Nordost
Alemanha - Oberliga: Westfalen
Alemanha - Oberliga: Nordost-Nord
Alemanha - Oberliga: Niedersachsen
Alemanha - Oberliga: Bremen
Alemanha - Oberliga: Mittelrhein
Alemanha - Oberliga: Niederrhein
Alemanha - Oberliga: Nordost-Süd
Alemanha - Bundesliga Women
Alemanha - 2. Bundesliga Women
Andorra - Primera División
Andorra - 2. Division
Angola - Girabola
Arábia Saudita - Division 1
Argélia - Algeria Cup
Argentina - Torneo Federal A
Argentina - Torneo Federal B
Aruba - Division de Honor
Austrália - W-League
Azerbaijão - Premier League
Bélgica - First Amateur Division
Bermudas - Premier League
Bósnia e Herzegovina - Premier Liga
Brasil - Copa do Brasil
Brasil - Paulista Women
Bulgária - Bulgarian Cup
Burundi - Ligue A
Camboja - C-League
Chipre - 1. Division
Chipre - 2. Division
Chipre - 3. Division
Congo - Ligue 1
Costa do Marfim - Ligue 1
Costa Rica - Primera Division
Croácia - U19 League
Curaçao - Premier League
Dinamarca - Landspokal Cup
Emirados Árabes Unidos - Arabian Gulf Reserve League
Escócia - League Cup
Escócia - SWPL 1
Escócia - SWPL 2
Espanha - Primera Division RFEF: Group 1
Espanha - Primera Division RFEF: Group 2
Espanha - Segunda Division RFEF: Group 2
Espanha - Segunda Division RFEF: Group 4
Espanha - Segunda Division RFEF: Group 3
Espanha - Tercera - Group 4
Espanha - Tercera - Group 3
Espanha - Tercera - Group 1
Espanha - Tercera - Group 2
Espanha - Tercera - Group 5
Espanha - Tercera - Group 6
Espanha - Tercera - Group 17
Espanha - Tercera - Group 7
Espanha - Tercera - Group 8
Espanha - Tercera - Group 9
Espanha - Tercera - Group 18
Espanha - Tercera - Group 11
Espanha - Tercera - Group 12
Espanha - Tercera - Group 13
Espanha - Tercera - Group 14
Espanha - Tercera - Group 15
Espanha - Tercera - Group 16
Espanha - Tercera - Group 10
Espanha - Primera Division Women
Espanha - Segunda Division Femenina
França - CFA Group B
França - Division 1 Women
Gana - Premier League
Gibraltar - Premier Division
Grécia - Super League 2
Grécia - Gamma Ethniki Group 6
Grécia - Gamma Ethniki Group 1
Grécia - Gamma Ethniki Group 4
Grécia - Gamma Ethniki Group 3
Grécia - Gamma Ethniki Group 2
Grécia - Gamma Ethniki Group 5
Grécia - Panelinio Protathlima
Grécia - Super League K19
Honduras - Liga Nacional
Hong Kong - Premier League
Hong Kong - First Division
Indonésia - Liga 1
Inglaterra - Women's Super League
Inglaterra - Women's National League - Premier Division South
Inglaterra - FA Cup Women
Inglaterra - Premier League International Cup
Inglaterra - Premier League Cup
Irã - Persian Gulf Pro League
Israel - Liga Alef
Israel - Liga Bet - South A
Itália - Serie C: Girone A
Itália - Serie C: Girone B
Itália - Serie C: Girone C
Itália - Serie A Women
Itália - PrimaVera 1
Jamaica - Premier League
Japão - J3-League
Kosovo - Superliga
Laos - Premier League
Líbano - Premier League
Malásia - FA Cup
Malauí - Super League
Mali - Premiere Division
Malta - Premier League
Malta - First Division
Malta - Gozo First Division
Maurício - Mauritian League
Mauritânia - Super D1
México - Liga TDP: Group 2
Montenegro - First League
Nigéria - Npfl
Omã - Professional League
Países Baixos - Women's Cup
Portugal - Liga 3
Portugal - 2. Division: Group A
Portugal - 2. Division: Group B
Portugal - 2. Division: Group C
Portugal - 2. Division: Group D
Portugal - Liga Revelacao U23
Portugal - Júniores U19
Qatar - QSL Cup
Quênia - Premier League
Quênia - Super League
RD Congo - Super Ligue
República Dominicana - Liga Mayor
República Tcheca - Fortuna Liga
Romênia - Liga 2
Ruanda - National Soccer League
São Marino - Campionato
Senegal - Ligue 1
Serra Leoa - Premier League
Sérvia - Prva Liga
St. Kitts e Nevis - Premier League
Suíça - Challenge League
Suíça - Schweizer Pokal Frauen
Tailândia - Thai Premier League
Tailândia - Thai League Two
Taipé Chinês - Taiwan Football Premier League
Togo - Championnat National
Trinidad e Tobago - T&T Pro League
Tunísia - Ligue 2
Turquia - 1. Lig
Turquia - U19 Elit A
Ucrânia - Premier League
Argentina - Torneo Federal B - Pampeana Sur
Suazilândia - Premier League
Argentina - Torneo Federal B - Cuyo
Argentina - Torneo Federal B - Litoral Sur
Itália - U18 Serie A/B
Argentina - Torneo Federal B - Norte
Argentina - Torneo Federal B - Patagonica
Países Baixos - Hoofdklasse Women
Espanha - Autonómicas: Aragón - GR 1
Países Baixos - Eerste Klasse
Turquia - Bölgesel Amatör Lig - Region 10
Espanha - Autonómicas: Cataluña - GR 1
Alemanha - DFB Junioren Pokal
Espanha - Autonómicas: Euskadi - Álava
Espanha - Autonómicas: Baleares - Menorca
Espanha - Autonómicas: Andalucía - GR 2
Espanha - Autonómicas: Andalucía - GR 1
Espanha - Autonómicas: Extremadura - GR 3
Espanha - Autonómicas: Extremadura - GR 2
Espanha - Autonómicas: Extremadura - GR 1
Espanha - Autonómicas: Aragón - GR 2
Espanha - Autonómicas: Murcia
Espanha - Autonómicas: Extremadura - GR 4
Espanha - Autonómicas: La Rioja
Itália - U17 Serie A/B
Geórgia - Play-offs 1/2
Espanha - Autonómicas: C Madrid - GR 2
Internacional - FIFA Women's Champions Cup
Etiópia - Higher League
Quênia - Women Premier League
Indonésia - Liga 1 U20
Grécia - Greece Super League 2 K19
Gana - Division One
Japão - Empress's Cup
Ilhas Cayman - CIFA Premier League
Tailândia - Thai League 3 Cup
Espanha - Autonómicas: C Valenciana - Sud
Espanha - Autonómicas: C Valenciana - Nord
Espanha - Autonómicas: Canarias - Gran Canaria
Azerbaijão - Reserve League
Ásia - Southeast Asian Games Women
Irlanda - Leinster Senior League
Itália - U16 Serie A/B
Portugal - Women's Cup
Turquia - Kadınlar Ligi
Espanha - Autonómicas: Galicia - Gr 2
Israel - Liga Bet - North B
Espanha - Autonómicas: Navarra
Turquia - Bölgesel Amatör Lig - Region 6
Brasil - Paranaense Women
Malásia - Liga M3
Itália - Primavera Women
Alemanha - Reg. Cup Hamburg
Turquia - Super Lig Women
Turquia - Bölgesel Amatör Lig - Play-offs
Turquia - Bölgesel Amatör Lig - Region 7
Turquia - Bölgesel Amatör Lig - Region 9
Turquia - Bölgesel Amatör Lig - Region 4
Turquia - Bölgesel Amatör Lig - Region 8
Turquia - Bölgesel Amatör Lig - Region 3
Turquia - Bölgesel Amatör Lig - Region 2
Alemanha - State Leagues: Mecklenburg - Vorpommern
Argentina - Torneo Federal B - Litoral Norte
Turquia - Bölgesel Amatör Lig - Region 5
Espanha - División De Honor Juvenil - Group 5
Espanha - División De Honor Juvenil - Group 1
Espanha - División De Honor Juvenil - Group 2
Espanha - División De Honor Juvenil - Group 7
Espanha - División De Honor Juvenil - Group 4
Espanha - División De Honor Juvenil - Group 3
Espanha - División De Honor Juvenil - Group 6
Israel - Liga Bet - North A
Israel - Liga Bet - South B
Portugal - Júniores U17
Espanha - Autonómicas: Galicia - GR 1
Espanha - Autonómicas: Castilla León - GR B
Espanha - Autonómicas: Castilla León - GR A
Espanha - Autonómicas: Asturias
Espanha - Autonómicas: Euskadi - Guipúzcoa
Espanha - Autonómicas: C Madrid - GR 1
Espanha - Autonómicas: Euskadi - Vizcaya
Espanha - Autonómicas: Castilla LM - Gr 2
Espanha - Autonómicas: Castilla LM - Gr 1
Espanha - Autonómicas: Baleares - Mallorca A
Espanha - Autonómicas: Canarias - Tenerife 1
Chipre - First Division Women
Ucrânia - Premier League Women
Israel - U19 Elite Division
Espanha - Primera Federación Femenina
Itália - Serie B Women
Malta - National Amateur League
Alemanha - State Leagues: Mittelrhein - 2
Alemanha - State Leagues: Mittelrhein - 1
Ásia - Arabian Gulf Cup U23
