Inglaterra - Carabao Cup
Espanha - Copa Del Rey
Países Baixos - KNVB Beker
Portugal - Taça De Portugal
Turquia - Turkish Cup
Mundo - Africa Cup of Nations
Arábia Saudita - Youth League
Ásia - Afc Championship U23
Bahrein - Premier League
Bélgica - Belgian Cup
Brasil - Sao Paolo Youth Cup
Brasil - Baiano 1
Brasil - Cearense 1
Brasil - Alagoano
Brasil - Goiano 1
Brasil - Maranhense
Brasil - Matogrossense
Brasil - Pernambucano 1
Brasil - Catarinense 1
Brasil - Paranaense 1
Brasil - Mineiro 1
Brasil - Paulista A1
Brasil - Gaucho 1
Brasil - Carioca 1
Brasil - Paulista A2
Chipre - Cyprus Cup
Costa Rica - Primera Division
Emirados Árabes Unidos - Uae League
Espanha - Tercera - Group 9
Espanha - Tercera - Group 5
Espanha - Tercera - Group 6
Espanha - Tercera - Group 10
Espanha - Tercera - Group 11
Espanha - Tercera - Group 13
Espanha - Primera Division Women
França - Division 1 Women
Gibraltar - Premier Division
Grécia - Gamma Ethniki Group 6
Grécia - Greek Cup
Guadalupe - Division d'Honneur
Ilhas Turcas e Caicos - Premier League
Inglaterra - Non League Premier: Southern South
Inglaterra - Non League Premier: Southern Central
Inglaterra - Non League Div One: Isthmian South Central
Inglaterra - EFL Trophy
Inglaterra - Premier League U18
Inglaterra - Premier League International Cup
Inglaterra - Premier League Cup
Inglaterra - FA Youth Cup
Iraque - Iraqi League
Islândia - Reykjavik Cup
Israel - State Cup
Itália - Coppa Italia Serie C
Jamaica - Premier League
Kuwait - Premier League
Líbia - Premier League
Mundo - Club Friendlies
Mundo - Club Friendlies 3
Nigéria - Npfl
Portugal - Liga 3
Portugal - Liga Revelacao U23
Quênia - Premier League
RD Congo - Super Ligue
Ruanda - National Soccer League
Serra Leoa - Premier League
Sudão - Sudan Premier League
Tailândia - FA Cup
Vietnã - U19 Championship
Zâmbia - Super League
Espanha - Autonómicas: C Valenciana - Nord
México - U19 League
Hong Kong - HKPL U22 League
Quênia - Women Premier League
Mundo - Club Friendlies 4
Arábia Saudita - Division 2
Espanha - Copa Catalunya
Israel - U19 Elite Division
Portugal - Taça da Liga Feminina
Malta - National Amateur League
Guiana Francesa - Régional 1
País de Gales - Welsh Premier Women's League
Inglaterra - Lancashire FA Challenge Trophy
Espanha - Autonómicas: Canarias - Tenerife 1
Espanha - Autonómicas: Murcia
Espanha - Autonómicas: Cataluña - GR 1
