id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
p4D9hTCD,BOLIVIA,Divisão Profissional 2026,BOLIVIA 1,2026,RODADA 9,22/05/2026,16:00,SA Bulo Bulo,Academia del Balompie,,,,,,,1.46,4.1,5.0,1.84,2.56,4.6,1.08,7.5,1.36,3.1,1.9,1.87,1.42,2.5,1.15,1.19,2.35
AqUKapKt,BOLIVIA,Divisão Profissional 2026,BOLIVIA 1,2026,RODADA 9,22/05/2026,21:00,GV San Jose,The Strongest,,,,,,,2.95,3.75,2.09,3.05,2.34,2.35,1.1,6.5,1.4,2.88,2.0,1.69,1.35,2.65,1.63,1.23,1.33
ln2VQVwR,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,22/05/2026,15:45,Fiorentina,Atalanta,,,,,,,2.82,3.45,2.28,3.3,2.2,2.85,1.2,4.2,1.7,2.05,2.71,1.41,1.57,2.3,1.57,1.25,1.4
l6SULOIj,SWEDEN,Allsvenskan 2026,SWEDEN 1,2026,RODADA 9,22/05/2026,14:00,Djurgarden,Brommapojkarna,,,,,,,1.49,4.2,5.5,1.92,2.39,5.4,1.17,4.5,1.57,2.29,2.37,1.54,1.72,1.96,1.14,1.2,2.35
GAOyTi0e,AUSTRIA,Bundesliga 2025-2026,AUSTRIA 1,2025,FINAL,22/05/2026,14:30,Ried,SK Rapid,,,,,,,2.97,3.15,2.39,3.6,2.15,3.02,1.3,3.25,1.95,1.79,3.2,1.31,1.73,2.0,1.55,1.32,1.36
zZRFQJs1,BRAZIL,Serie B 2026,BRAZIL 2,2026,RODADA 10,22/05/2026,19:00,Náutico,Cuiabá,,,,,,,1.69,3.14,5.0,2.4,2.0,5.75,1.44,2.6,2.4,1.5,4.8,1.14,2.4,1.5,1.15,1.28,1.86
bTI5Xd74,ITALY,Serie B 2025-2026,ITALY 2,2025,FINAL,22/05/2026,15:00,Sudtirol,Bari,,,,,,,3.8,3.14,1.85,4.5,2.12,2.45,1.29,3.3,1.96,1.75,3.3,1.3,1.8,1.9,1.68,1.27,1.22
IcsAL55m,GERMANY,2. Bundesliga 2025-2026,GERMANY 2,2025,FINAL,22/05/2026,15:30,RW Essen,Furth,,,,,,,2.28,3.75,2.66,2.71,2.45,3.1,1.11,5.5,1.45,2.55,2.25,1.57,1.46,2.57,1.38,1.25,1.52
MaUzbLXq,USA,USL Championship 2026,USA 2,2026,,22/05/2026,21:30,FC Tulsa,Hartford Athletic,,,,,,,2.9,3.25,2.17,3.35,2.23,2.75,1.22,3.8,1.84,1.82,3.2,1.3,1.6,2.15,1.52,1.23,1.29
Q3teQxb2,EGYPT,Primeira Liga 2025-2026,EGYPT 1,2025,RODADA 12,22/05/2026,14:00,Pharco,National Bank Egypt,,,,,,,4.5,3.14,1.7,5.0,2.08,2.28,1.35,2.9,1.92,1.66,3.6,1.23,1.95,1.75,1.77,1.25,1.16
AwttFJmB,SLOVENIA,Prva Liga 2025-2026,SLOVENIA 1,2025,RODADA 36,22/05/2026,15:00,Primorje,Celje,,,,,,,5.3,4.65,1.4,5.15,2.82,1.78,1.06,7.5,1.33,2.95,1.84,1.8,1.47,2.5,2.85,1.16,1.13
rRlPI1ln,SLOVENIA,Prva Liga 2025-2026,SLOVENIA 1,2025,RODADA 36,22/05/2026,15:00,Radomlje,Mura,,,,,,,2.65,3.35,2.23,3.05,2.28,2.7,1.18,4.2,1.57,2.16,2.35,1.47,1.45,2.3,1.48,1.21,1.34
QqiJnlwP,FINLAND,Veikkausliiga 2026,FINLAND 1,2026,RODADA 8,22/05/2026,13:00,VPS,HJK,,,,,,,4.0,3.66,1.7,4.33,2.28,2.16,1.19,4.05,1.62,1.99,2.6,1.43,1.66,2.05,1.83,1.22,1.2
A54kg0lK,PARAGUAY,Copa de Primera 2026,PARAGUAY 1,2026,RODADA 22,22/05/2026,18:00,2 de Mayo,San Lorenzo,,,,,,,2.05,3.1,3.25,2.88,2.05,4.0,1.4,2.88,2.38,1.57,4.33,1.2,1.91,1.8,1.3,1.33,1.67
UmSFDyEL,PERU,Liga 1 2026,PERU 1,2026,RODADA 16,22/05/2026,17:00,Juan Pablo II,Melgar,,,,,,,3.0,3.25,2.08,3.75,2.14,2.71,1.27,3.5,1.92,1.81,3.05,1.33,1.75,1.95,1.57,1.27,1.28
x4wVv8O6,URUGUAY,Liga AUF Uruguaia 2026,URUGUAY 1,2026,RODADA 2,22/05/2026,19:30,Liverpool M.,Racing Montevideo,,,,,,,2.46,3.1,2.7,3.25,1.81,2.95,1.36,2.88,2.2,1.6,4.0,1.2,1.79,1.72,1.31,1.25,1.36
rwRpePWb,CHILE,Primera Division 2026,CHILE 1,2026,RODADA 13,22/05/2026,16:00,Everton,Coquimbo Unido,,,,,,,2.62,2.9,2.54,3.33,2.05,3.2,1.44,2.6,2.26,1.59,4.1,1.2,1.9,1.8,1.4,1.32,1.37
ng5faBVN,ECUADOR,Liga Pro 2026,ECUADOR 1,2026,RODADA 15,22/05/2026,21:00,Ind. del Valle,Libertad,,,,,,,1.44,4.0,5.33,1.88,2.45,5.75,1.14,4.8,1.57,2.25,2.55,1.45,1.8,1.9,1.1,1.16,2.2
WlCXIwAC,CROATIA,1. HNL 2025-2026,CROATIA 1,2025,RODADA 36,22/05/2026,13:15,Hajduk Split,Vukovar 1991,,,,,,,1.2,5.25,10.0,1.62,2.88,9.5,1.12,5.45,1.46,2.45,2.1,1.58,2.0,1.73,1.05,1.14,4.0
IsDPH9ue,ROMANIA,Liga 1 2025-2026,ROMANIA 1,2025,RODADA 10,22/05/2026,14:30,CFR Cluj,FC Arges,,,,,,,1.47,4.0,5.5,2.0,2.2,5.66,1.31,3.2,2.01,1.74,3.55,1.26,2.08,1.63,1.12,1.17,2.16
U9zO30KD,DENMARK,First Division 2025-2026,DENMARK 2,2025,RODADA 31,22/05/2026,13:00,Aarhus Fremad,Aalborg,,,,,,,2.1,3.55,3.08,2.42,2.32,4.09,1.16,4.1,1.65,2.03,2.35,1.48,1.56,2.36,1.26,1.26,1.84
YqtNulUN,SERBIA,Super Liga 2025-2026,SERBIA 1,2025,RODADA 37,22/05/2026,15:00,Crvena zvezda,OFK Beograd,,,,,,,1.07,8.0,14.0,1.32,3.4,15.0,1.07,6.4,1.25,3.6,1.3,3.15,2.28,1.55,1.01,1.04,3.75
fXvLSp0T,JAPAN,J1 League 2026,JAPAN 1,2026,RODADA 18,22/05/2026,07:30,Machida,Urawa,1.0,0.0,1.0,0.0,[10],[],2.22,3.1,3.2,2.85,2.0,4.0,1.36,2.8,2.14,1.63,3.75,1.22,1.9,1.8,1.3,1.3,1.54
fwLvYlH8,EGYPT,Primeira Liga 2025-2026,EGYPT 1,2025,RODADA 12,22/05/2026,11:00,El Gounah,El Gaish,0.0,1.0,0.0,1.0,[],[38],2.6,2.42,3.0,3.5,1.75,3.8,1.71,1.94,3.0,1.35,5.6,1.11,2.54,1.45,1.3,1.4,1.36
hMVeJ7Lh,CROATIA,1. HNL 2025-2026,CROATIA 1,2025,RODADA 36,22/05/2026,11:00,Osijek,Slaven Belupo,2.0,0.0,0.0,0.0,"[55, 62]",[],2.08,3.4,2.8,2.71,2.14,3.5,1.24,3.54,1.78,1.76,2.85,1.35,1.75,1.95,1.32,1.23,1.53
6wzdAEaK,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025,RODADA 37,22/05/2026,09:30,Slavia Sofia,Montana,2.0,0.0,1.0,0.0,"[45+3, 65, 75]",[],1.8,3.4,3.9,2.4,2.1,4.33,1.26,3.33,1.9,1.71,3.0,1.32,1.73,2.0,1.2,1.25,1.83
bgtfjg8l,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025,RODADA 37,22/05/2026,12:00,Botev Vratsa,Beroe,1.0,0.0,1.0,0.0,[25],[],1.88,3.11,3.75,2.69,2.01,4.14,1.35,2.85,2.1,1.7,3.6,1.23,1.88,1.76,1.21,1.27,1.65
EqmAnB7D,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025,RODADA 37,22/05/2026,12:00,Septemvri Sofia,Dobrudzha,1.0,0.0,1.0,0.0,[33],[],2.05,3.5,3.2,2.71,2.14,3.8,1.25,3.55,1.95,1.63,3.0,1.35,1.83,1.83,1.3,1.25,1.62
6Jq2lXx1,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025,RODADA 37,22/05/2026,12:00,Spartak,Lok. Sofia,2.0,0.0,2.0,0.0,"[8, 30]",[],1.73,4.33,3.2,2.37,2.33,4.0,1.21,4.0,1.7,1.86,2.7,1.41,1.75,1.95,1.26,1.17,1.78
rwInd9E4,SERBIA,Super Liga 2025-2026,SERBIA 1,2025,RODADA 37,22/05/2026,12:00,Zeleznicar Pancevo,Cukaricki,0.0,0.0,0.0,0.0,[],[],1.75,3.25,4.0,2.36,2.16,4.25,1.22,3.4,1.75,1.85,3.0,1.28,1.8,1.9,1.18,1.25,1.75
