id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
QwfwJAt9,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,25/05/2026,20:00,Coritiba,Bahia,,,,,,,2.68,3.12,2.58,3.21,2.02,3.16,1.32,3.0,2.0,1.69,3.4,1.25,1.81,1.93,1.44,1.32,1.43
nFjvRRsQ,GERMANY,Bundesliga 2025-2026,GERMANY 1,2025-2026,FINAL,25/05/2026,15:30,Paderborn,Wolfsburg,,,,,,,2.25,3.5,3.1,2.75,2.25,3.7,1.2,4.0,1.73,2.0,2.88,1.36,1.69,2.1,1.31,1.32,1.73
UPm4zOXq,SWEDEN,Allsvenskan 2026,SWEDEN 1,2026,RODADA 9,25/05/2026,14:00,Elfsborg,Hacken,,,,,,,2.79,3.35,2.36,3.27,2.17,2.83,1.22,3.8,1.69,2.05,2.66,1.41,1.66,2.13,1.52,1.27,1.36
xS8Ps6uA,SWEDEN,Allsvenskan 2026,SWEDEN 1,2026,RODADA 9,25/05/2026,14:00,Göteborg,Mjallby,,,,,,,3.0,3.33,2.05,3.8,2.16,2.66,1.27,3.5,1.92,1.82,3.15,1.32,1.75,1.95,1.58,1.25,1.3
CCgR4LMj,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 10,25/05/2026,14:15,Sandefjord,Fredrikstad,,,,,,,1.87,3.65,3.85,2.4,2.22,4.1,1.2,4.1,1.63,2.19,2.47,1.5,1.57,2.25,1.28,1.27,1.95
8MfdLO5L,BRAZIL,Serie B 2026,BRAZIL 2,2026,RODADA 10,25/05/2026,19:00,Botafogo-SP,Athletic Club,,,,,,,2.25,2.83,3.2,3.0,1.96,4.0,1.45,2.54,2.39,1.51,5.2,1.13,2.05,1.7,1.3,1.33,1.52
OWPPKSZI,BRAZIL,Serie C 2026,BRAZIL 3,2026,RODADA 8,25/05/2026,20:00,Ituano,Botafogo-PB,,,,,,,2.0,3.1,3.5,2.71,1.95,4.0,1.4,2.75,2.4,1.5,4.8,1.14,2.05,1.66,1.25,1.3,1.58
WYjNkmZh,BRAZIL,Serie C 2026,BRAZIL 3,2026,RODADA 8,25/05/2026,20:00,Paysandu,Floresta,,,,,,,1.88,3.2,4.31,2.62,1.97,5.03,1.45,2.4,2.35,1.47,4.28,1.17,2.1,1.67,1.18,1.3,1.84
ARLKgGMk,PERU,Liga 1 2026,PERU 1,2026,RODADA 16,25/05/2026,17:30,Comerciantes Unidos,Deportivo Garcilaso,,,,,,,2.06,2.9,3.1,2.6,1.81,3.45,1.38,2.7,2.23,1.56,4.1,1.19,1.79,1.64,1.22,1.25,1.47
CIRRBJ8e,SCOTLAND,Premiership 2025-2026,SCOTLAND 1,2025-2026,FINAL,25/05/2026,16:00,St. Mirren,Partick,,,,,,,1.66,3.33,4.75,2.14,2.1,5.33,1.29,3.0,1.96,1.72,3.27,1.25,1.8,1.71,1.14,1.25,1.9
KOYHaus4,ECUADOR,Liga Pro 2026,ECUADOR 1,2026,RODADA 15,25/05/2026,21:00,Aucas,Manta,,,,,,,1.42,3.9,6.6,1.73,2.07,7.2,1.34,2.85,2.02,1.65,3.5,1.23,2.02,1.55,1.06,1.15,2.12
vHXpxvR9,ROMANIA,Liga 1 2025-2026,ROMANIA 1,2025-2026,RODADA 10,25/05/2026,14:30,Rapid Bucuresti,Univ. Craiova,,,,,,,2.35,3.25,2.87,3.05,2.07,3.55,1.34,3.05,1.95,1.75,3.6,1.26,1.75,2.0,1.42,1.31,1.6
Yiln0FJM,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025-2026,RODADA 36,25/05/2026,14:30,CSKA 1948 Sofia,Levski,,,,,,,2.7,3.15,2.6,3.15,2.05,3.15,1.41,2.7,2.26,1.59,3.95,1.22,1.74,1.9,1.42,1.3,1.4
UNZHfgsp,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025-2026,RODADA 36,25/05/2026,14:30,Ludogorets,CSKA Sofia,,,,,,,1.8,3.12,3.94,2.28,2.03,4.12,1.2,3.7,1.64,2.03,2.6,1.39,1.85,1.77,1.2,1.3,1.82
0l4togkl,SWEDEN,Superettan 2026,SWEDEN 2,2026,RODADA 9,25/05/2026,14:05,Norrkoping,Öster,,,,,,,1.55,4.34,4.84,2.0,2.55,5.21,1.14,4.1,1.46,2.16,2.12,1.47,1.61,2.14,1.13,1.17,2.28
feSsAstf,DENMARK,First Division 2025-2026,DENMARK 2,2025-2026,RODADA 31,25/05/2026,13:00,Lyngby,Horsens,,,,,,,2.19,3.26,2.82,2.8,2.16,3.45,1.23,3.45,1.76,1.91,2.78,1.33,1.64,2.04,1.32,1.26,1.49
YHvMQ2qA,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 10,25/05/2026,09:30,Start,Vålerenga,2.0,0.0,2.0,0.0,"[5, 32]",[],3.0,3.5,2.0,3.6,2.33,2.54,1.17,4.5,1.55,2.28,2.54,1.45,1.55,2.28,1.61,1.23,1.3
nm1uEPa4,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 10,25/05/2026,12:00,HamKam,Lilleström,1.0,0.0,1.0,0.0,[26],[],3.0,3.33,2.05,3.5,2.36,2.54,1.18,4.4,1.68,2.05,2.4,1.45,1.5,2.4,1.58,1.25,1.3
KEEnC3UG,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 10,25/05/2026,12:00,KFUM Oslo,Rosenborg,2.0,0.0,2.0,0.0,"[14, 27]",[],2.33,3.4,2.8,2.9,2.2,3.33,1.23,3.85,1.73,2.03,2.7,1.41,1.66,2.1,1.37,1.27,1.5
SKyESOEc,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 10,25/05/2026,12:00,Sarpsborg 08,Molde,1.0,0.0,1.0,0.0,[5],[],2.65,3.6,2.42,3.1,2.25,2.9,1.14,5.0,1.53,2.38,2.33,1.55,1.47,2.5,1.57,1.28,1.5
fXSUOtEM,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 10,25/05/2026,12:00,Tromsö,Aalesund,1.0,0.0,1.0,0.0,[2],[],1.48,4.2,5.75,1.91,2.6,6.5,1.19,4.3,1.59,2.26,2.38,1.53,1.8,1.95,1.11,1.2,2.75
lOMqRVU7,AUSTRIA,Bundesliga 2025-2026,AUSTRIA 1,2025-2026,FINAL,25/05/2026,12:00,SK Rapid,Ried,1.0,0.0,1.0,0.0,[26],[],2.12,3.4,3.26,2.82,2.1,4.06,1.33,3.05,2.04,1.72,3.55,1.26,1.84,1.88,1.25,1.25,1.67
E3uvsQPP,ENGLAND,League Two 2025-2026,ENGLAND 4,2025-2026,FINAL,25/05/2026,11:00,Notts County,Salford,3.0,0.0,2.0,0.0,"[32, 45, 70]",[],2.62,2.79,2.65,3.38,1.9,3.4,1.3,3.1,1.92,1.69,3.33,1.26,1.75,1.95,1.4,1.28,1.41
byvTmaA7,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,25/05/2026,04:30,Paju Frontier,Gimpo FC,0.0,1.0,0.0,0.0,[],[90+6],3.75,3.25,1.91,4.75,2.0,2.63,1.41,2.55,2.26,1.52,4.0,1.17,2.1,1.67,1.73,1.3,1.22
Q9QLkLue,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,25/05/2026,04:30,Suwon Bluewings,Cheonan City,3.0,2.0,1.0,0.0,"[22, 73, 90+7]","[57, 86]",1.54,3.85,5.2,1.89,2.45,5.8,1.25,3.4,1.83,1.83,3.1,1.31,1.89,1.75,1.13,1.2,2.05
rwGmsxTi,LITHUANIA,Toplyga 2026,LITHUANIA 1,2026,RODADA 15,25/05/2026,12:30,FA Siauliai,Riteriai,0.0,0.0,0.0,0.0,[],[],1.46,4.2,5.33,1.9,2.4,5.33,1.18,4.12,1.64,2.07,2.55,1.43,1.72,1.96,1.12,1.17,2.16
jkhUPabE,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025-2026,RODADA 36,25/05/2026,11:45,Cherno More,Arda,1.0,0.0,1.0,0.0,[8],[],2.88,3.05,2.55,3.4,1.98,3.15,1.53,2.38,2.42,1.51,4.7,1.16,1.85,1.8,1.45,1.32,1.36
dlK17irm,BULGARIA,Parva Liga 2025-2026,BULGARIA 1,2025-2026,RODADA 36,25/05/2026,11:45,Lok. Plovdiv,Botev,1.0,1.0,1.0,1.0,[21],[34],2.62,3.33,2.5,3.14,2.08,3.1,1.29,3.35,1.97,1.77,3.15,1.32,1.75,1.95,1.42,1.3,1.4
Svt0hn0t,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Åsane,Raufoss,0.0,0.0,0.0,0.0,[],[],2.25,3.6,2.57,2.75,2.25,3.1,1.17,4.5,1.6,2.2,2.6,1.44,1.5,2.12,1.38,1.23,1.5
Gtl0NR06,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Haugesund,Moss,0.0,0.0,0.0,0.0,[],[],1.68,4.0,3.8,2.14,2.42,4.0,1.11,5.5,1.48,2.5,2.2,1.62,1.44,2.22,1.22,1.18,1.85
O6i8L5VI,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Hødd,Egersunds,2.0,0.0,2.0,0.0,"[5, 40]",[],3.14,3.33,1.95,3.6,2.25,2.5,1.22,3.9,1.62,2.05,2.75,1.4,1.6,2.2,1.61,1.23,1.26
42Ufq9NP,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Lyn,Strømmen,1.0,0.0,1.0,0.0,[38],[],2.0,4.0,2.62,2.6,2.36,3.2,1.13,5.2,1.5,2.4,2.25,1.57,1.55,2.28,1.33,1.2,1.57
EyGQwmom,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Odd Grenland,Ranheim,2.0,1.0,2.0,1.0,"[21, 38]",[41],1.73,3.75,3.75,2.14,2.42,4.0,1.11,5.5,1.44,2.6,2.13,1.58,1.41,2.3,1.22,1.2,1.81
A39ZyRFa,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Sandnes,Sogndal,1.0,0.0,1.0,0.0,[12],[],2.56,3.66,2.42,3.13,2.37,2.98,1.14,4.75,1.48,2.5,2.2,1.62,1.46,2.49,1.5,1.23,1.45
rH7sz5pC,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Stabaek,Kongsvinger,1.0,0.0,1.0,0.0,[10],[],2.3,3.8,2.54,2.66,2.5,2.9,1.11,5.3,1.36,2.8,1.94,1.68,1.4,2.71,1.42,1.23,1.5
vq1jYrFO,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 9,25/05/2026,12:00,Strömsgodset,Bryne,0.0,0.0,0.0,0.0,[],[],1.41,4.5,5.0,1.83,2.66,5.0,1.1,7.0,1.36,3.1,1.83,1.83,1.5,2.4,1.11,1.15,2.2
2LVk8LA6,DENMARK,First Division 2025-2026,DENMARK 2,2025-2026,RODADA 31,25/05/2026,08:00,Kolding,Hillerod,3.0,0.0,1.0,0.0,"[34, 53, 82]",[],3.45,3.55,1.92,3.9,2.15,2.5,1.22,3.8,1.85,1.77,3.0,1.33,1.67,2.0,1.8,1.2,1.29
AoZc6auJ,DENMARK,First Division 2025-2026,DENMARK 2,2025-2026,RODADA 31,25/05/2026,10:00,Hvidovre IF,Esbjerg,1.0,4.0,0.0,1.0,[72],"[29, 90, 90+3, 90+5]",2.06,3.3,3.3,2.65,2.1,3.8,1.25,3.6,1.72,1.96,2.61,1.37,1.65,2.05,1.3,1.22,1.7
