id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
O4wBNeOr,FRANCE,Ligue 1 2025-2026,FRANCE 1,2025-2026,FINAL,26/05/2026,15:45,St. Etienne,Nice,,,,,,,2.67,3.1,2.55,3.35,2.35,2.8,1.28,3.65,1.85,1.95,2.95,1.39,1.53,2.4,1.5,1.34,1.34
jBuIJqz0,GERMANY,2. Bundesliga 2025-2026,GERMANY 2,2025-2026,FINAL,26/05/2026,15:30,Furth,RW Essen,,,,,,,1.73,3.6,3.75,2.33,2.3,4.2,1.16,4.67,1.61,2.18,2.62,1.44,1.5,2.4,1.2,1.22,1.81
jZ1QHM0K,SOUTH AFRICA,Premiership 2025-2026,SOUTH AFRICA 1,2025-2026,,26/05/2026,10:00,Cape Town City,Milford FC,,,,,,,1.88,3.1,3.75,2.57,2.0,4.33,1.48,2.5,2.32,1.51,4.3,1.19,2.1,1.66,1.2,1.28,1.64
Y12lqXJ0,SWEDEN,Superettan 2026,SWEDEN 2,2026,RODADA 9,26/05/2026,14:00,Örebro,Helsingborg,,,,,,,2.12,3.5,2.9,2.66,2.22,3.4,1.23,3.45,1.75,1.89,2.8,1.35,1.66,2.1,1.32,1.26,1.58
4YowVZ8a,ARMENIA,Premier League 2025-2026,ARMENIA 1,2025-2026,RODADA 27,26/05/2026,12:00,Alashkert,Shirak,,,,,,,1.18,5.5,13.0,1.57,2.7,9.0,1.13,4.6,1.44,2.22,2.2,1.55,2.1,1.6,1.01,1.08,3.4
jkpoTDwC,ARMENIA,Premier League 2025-2026,ARMENIA 1,2025-2026,RODADA 27,26/05/2026,12:00,Ararat,BKMA,,,,,,,2.59,3.24,2.35,3.26,2.12,3.01,1.25,3.15,1.76,1.77,2.9,1.29,1.67,1.99,1.43,1.27,1.37
