id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
G44gJJzh,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,23/05/2026,17:00,São Paulo,Botafogo,,,,,,,1.93,3.35,3.78,2.46,2.1,4.18,1.3,3.25,1.95,1.77,3.38,1.28,1.68,1.82,1.17,1.23,1.58
CfhoHlBL,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,23/05/2026,17:00,Vitória,Internacional,,,,,,,2.57,3.1,2.72,3.3,2.02,3.5,1.42,2.87,2.27,1.65,4.1,1.24,1.92,1.82,1.4,1.33,1.44
prHje7l2,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,23/05/2026,19:00,Grêmio,Santos,,,,,,,2.05,3.25,3.7,2.79,2.12,4.48,1.33,2.45,2.03,1.52,3.3,1.18,2.01,1.74,1.24,1.31,1.72
rHeAFyzH,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,23/05/2026,19:00,Mirassol,Fluminense,,,,,,,2.8,3.15,2.65,3.45,1.98,3.4,1.33,3.0,2.2,1.6,4.0,1.2,1.9,1.83,1.5,1.34,1.47
4Qzy1xLN,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,23/05/2026,21:00,Flamengo,Palmeiras,,,,,,,1.93,3.25,4.2,2.6,2.19,4.7,1.35,2.85,2.08,1.63,3.66,1.22,1.89,1.85,1.2,1.31,1.81
x8S221WH,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Alavés,Rayo Vallecano,,,,,,,2.5,3.1,2.9,2.89,2.2,3.45,1.28,3.6,1.95,1.81,3.5,1.29,1.75,2.08,1.4,1.36,1.53
ALQA0u1U,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Bétis,Levante,,,,,,,1.81,3.9,3.85,2.26,2.42,4.1,1.16,5.0,1.49,2.48,2.29,1.57,1.52,2.32,1.25,1.25,1.87
CMIDKrnn,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Celta de Vigo,Sevilla,,,,,,,1.85,3.7,4.0,2.4,2.1,4.2,1.26,3.5,1.84,1.87,3.0,1.35,1.75,1.95,1.2,1.22,1.83
KnMLIMGb,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Espanyol,Real Sociedad,,,,,,,2.26,3.48,3.08,2.8,2.1,3.5,1.27,3.7,1.87,1.93,2.95,1.39,1.65,2.13,1.4,1.33,1.67
t2AUG0oB,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Getafe,Osasuna,,,,,,,2.35,2.92,3.6,3.1,1.85,4.4,1.55,2.45,2.65,1.47,5.2,1.16,2.1,1.67,1.32,1.38,1.62
ltgBTwVG,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Girona,Elche,,,,,,,1.8,3.8,3.9,2.3,2.3,4.2,1.22,3.66,1.69,2.0,2.71,1.38,1.57,2.25,1.2,1.2,1.91
lSDxFvGN,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Mallorca,Oviedo,,,,,,,1.53,4.1,6.2,2.08,2.35,6.4,1.27,3.54,1.85,1.89,3.08,1.34,2.03,1.72,1.13,1.23,2.44
hf989Iwo,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Real Madrid,Ath. Bilbao,,,,,,,1.47,4.7,6.06,1.91,2.66,5.92,1.18,4.7,1.56,2.42,2.32,1.61,1.7,2.08,1.13,1.18,2.43
tGk3Va04,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,23/05/2026,16:00,Valencia,Barcelona,,,,,,,3.94,4.1,1.78,4.19,2.6,2.24,1.14,5.21,1.45,2.67,2.08,1.69,1.46,2.58,1.91,1.23,1.24
0QLz5lH7,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,23/05/2026,13:00,Bologna,Inter,,,,,,,4.0,3.7,1.83,4.0,2.5,2.38,1.19,4.6,1.6,2.35,2.39,1.58,1.53,2.38,1.91,1.29,1.22
63r2L91l,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,23/05/2026,15:45,Lazio,Pisa,,,,,,,1.47,4.0,6.75,1.91,2.25,7.0,1.27,3.25,1.85,1.81,3.1,1.3,1.95,1.8,1.1,1.18,2.55
bwpnmP6C,BELGIUM,Pro League 2025-2026,BELGIUM 1,2025,FINAL,23/05/2026,13:15,Dender,Lommel SK,,,,,,,1.88,3.7,3.7,2.4,2.32,4.2,1.2,3.92,1.65,1.98,2.72,1.38,1.63,2.14,1.24,1.24,1.86
GIbTTzHE,BELGIUM,Pro League 2025-2026,BELGIUM 1,2025,RODADA 40,23/05/2026,15:45,Antwerp,Westerlo,,,,,,,2.1,3.6,2.8,2.63,2.3,3.3,1.16,4.45,1.55,2.14,2.16,1.53,1.5,2.5,1.33,1.22,1.62
I72Z27Cb,BELGIUM,Pro League 2025-2026,BELGIUM 1,2025,RODADA 40,23/05/2026,15:45,Leuven,Genk,,,,,,,3.44,3.8,2.01,3.9,2.37,2.49,1.14,4.8,1.63,2.19,2.6,1.44,1.56,2.3,1.73,1.3,1.31
KzBfeGAk,BELGIUM,Pro League 2025-2026,BELGIUM 1,2025,RODADA 40,23/05/2026,15:45,St. Liege,Charleroi,,,,,,,2.63,3.2,2.63,3.1,2.1,3.1,1.25,3.6,1.91,1.8,3.3,1.29,1.67,2.05,1.45,1.29,1.45
tp7Juor1,USA,MLS 2026,USA 1,2026,,23/05/2026,15:45,St. Louis City,Austin FC,,,,,,,1.6,3.8,4.33,2.05,2.5,4.75,1.14,5.0,1.52,2.4,2.22,1.6,1.6,2.2,1.16,1.2,1.96
fmXhfpcf,USA,MLS 2026,USA 1,2026,,23/05/2026,17:30,Minnesota,Real Salt Lake,,,,,,,2.3,3.6,2.75,2.83,2.33,3.25,1.14,4.8,1.57,2.25,2.4,1.5,1.52,2.36,1.4,1.28,1.52
lAARwPCD,USA,MLS 2026,USA 1,2026,,23/05/2026,20:30,Charlotte,New England Revolution,,,,,,,1.88,3.8,3.95,2.45,2.25,4.2,1.23,3.9,1.73,2.02,2.8,1.41,1.65,2.15,1.27,1.26,1.95
2khE1S4K,USA,MLS 2026,USA 1,2026,,23/05/2026,20:30,Cincinnati,Orlando City,,,,,,,1.48,4.5,4.5,1.9,2.83,4.5,1.07,7.2,1.3,3.35,1.75,2.0,1.4,2.71,1.15,1.15,2.14
IymkJ3M9,USA,MLS 2026,USA 1,2026,,23/05/2026,20:30,DC United,CF Montreal,,,,,,,1.95,3.55,3.4,2.48,2.32,4.35,1.2,3.15,1.68,1.81,2.6,1.31,1.63,2.06,1.27,1.26,1.68
viybHsiM,USA,MLS 2026,USA 1,2026,,23/05/2026,21:30,Chicago Fire,Toronto FC,,,,,,,1.47,4.2,5.0,2.0,2.5,5.0,1.15,4.75,1.5,2.42,2.25,1.57,1.6,2.2,1.13,1.17,2.14
2Dz1hOR6,USA,MLS 2026,USA 1,2026,,23/05/2026,21:30,Nashville SC,New York City,,,,,,,1.64,3.66,4.2,2.22,2.33,4.5,1.23,3.75,1.75,1.96,2.83,1.37,1.75,1.95,1.2,1.2,1.87
bLwpd6Ss,USA,MLS 2026,USA 1,2026,,23/05/2026,21:30,Sporting Kansas City,New York Red Bulls,,,,,,,2.85,3.95,2.01,2.95,2.35,2.3,1.07,7.0,1.3,3.2,1.85,1.85,1.27,2.8,1.52,1.18,1.26
OSO9j2dJ,USA,MLS 2026,USA 1,2026,,23/05/2026,22:30,Colorado Rapids,FC Dallas,,,,,,,2.2,3.6,2.7,2.47,2.16,3.0,1.14,5.04,1.57,2.3,2.49,1.49,1.39,2.36,1.29,1.2,1.43
UPBeE5lQ,USA,MLS 2026,USA 1,2026,,23/05/2026,22:30,Portland Timbers,San Jose Earthquakes,,,,,,,2.16,4.0,2.75,2.6,2.54,3.2,1.08,6.5,1.36,2.88,1.95,1.75,1.4,2.75,1.4,1.23,1.6
lQMTBLEq,USA,MLS 2026,USA 1,2026,,23/05/2026,22:30,San Diego FC,Vancouver Whitecaps,,,,,,,3.55,3.75,1.82,3.25,2.27,2.21,1.11,6.25,1.4,2.9,2.0,1.8,1.37,2.41,1.64,1.19,1.18
lAhS8qCm,USA,MLS 2026,USA 1,2026,,23/05/2026,23:30,Los Angeles Galaxy,Houston Dynamo,,,,,,,1.92,3.6,3.41,2.25,2.36,3.65,1.13,5.2,1.5,2.4,2.4,1.5,1.48,2.3,1.28,1.26,1.79
UoVVpSFc,JAPAN,J1 League 2026,JAPAN 1,2026,RODADA 18,23/05/2026,02:00,Fukuoka,Kobe,,,,,,,4.5,3.18,1.69,5.1,1.94,2.28,1.36,2.43,2.1,1.49,3.85,1.16,2.08,1.6,1.96,1.28,1.18
j3QjNONj,JAPAN,J1 League 2026,JAPAN 1,2026,RODADA 18,23/05/2026,02:00,Hiroshima,Nagoya,,,,,,,1.67,3.94,4.38,2.21,2.38,4.82,1.22,3.8,1.66,2.08,2.66,1.41,1.7,2.05,1.16,1.2,1.96
xCYwq6pA,JAPAN,J1 League 2026,JAPAN 1,2026,RODADA 18,23/05/2026,05:30,Kashima,Tokyo,,,,,,,2.22,3.14,2.85,2.9,2.1,3.6,1.37,2.85,2.01,1.71,3.6,1.23,1.83,1.83,1.32,1.27,1.52
bRMnspFM,JAPAN,J1 League 2026,JAPAN 1,2026,RODADA 18,23/05/2026,06:00,Kashiwa,Chiba,,,,,,,1.48,4.2,6.0,2.0,2.3,6.0,1.22,3.8,1.8,1.91,3.2,1.3,2.0,1.73,1.12,1.18,2.25
U9DIyOxp,JAPAN,J1 League 2026,JAPAN 1,2026,RODADA 18,23/05/2026,07:00,Kyoto,V-Varen Nagasaki,,,,,,,1.77,3.4,3.8,2.4,2.16,4.5,1.27,3.44,1.85,1.85,3.2,1.3,1.8,1.9,1.2,1.25,1.76
dSGNnBd2,AUSTRALIA,A-League 2025-2026,AUSTRALIA 1,2025,FINAL,23/05/2026,05:10,Auckland FC,Sydney FC,,,,,,,1.95,3.25,3.33,2.62,2.2,3.8,1.2,4.0,1.75,1.95,3.0,1.33,1.8,1.9,1.26,1.25,1.63
jDs6fqPF,SWEDEN,Allsvenskan 2026,SWEDEN 1,2026,RODADA 9,23/05/2026,10:00,Halmstad,Orgryte,,,,,,,2.2,3.4,3.0,2.75,2.22,3.5,1.25,3.4,1.73,1.87,3.0,1.32,1.66,2.1,1.32,1.27,1.57
Iaqbd5f3,SWEDEN,Allsvenskan 2026,SWEDEN 1,2026,RODADA 9,23/05/2026,10:00,Kalmar,Degerfors,,,,,,,2.1,3.25,3.5,2.75,2.0,3.75,1.35,2.9,2.08,1.58,3.6,1.23,1.9,1.87,1.3,1.33,1.67
v5oSF2Tr,BRAZIL,Serie B 2026,BRAZIL 2,2026,RODADA 10,23/05/2026,16:00,Novorizontino,Ceará,,,,,,,2.23,3.2,3.35,2.9,2.02,4.0,1.5,2.44,2.5,1.48,4.8,1.14,1.89,1.75,1.3,1.34,1.63
pMvUZNKE,BRAZIL,Serie B 2026,BRAZIL 2,2026,RODADA 10,23/05/2026,18:30,Fortaleza,Londrina,,,,,,,1.42,3.9,7.5,2.0,2.2,7.5,1.34,3.07,2.05,1.72,3.59,1.26,2.25,1.57,1.1,1.25,2.63
zgI9n14K,BRAZIL,Serie B 2026,BRAZIL 2,2026,RODADA 10,23/05/2026,20:30,Juventude,Sport,,,,,,,2.05,2.9,3.6,2.71,2.0,4.5,1.36,2.88,2.25,1.57,4.5,1.17,2.1,1.66,1.23,1.32,1.63
O8mFi94t,BRAZIL,Serie C 2026,BRAZIL 3,2026,RODADA 8,23/05/2026,17:00,Barra-SC,Guarani,,,,,,,2.47,2.78,2.75,3.21,1.88,3.49,1.5,2.4,2.4,1.5,4.33,1.18,2.08,1.63,1.35,1.3,1.44
fZ6kylKa,BRAZIL,Serie C 2026,BRAZIL 3,2026,RODADA 8,23/05/2026,19:30,Maranhão,Caxias,,,,,,,2.37,3.0,2.8,3.1,1.92,3.5,1.5,2.4,2.4,1.5,4.57,1.16,2.08,1.63,1.35,1.3,1.44
Yq85X5JO,BRAZIL,Serie C 2026,BRAZIL 3,2026,RODADA 8,23/05/2026,19:30,Maringá,Santa Cruz,,,,,,,1.97,3.2,3.85,2.6,2.07,4.45,1.36,3.1,2.1,1.73,3.8,1.25,1.95,1.76,1.24,1.29,1.95
OIpPdTJa,ENGLAND,Championship 2025-2026,ENGLAND 2,2025,FINAL,23/05/2026,11:30,Hull,Middlesbrough,,,,,,,3.2,3.4,2.05,3.75,2.2,2.88,1.31,3.15,2.0,1.72,3.41,1.27,1.73,2.0,1.7,1.3,1.36
IDtz8rrp,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,23/05/2026,15:00,Los Andes,Racing Cordoba,,,,,,,2.18,2.7,3.78,3.02,1.79,4.97,1.5,2.4,2.75,1.4,5.5,1.11,2.52,1.5,1.18,1.35,1.58
hjgC7Zm1,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,23/05/2026,15:00,San Telmo,Ciudad Bolivar,,,,,,,2.36,2.57,3.14,3.14,1.76,4.5,1.75,1.89,3.2,1.3,7.0,1.07,2.54,1.45,1.27,1.33,1.46
QoruCif4,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,23/05/2026,15:00,Tristan Suarez,Colegiales,,,,,,,1.96,2.71,4.0,2.75,1.83,5.0,1.76,1.78,3.55,1.25,6.5,1.08,2.54,1.45,1.18,1.32,1.61
YmwB9eJl,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,23/05/2026,15:30,San Miguel,Almirante Brown,,,,,,,2.18,2.65,3.88,3.07,1.75,5.17,1.65,2.1,3.2,1.3,7.5,1.06,2.61,1.47,1.2,1.41,1.61
4hV6Qj9c,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,23/05/2026,16:00,Nueva Chicago,Temperley,,,,,,,2.44,2.6,3.41,3.37,1.74,4.55,1.76,1.88,3.2,1.3,7.0,1.07,2.57,1.49,1.25,1.38,1.46
xQ1pjAXp,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,23/05/2026,16:30,Atl. Rafaela,Midland,,,,,,,2.41,2.65,2.97,3.15,1.74,3.6,1.57,2.23,2.75,1.38,5.3,1.11,2.28,1.5,1.33,1.4,1.47
xnwL2mHj,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,23/05/2026,16:30,San Martin,Deportivo Maipu,,,,,,,1.73,3.0,4.5,2.42,2.05,4.75,1.44,2.63,2.35,1.55,4.33,1.18,2.2,1.6,1.14,1.26,1.8
hImEgUtT,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,23/05/2026,04:30,Gyeongnam,Suwon FC,,,,,,,3.75,3.45,1.8,4.0,2.3,2.35,1.22,3.0,1.71,1.77,2.75,1.28,1.63,2.1,1.78,1.21,1.18
php6ejCG,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,23/05/2026,04:30,Jeonnam,Gimhae,,,,,,,1.82,3.45,3.75,2.35,2.22,4.3,1.25,3.3,1.81,1.83,2.95,1.32,1.77,1.95,1.27,1.27,1.98
AZTpl84j,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,23/05/2026,07:00,Cheongju Jikji,Hwaseong,,,,,,,2.42,2.94,2.72,3.18,1.96,3.5,1.38,2.65,2.19,1.55,3.85,1.19,1.9,1.75,1.34,1.31,1.41
GIDwItPF,USA,USL Championship 2026,USA 2,2026,,23/05/2026,19:00,Loudoun,Detroit,,,,,,,3.1,3.33,2.1,3.5,2.12,2.66,1.26,3.25,1.82,1.81,3.0,1.31,1.64,1.9,1.53,1.25,1.33
UPXrda2d,USA,USL Championship 2026,USA 2,2026,,23/05/2026,20:00,Indy Eleven,Lexington,,,,,,,2.2,3.4,2.85,2.8,2.15,3.35,1.23,3.45,1.75,1.89,2.8,1.35,1.65,2.05,1.3,1.22,1.62
AJVBaY8l,USA,USL Championship 2026,USA 2,2026,,23/05/2026,20:00,Miami FC,Louisville City,,,,,,,5.4,4.2,1.48,5.0,2.5,1.93,1.17,5.0,1.54,2.22,2.26,1.52,1.55,2.2,2.5,1.14,1.09
4tioEXNs,USA,USL Championship 2026,USA 2,2026,,23/05/2026,20:30,Rhode Island,Brooklyn,,,,,,,1.52,3.8,5.33,2.0,2.25,5.33,1.23,3.45,1.74,1.9,2.8,1.35,1.83,1.83,1.14,1.18,2.08
YLr2AkN6,USA,USL Championship 2026,USA 2,2026,,23/05/2026,20:30,Tampa Bay,Phoenix Rising,,,,,,,1.5,4.0,5.5,1.96,2.28,5.5,1.23,3.5,1.65,2.02,2.75,1.36,1.78,1.75,1.13,1.18,2.12
xfkgCBhf,USA,USL Championship 2026,USA 2,2026,,23/05/2026,21:30,San Antonio,Sacramento Republic,,,,,,,2.29,2.75,2.85,2.9,1.79,3.05,1.41,2.55,2.3,1.52,4.0,1.18,1.78,1.64,1.26,1.28,1.39
vaNSej8D,USA,USL Championship 2026,USA 2,2026,,23/05/2026,22:00,New Mexico,Charleston,,,,,,,3.1,3.45,2.15,3.55,2.2,2.67,1.19,3.8,1.64,2.05,2.55,1.42,1.55,2.3,1.7,1.28,1.37
IqZJcCw1,USA,USL Championship 2026,USA 2,2026,,23/05/2026,23:00,Monterey Bay,Birmingham,,,,,,,2.9,3.35,2.3,3.45,2.1,2.9,1.23,3.5,1.74,1.91,2.8,1.35,1.67,2.07,1.62,1.29,1.42
pdAEJg0K,USA,USL Championship 2026,USA 2,2026,,23/05/2026,23:00,Orange County SC,Oakland Roots,,,,,,,2.54,3.0,2.6,3.1,2.05,3.14,1.29,3.05,1.92,1.73,3.2,1.27,1.7,2.0,1.4,1.3,1.4
r5FVJ2f3,USA,USL Championship 2026,USA 2,2026,,23/05/2026,23:30,Las Vegas Lights,Colorado Springs,,,,,,,3.2,3.5,1.96,3.6,2.16,2.54,1.2,4.0,1.65,2.1,2.75,1.4,1.63,2.08,1.6,1.26,1.27
bZ9IQ69r,EGYPT,Primeira Liga 2025-2026,EGYPT 1,2025,RODADA 12,23/05/2026,14:00,Al-Ittihad,Ismaily,,,,,,,1.61,3.0,5.66,2.25,1.9,6.66,1.57,2.25,2.75,1.4,5.5,1.11,2.54,1.45,1.11,1.27,1.87
pj8QOpve,EGYPT,Primeira Liga 2025-2026,EGYPT 1,2025,RODADA 12,23/05/2026,14:00,Haras El Hodood,Petrojet,,,,,,,2.75,2.62,2.6,3.4,1.93,3.25,1.46,2.41,2.37,1.48,4.2,1.2,1.9,1.8,1.37,1.35,1.33
pAbKpS0E,EGYPT,Primeira Liga 2025-2026,EGYPT 1,2025,RODADA 12,23/05/2026,14:00,Kahrabaa Ismailia,Arab Contractors,,,,,,,3.6,3.0,1.92,4.5,1.9,2.66,1.4,2.56,2.24,1.52,4.1,1.2,1.95,1.75,1.63,1.26,1.22
