id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
K8bh3OkJ,GERMANY,Bundesliga 2025-2026,GERMANY 1,2025,FINAL,21/05/2026,15:30,Wolfsburg,Paderborn,,,,,,,4.75,3.66,1.62,5.0,2.33,2.16,1.25,3.75,1.77,1.99,2.9,1.38,1.75,1.96,2.05,1.23,1.16
AcuhRUx2,NETHERLANDS,Eredivisie 2025-2026,NETHERLANDS 1,2025,SEMIFINAIS,21/05/2026,13:45,Ajax,Groningen,,,,,,,1.6,4.2,4.6,2.05,2.5,4.75,1.17,4.5,1.41,2.7,1.99,1.75,1.53,2.35,1.18,1.17,2.25
GfSwkYU8,NETHERLANDS,Eredivisie 2025-2026,NETHERLANDS 1,2025,SEMIFINAIS,21/05/2026,16:00,Utrecht,Heerenveen,,,,,,,1.9,3.7,3.3,2.17,2.22,3.45,1.15,4.5,1.5,2.36,1.94,1.68,1.32,2.55,1.22,1.18,1.64
lG0CQql1,BELGIUM,Pro League 2025-2026,BELGIUM 1,2025,RODADA 39,21/05/2026,15:30,Anderlecht,St. Truiden,,,,,,,2.28,3.33,2.54,2.75,2.3,3.1,1.16,4.42,1.53,2.28,2.29,1.53,1.5,2.4,1.36,1.25,1.45
Ao9IaGqo,BELGIUM,Pro League 2025-2026,BELGIUM 1,2025,RODADA 39,21/05/2026,15:30,Gent,Royale Union SG,,,,,,,4.0,3.5,1.68,4.5,2.2,2.25,1.25,3.6,1.87,1.87,3.3,1.29,1.8,1.9,1.8,1.22,1.18
hpeaWEKM,BELGIUM,Pro League 2025-2026,BELGIUM 1,2025,RODADA 39,21/05/2026,15:30,KV Mechelen,Club Brugge,,,,,,,5.33,4.5,1.38,5.33,2.71,1.77,1.11,6.5,1.4,2.88,2.0,1.8,1.5,2.4,2.28,1.13,1.11
rqesMI6K,MEXICO,Liga MX 2025-2026,MEXICO 1,2025,FINAL,21/05/2026,23:00,Cruz Azul,U.N.A.M.,,,,,,,2.85,3.4,2.1,3.4,2.28,2.71,1.25,4.05,1.72,2.12,2.77,1.45,1.6,2.2,1.53,1.25,1.33
zHabevSa,SWEDEN,Allsvenskan 2026,SWEDEN 1,2026,RODADA 15,21/05/2026,14:00,Elfsborg,Mjallby,,,,,,,2.66,2.9,2.5,3.4,2.05,3.14,1.41,2.75,2.15,1.65,3.7,1.24,1.83,1.83,1.4,1.33,1.36
UeacFDWp,SWITZERLAND,Super League 2025-2026,SWITZERLAND 1,2025,FINAL,21/05/2026,15:15,Grasshoppers,Aarau,,,,,,,2.1,3.28,2.95,,,,,,,,,,,,,,
pMl96lV0,DENMARK,Superliga 2025-2026,DENMARK 1,2025,FINAL,21/05/2026,13:30,Brondby,FC Copenhagen,,,,,,,3.05,3.3,2.26,3.5,2.2,2.8,1.28,3.35,1.97,1.77,3.45,1.27,1.6,2.23,1.6,1.31,1.35
hGBYMO87,EGYPT,Primeira Liga 2025-2026,EGYPT 1,2025,RODADA 12,21/05/2026,14:00,Wadi Degla,ZED,,,,,,,2.09,2.8,3.78,2.89,1.75,4.46,1.5,2.25,2.4,1.44,4.6,1.15,2.25,1.54,1.18,1.33,1.6
