id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
ruM4DPyK,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,24/05/2026,16:00,Chaco For Ever,Deportivo Madryn,,,,,,,2.26,2.75,3.56,3.07,1.82,4.64,1.53,2.3,2.65,1.41,5.1,1.12,2.4,1.55,1.2,1.35,1.52
ENCz83as,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,24/05/2026,16:00,Ferro,Central Norte,,,,,,,1.66,2.9,5.33,2.16,1.94,7.5,1.62,2.15,2.8,1.38,5.2,1.13,2.9,1.36,1.11,1.26,1.88
vTUr6MCd,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,24/05/2026,16:30,Godoy Cruz,All Boys,,,,,,,1.75,2.85,4.75,2.54,1.84,5.75,1.63,2.05,2.98,1.36,5.69,1.12,2.71,1.4,1.14,1.26,1.8
21GwS3ZF,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,24/05/2026,18:00,Colón,CA Mitre,,,,,,,1.96,2.89,4.67,2.7,1.76,5.22,1.66,2.08,2.8,1.38,5.5,1.11,2.45,1.51,1.18,1.35,1.82
plbtAVOG,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,24/05/2026,18:30,Club A. Guemes,Patronato,,,,,,,2.16,2.66,3.4,3.25,1.85,3.8,1.57,2.16,2.8,1.4,5.22,1.14,2.2,1.6,1.23,1.32,1.53
ABo4AvJa,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,24/05/2026,18:30,Gimnasia y Tiro,Gimnasia Jujuy,,,,,,,2.32,2.75,3.36,3.17,1.77,4.45,1.58,2.08,2.6,1.41,4.75,1.13,2.39,1.56,1.26,1.35,1.48
WQZC8ImC,ARGENTINA,Primera Nacional 2026,ARGENTINA 2,2026,RODADA 15,24/05/2026,19:00,San Martin Tucuman,Atletico Atlanta,,,,,,,2.12,2.62,3.6,2.57,1.83,5.66,1.67,2.1,3.0,1.35,5.75,1.09,2.54,1.45,1.22,1.32,1.55
2TGWBBdc,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,24/05/2026,04:30,Yongin,Asan,,,,,,,3.2,3.3,2.1,3.75,2.2,2.75,1.29,3.1,1.91,1.74,3.15,1.27,1.8,1.91,1.7,1.33,1.36
beAuAkR9,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,24/05/2026,07:00,Daegu,Ansan Greeners,,,,,,,1.31,4.71,6.92,1.75,2.53,6.96,1.18,3.9,1.6,2.11,2.47,1.44,1.91,1.74,1.08,1.13,2.47
4fxDisBr,SOUTH KOREA,K League 2 2026,SOUTH KOREA 2,2026,RODADA 13,24/05/2026,07:00,Seoul E-Land,Seongnam,,,,,,,2.0,3.15,3.45,2.62,2.05,4.2,1.33,2.5,2.2,1.6,3.6,1.19,1.97,1.74,1.3,1.31,1.82
lvpuaVx2,ESTONIA,Meistriliiga 2026,ESTONIA 1,2026,RODADA 13,24/05/2026,11:00,Parnu JK Vaprus,Levadia,,,,,,,1.21,5.0,8.0,1.48,2.65,7.0,1.08,5.4,1.38,2.7,2.0,1.67,1.66,1.77,1.04,1.08,2.42
nZOOQGrB,LITHUANIA,Toplyga 2026,LITHUANIA 1,2026,RODADA 15,24/05/2026,08:15,Zalgiris,Hegelmann,,,,,,,1.5,3.85,5.5,2.02,2.22,5.4,1.19,3.7,1.7,2.05,2.67,1.38,1.85,1.79,1.13,1.21,2.27
faSWOfDN,LITHUANIA,Toplyga 2026,LITHUANIA 1,2026,RODADA 15,24/05/2026,11:00,FK Panevezys,Banga,,,,,,,2.3,3.11,2.74,3.07,1.99,3.55,1.26,3.3,2.06,1.63,2.95,1.31,1.86,1.78,1.34,1.28,1.45
jVD2JYzo,LITHUANIA,Toplyga 2026,LITHUANIA 1,2026,RODADA 15,24/05/2026,12:00,Dziugas Telsiai,Transinvest,,,,,,,2.62,3.5,2.25,3.14,2.2,2.8,1.26,3.4,1.9,1.74,3.12,1.3,1.6,2.14,1.48,1.25,1.38
lKsxpdB6,PARAGUAY,Copa de Primera 2026,PARAGUAY 1,2026,RODADA 22,24/05/2026,17:00,Ameliano,Sportivo Trinidense,,,,,,,2.2,3.05,2.99,2.91,1.99,3.69,1.4,2.71,2.1,1.66,3.75,1.22,1.83,1.83,1.3,1.26,1.5
G6qUoItf,PARAGUAY,Copa de Primera 2026,PARAGUAY 1,2026,RODADA 22,24/05/2026,17:00,Cerro Porteno,Rubio Nu,,,,,,,1.55,3.5,6.25,2.15,2.05,6.0,1.29,3.3,1.95,1.75,3.6,1.25,2.0,1.67,1.06,1.22,2.3
KvjLmvCs,PARAGUAY,Copa de Primera 2026,PARAGUAY 1,2026,RODADA 22,24/05/2026,17:00,Nacional Asunción,Libertad,,,,,,,2.12,3.05,3.35,2.56,1.97,3.68,1.36,2.88,2.25,1.57,4.0,1.2,1.79,1.82,1.26,1.31,1.55
Mo7f6g6e,PERU,Liga 1 2026,PERU 1,2026,RODADA 16,24/05/2026,13:00,Sporting Cristal,AD Tarma,,,,,,,1.64,3.3,4.2,1.98,2.02,4.4,1.27,3.45,1.92,1.81,3.1,1.33,1.69,1.72,1.13,1.2,1.77
EL3n8Fyq,PERU,Liga 1 2026,PERU 1,2026,RODADA 16,24/05/2026,15:15,Huancayo,Cienciano,,,,,,,2.5,3.1,2.5,3.1,2.2,3.1,1.23,3.8,1.79,1.95,2.8,1.4,1.6,2.2,1.41,1.28,1.4
rHyt1bUF,PERU,Liga 1 2026,PERU 1,2026,RODADA 16,24/05/2026,17:30,Alianza Atl.,FC Cajamarca,,,,,,,1.54,3.5,5.33,2.12,2.2,5.75,1.28,3.4,1.97,1.77,3.15,1.32,2.05,1.7,1.13,1.22,2.0
0b2mp30n,URUGUAY,Liga AUF Uruguaia 2026,URUGUAY 1,2026,RODADA 2,24/05/2026,10:00,Cerro CA,Central Esp.,,,,,,,2.72,2.83,2.72,3.41,1.9,3.36,1.5,2.4,2.53,1.46,4.64,1.16,1.98,1.7,1.4,1.38,1.4
IHcsZxho,URUGUAY,Liga AUF Uruguaia 2026,URUGUAY 1,2026,RODADA 2,24/05/2026,15:00,Wanderers,Maldonado,,,,,,,2.33,3.4,2.8,3.0,2.0,3.75,1.36,2.88,2.2,1.6,4.0,1.2,2.0,1.72,1.36,1.28,1.5
8O5ersVb,URUGUAY,Liga AUF Uruguaia 2026,URUGUAY 1,2026,RODADA 2,24/05/2026,18:30,Defensor Sp.,Peñarol,,,,,,,3.5,3.1,1.95,4.2,2.05,2.66,1.4,2.8,2.21,1.5,4.2,1.2,1.95,1.75,1.62,1.27,1.25
