id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
U1kd53uA,USA,USL Championship 2026,USA 2,2026,,20/05/2026,21:00,Detroit,Miami FC,,,,,,,1.54,3.9,4.85,2.02,2.35,5.25,1.2,4.0,1.68,1.87,2.88,1.36,1.8,1.9,1.16,1.22,2.37
xSh43sAM,USA,USL Championship 2026,USA 2,2026,,20/05/2026,22:00,New Mexico,Tampa Bay,,,,,,,3.33,3.5,1.9,3.8,2.14,2.5,1.2,4.0,1.73,2.0,2.88,1.36,1.73,1.95,1.66,1.25,1.25
ppL3zFyq,PORTUGAL,Primeira Liga 2025-2026,PORTUGAL 1,2025,FINAL,20/05/2026,14:00,Torreense,Casa Pia,0.0,0.0,0.0,0.0,[],[],2.86,3.04,2.43,3.39,2.01,2.85,1.41,2.75,2.12,1.66,3.6,1.25,1.8,1.86,1.5,1.34,1.37
rJKJ2MZP,SWEDEN,Allsvenskan 2026,SWEDEN 1,2026,RODADA 15,20/05/2026,14:00,GAIS,Hammarby,2.0,0.0,1.0,0.0,"[26, 81]",[],3.45,3.5,1.99,3.8,2.25,2.54,1.2,4.0,1.65,2.1,2.88,1.36,1.69,2.08,1.73,1.25,1.26
v3i3qEfD,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 8,20/05/2026,13:00,Start,Bodo/Glimt,1.0,4.0,1.0,2.0,[45+7],"[24, 44, 78, 87]",10.0,6.0,1.16,9.0,3.1,1.5,1.06,7.4,1.32,3.1,1.81,1.92,1.8,1.9,3.33,1.06,1.04
YobepuNG,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 2,20/05/2026,14:00,Lilleström,Kristiansund,1.0,2.0,0.0,1.0,[55],"[14, 56]",1.38,5.0,6.33,1.81,2.66,5.75,1.13,5.25,1.44,2.65,2.1,1.7,1.66,2.1,1.11,1.14,2.45
0A1Nl9Wh,NORWAY,Eliteserien 2026,NORWAY 1,2026,RODADA 8,20/05/2026,15:00,Aalesund,Brann,2.0,1.0,1.0,0.0,"[26, 90+4]",[68],4.5,4.0,1.51,4.8,2.4,1.9,1.15,4.8,1.53,2.38,2.36,1.59,1.6,2.08,2.24,1.2,1.16
pxFglhAm,ITALY,Serie B 2025-2026,ITALY 2,2025,SEMIFINAIS,20/05/2026,15:00,Palermo,Catanzaro,2.0,0.0,1.0,0.0,"[3, 89]",[],1.73,3.9,4.2,2.22,2.35,4.7,1.18,4.2,1.63,2.19,2.5,1.44,1.67,2.07,1.21,1.26,1.94
AuNrdhTH,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,20/05/2026,15:00,Al-Khaleej,Al-Ahli,1.0,4.0,1.0,2.0,[17],"[8, 34, 50, 78]",5.8,4.2,1.57,5.6,2.3,2.1,1.14,4.8,1.57,2.25,2.4,1.5,1.8,1.95,2.47,1.22,1.16
2Tb9CDDb,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,20/05/2026,15:00,Al-Najma,Al-Shabab,1.0,0.0,1.0,0.0,[45],[],5.61,4.91,1.45,5.6,2.7,1.87,1.1,6.5,1.4,2.88,2.1,1.73,1.55,2.25,2.58,1.15,1.12
