liga,hora,home,away,link_confronto
EUA - Major League Soccer,20:30,Inter Miami,Seattle Sounders,https://redscores.com/pt-br/match/seattle-sounders-inter-miami/nVx3IBA
Bolívia - Liga De Futbol Prof,16:00,San Antonio Bulo Bulo,Oriente Petrolero,https://redscores.com/pt-br/match/oriente-petrolero-san-antonio-bulo-bulo/AGbxsSeA
Bolívia - Liga De Futbol Prof,18:30,Real Tomayapo,Guabirá,https://redscores.com/pt-br/match/guabira-real-tomayapo/AEBxDTdA
Bolívia - Liga De Futbol Prof,21:00,Real Oruro,Aurora,https://redscores.com/pt-br/match/aurora-real-oruro/H5BxmGfA
Brasil - Serie B,19:30,Atlético GO,Avaí,https://redscores.com/pt-br/match/avai-atletico-go/bWAxRhb
Brasil - Serie B,21:35,Chapecoense,Athletico PR,https://redscores.com/pt-br/match/chapecoense-athletico-pr/TFxi5
Colômbia - Liga BetPlay,20:00,América de Cali,Atlético Bucaramanga,https://redscores.com/pt-br/match/atletico-bucaramanga-america-de-cali/BGbx7Ob
Estônia - Meistriliiga,13:00,Tammeka,Vaprus,https://redscores.com/pt-br/match/vaprus-tammeka/1XxjEA
Peru - Primera Division,12:00,Universitario,Juan Pablo II College,https://redscores.com/pt-br/match/universitario-juan-pablo-ii-college/AgbxwyFA
Peru - Primera Division,17:00,ADT,UTC Cajamarca,https://redscores.com/pt-br/match/utc-cajamarca-adt/NcAxokBA
Peru - Primera Division,19:30,Los Chankas,Alianza Lima,https://redscores.com/pt-br/match/los-chankas-alianza-lima/g1Ax61b
Peru - Primera Division,19:30,Comerciantes Unidos,Sport Huancayo,https://redscores.com/pt-br/match/comerciantes-unidos-sport-huancayo/5hBx6lB
Suécia - Superettan,14:00,Helsingborg,Landskrona,https://redscores.com/pt-br/match/helsingborg-landskrona/XexbE
