liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,16:00,Leeds,West Ham,1.83,3.4,4.33,https://redscores.com/pt-br/match/west-ham-united-leeds-united/AxfA
Espanha - La Liga,16:00,Real Sociedad,Sevilla,2.0,3.4,3.75,https://redscores.com/pt-br/match/real-sociedad-sevilla/WExCF
Alemanha - Bundesliga,15:30,Werder Bremen,Union Berlin,2.25,3.6,3.1,https://redscores.com/pt-br/match/werder-bremen-fc-union-berlin/KAxvI
Itália - Serie A,15:45,Milan,Pisa,1.28,5.5,11.0,https://redscores.com/pt-br/match/milan-pisa/1AxRI
França - Ligue 1,15:45,Paris,Nantes,1.61,4.1,5.25,https://redscores.com/pt-br/match/nantes-paris/8x4gA
Países Baixos - Eredivisie,15:00,Heerenveen,NAC Breda,1.75,4.1,4.33,https://redscores.com/pt-br/match/nac-breda-sc-heerenveen/NfxiI
Portugal - Primeira Liga,16:15,Alverca,Gil Vicente,3.2,3.1,2.35,https://redscores.com/pt-br/match/gil-vicente-alverca/8Cx9tE
Turquia - Super Lig,14:00,Karagümrük,Kayserispor,2.15,3.6,3.1,https://redscores.com/pt-br/match/kayserispor-fatih-karagumruk/QfxMcA
EUA - Major League Soccer,21:00,Inter Miami,Nashville SC,1.57,4.33,5.25,https://redscores.com/pt-br/match/nashville-sc-inter-miami/AYTx3IBA
Bélgica - Pro League,15:45,Charleroi,Anderlecht,2.87,3.4,2.4,https://redscores.com/pt-br/match/sporting-charleroi-anderlecht/ZIx3U
Inglaterra - Championship,16:00,Preston,Sheffield Utd,2.7,3.1,2.7,https://redscores.com/pt-br/match/sheffield-united-preston-north-end/KxtA
Espanha - La Liga 2,15:30,Huesca,Las Palmas,2.87,2.87,2.7,https://redscores.com/pt-br/match/huesca-las-palmas/pcx3y
Itália - Serie B,15:30,Modena,Empoli,1.8,3.4,4.75,https://redscores.com/pt-br/match/empoli-modena/Pdxmi
Alemanha - 2. Bundesliga,13:30,Schalke,Darmstadt,2.1,3.6,3.2,https://redscores.com/pt-br/match/schalke-04-darmstadt-98/dAx4D
Alemanha - 2. Bundesliga,13:30,Fürth,Karlsruher,2.7,3.6,2.4,https://redscores.com/pt-br/match/karlsruher-sc-spvgg-greuther-furth/B0xH5
França - Ligue 2,15:00,Bastia,Laval,2.25,3.0,3.5,https://redscores.com/pt-br/match/bastia-laval/BDxhj
França - Ligue 2,15:00,Guingamp,Clermont,1.72,3.7,4.75,https://redscores.com/pt-br/match/guingamp-clermont/1yxC1A
França - Ligue 2,15:00,Pau,Dunkerque,2.1,3.5,3.3,https://redscores.com/pt-br/match/dunkerque-pau/aKxep
França - Ligue 2,15:00,Red Star,Grenoble,1.8,3.6,4.33,https://redscores.com/pt-br/match/red-star-grenoble-foot-38/XIxHJ
França - Ligue 2,15:00,Reims,Troyes,2.05,3.5,3.5,https://redscores.com/pt-br/match/reims-troyes/1ixq3A
França - Ligue 2,15:00,Le Mans,Boulogne,2.0,3.5,3.7,https://redscores.com/pt-br/match/boulogne-le-mans/7LxFCb
Países Baixos - Eerste Divisie,15:00,Helmond,Dordrecht,2.15,3.9,2.9,https://redscores.com/pt-br/match/fc-dordrecht-helmond-sport/OGxku
Países Baixos - Eerste Divisie,15:00,Waalwijk,Cambuur,2.9,3.8,2.2,https://redscores.com/pt-br/match/rkc-waalwijk-sc-cambuur/KGxqL
Países Baixos - Eerste Divisie,15:00,Jong Ajax,FC Emmen,3.0,4.0,2.1,https://redscores.com/pt-br/match/fc-emmen-jong-ajax/RuxtW
Países Baixos - Eerste Divisie,15:00,De Graafschap,Jong PSV,1.55,4.75,4.75,https://redscores.com/pt-br/match/de-graafschap-jong-psv/sIxVY
Países Baixos - Eerste Divisie,15:00,Eindhoven,Venlo,3.0,3.8,2.15,https://redscores.com/pt-br/match/fc-eindhoven-vvv-venlo/HCxaT
Países Baixos - Eerste Divisie,15:00,Almere City,Jong AZ,1.75,4.1,4.0,https://redscores.com/pt-br/match/almere-city-jong-az/pLxc0
Países Baixos - Eerste Divisie,15:00,Jong Utrecht,TOP Oss,2.5,3.7,2.55,https://redscores.com/pt-br/match/top-oss-jong-utrecht/vtxfW
Países Baixos - Eerste Divisie,15:00,Vitesse,Roda Kerkrade,3.1,3.6,2.15,https://redscores.com/pt-br/match/vitesse-roda-jc-kerkrade/QAxnt
Dinamarca - Superliga,14:00,AGF,Nordsjælland,1.8,3.8,4.1,https://redscores.com/pt-br/match/nordsjaelland-agf/HTxty
Argentina - Superliga,18:00,Independiente,Platense,2.1,3.0,4.2,https://redscores.com/pt-br/match/platense-independiente/hubxV4b
México - Liga MX,22:00,Juárez,Puebla,1.66,3.75,5.0,https://redscores.com/pt-br/match/puebla-juarez/dbAx1vA
China - Super League,08:35,Wuhan Three Towns,Shenzhen Peng City,2.2,3.5,3.1,https://redscores.com/pt-br/match/shenzhen-peng-city-wuhan-three-towns/k0cxMhbA
China - Super League,08:35,Meizhou Hakka,Yunnan Yukun,1.75,4.0,4.2,https://redscores.com/pt-br/match/meizhou-hakka-yunnan-yukun/OBBxUfFA
Albânia - Superliga,09:00,Vora,Dinamo Tirana,,,,https://redscores.com/pt-br/match/dinamo-tirana-vora/KmAxWmA
Albânia - Superliga,12:00,AF Elbasani,Bylis Ballsh,1.7,3.2,4.75,https://redscores.com/pt-br/match/bylis-ballsh-af-elbasani/QmAx5LfA
Albânia - Superliga,12:00,Vllaznia Shkodër,Tirana,1.3,4.2,9.5,https://redscores.com/pt-br/match/vllaznia-shkoder-tirana/imAxImA
