liga,hora,home,away,link_confronto
Brasil - Serie A,19:00,Palmeiras,Vasco da Gama,https://redscores.com/pt-br/match/vasco-da-gama-palmeiras/MFxd5
Brasil - Serie A,19:00,Sport Recife,Fluminense,https://redscores.com/pt-br/match/fluminense-sport-recife/7Ixrt
Brasil - Serie A,19:00,Mirassol,Bragantino,https://redscores.com/pt-br/match/bragantino-mirassol/adbxm9b
Brasil - Serie A,19:30,Internacional,Corinthians,https://redscores.com/pt-br/match/corinthians-internacional/8cxgw
Brasil - Serie A,21:30,Botafogo,Bahia,https://redscores.com/pt-br/match/bahia-botafogo/KFx7X
Brasil - Serie A,21:30,Santos,Grêmio,https://redscores.com/pt-br/match/gremio-santos/7yxm9
Noruega - Eliteserien,14:00,KFUM,Fredrikstad,https://redscores.com/pt-br/match/fredrikstad-kfum/RoxJgB
Inglaterra - National League,15:45,Carlisle,Hartlepool,https://redscores.com/pt-br/match/hartlepool-united-carlisle-united/CCxMC
Inglaterra - National League,15:45,Altrincham,Tamworth,https://redscores.com/pt-br/match/tamworth-altrincham/Vbxdj
Inglaterra - National League,15:45,Boston United,Forest Green,https://redscores.com/pt-br/match/forest-green-rovers-boston-united/4bxAB
Inglaterra - National League,15:45,Brackley Town,Wealdstone,https://redscores.com/pt-br/match/wealdstone-brackley-town/ecxkh
Inglaterra - National League,15:45,York City,Scunthorpe,https://redscores.com/pt-br/match/york-city-scunthorpe-united/PAxuA
Inglaterra - National League,15:45,Rochdale,Halifax Town,https://redscores.com/pt-br/match/rochdale-halifax-town/6BxUf
Lituânia - A Lyga,13:00,Hegelmann Litauen,Kauno Žalgiris,https://redscores.com/pt-br/match/kauno-zalgiris-hegelmann-litauen/GHxhBB
Lituânia - A Lyga,13:00,Panevėžys,Dainava,https://redscores.com/pt-br/match/panevezys-dainava/8fbxdmb
Peru - Primera Division,20:00,Alianza Atlético,Universitario,https://redscores.com/pt-br/match/universitario-alianza-atletico/Agbxj6B
Peru - Primera Division,22:30,Alianza Lima,Atlético Grau,https://redscores.com/pt-br/match/alianza-lima-atletico-grau/61bxiqu
