liga,hora,home,away,link_confronto
Brasil - Serie A,20:00,Bahia,Cruzeiro,https://redscores.com/pt-br/match/bahia-cruzeiro/KFxi4
Suécia - Allsvenskan,14:00,AIK,Brommapojkarna,https://redscores.com/pt-br/match/aik-brommapojkarna/JXx12
Suécia - Allsvenskan,14:10,Häcken,IFK Göteborg,https://redscores.com/pt-br/match/ifk-goteborg-hacken/wexrU
Argentina - Primera B Nacional,15:30,Agropecuario,Gimnasia Mendoza,https://redscores.com/pt-br/match/gimnasia-mendoza-agropecuario/h0Bx11B
Brasil - Serie B,19:00,Ferroviária,Novorizontino,https://redscores.com/pt-br/match/ferroviaria-novorizontino/cUxnVA
Brasil - Serie B,21:30,CRB,Amazonas,https://redscores.com/pt-br/match/crb-amazonas/NuAxvgBA
Equador - Liga Pro,21:00,Manta,Aucas,https://redscores.com/pt-br/match/aucas-manta/cGbxMfB
Islândia - Pepsideild,13:45,ÍA,Afturelding,https://redscores.com/pt-br/match/ia-afturelding/Ykxgzb
Islândia - Pepsideild,15:00,Breidablik,ÍBV,https://redscores.com/pt-br/match/ibv-breidablik/9Gxk1A
Japão - J-League,07:00,Tokyo,Tokyo Verdy,https://redscores.com/pt-br/match/tokyo-verdy-tokyo/Dwx9Y
Japão - J2-League,07:00,Roasso Kumamoto,Tokushima Vortis,https://redscores.com/pt-br/match/tokushima-vortis-roasso-kumamoto/rNAxSyc
Suécia - Superettan,14:00,Örgryte,Umeå,https://redscores.com/pt-br/match/orgryte-umea/upxMRA
