liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Espanha - La Liga,17:00,Betis,Atlético Madrid,3.1,3.7,2.2,https://redscores.com/pt-br/match/real-betis-atletico-madrid/7DxZeb
Portugal - Primeira Liga,17:15,Moreirense,Porto,9.5,5.75,1.28,https://redscores.com/pt-br/match/porto-moreirense/vfxYI
Turquia - Super Lig,14:00,Samsunspor,Rizespor,1.9,3.4,4.2,https://redscores.com/pt-br/match/rizespor-samsunspor/cIxCX
Turquia - Super Lig,14:00,Gaziantep,Fenerbahçe,4.5,4.2,1.65,https://redscores.com/pt-br/match/fenerbahce-gaziantep-fk/NAxwDA
EUA - Major League Soccer,19:45,Cincinnati,Columbus Crew,2.37,3.8,2.7,https://redscores.com/pt-br/match/columbus-crew-cincinnati/oExS8
EUA - Major League Soccer,22:00,Minnesota United,Seattle Sounders,,,,https://redscores.com/pt-br/match/seattle-sounders-minnesota-united/nVxu8
Inglaterra - League One,17:00,Port Vale,Stockport County,2.5,3.2,2.75,https://redscores.com/pt-br/match/stockport-county-port-vale/CcxVC
Dinamarca - Superliga,15:00,OB,Brøndby,4.0,3.6,1.9,https://redscores.com/pt-br/match/brondby-ob/zcxkO
Suécia - Allsvenskan,15:00,Brommapojkarna,GAIS,3.2,3.5,2.15,https://redscores.com/pt-br/match/gais-brommapojkarna/eOx12
Suécia - Allsvenskan,15:10,Malmö FF,Hammarby,2.2,3.4,3.2,https://redscores.com/pt-br/match/malmo-ff-hammarby/zCxRt
Finlândia - Veikkausliiga,13:00,SJK,KuPS,2.5,3.8,2.35,https://redscores.com/pt-br/match/sjk-kups/QGx2EA
Argentina - Superliga,16:00,Barracas Central,Boca Juniors,5.0,2.9,1.95,https://redscores.com/pt-br/match/boca-juniors-barracas-central/tEx3gb
Armênia - Premier League,12:00,Ararat,Noah,,,,https://redscores.com/pt-br/match/ararat-noah/BOAxlTR
Austrália - A-League,05:00,Macarthur,Adelaide United,2.35,3.7,2.8,https://redscores.com/pt-br/match/adelaide-united-macarthur/TYxHwdA
Brasil - Serie B,19:00,Chapecoense,Operário PR,1.95,3.1,4.33,https://redscores.com/pt-br/match/chapecoense-operario-pr/TFxE7B
Brasil - Serie B,21:30,Athletico PR,Amazonas,,,,https://redscores.com/pt-br/match/athletico-pr-amazonas/i5xvgBA
Chile - Primera Division,18:00,Colo-Colo,Deportes Limache,1.6,4.2,5.0,https://redscores.com/pt-br/match/colo-colo-deportes-limache/aebxbzW
Colômbia - Liga BetPlay,21:45,Deportivo Pasto,Deportivo Pereira,,,,https://redscores.com/pt-br/match/deportivo-pereira-deportivo-pasto/MGbxlNB
Croácia - 1. HNL,12:30,Rijeka,Osijek,1.85,3.4,3.9,https://redscores.com/pt-br/match/rijeka-osijek/B4x0Db
Croácia - 1. HNL,15:00,Vukovar,Dinamo Zagreb,9.5,6.0,1.22,https://redscores.com/pt-br/match/dinamo-zagreb-vukovar/BFxf9A
Egito - Premier League,11:00,Smouha,El Gounah,1.95,2.8,4.33,https://redscores.com/pt-br/match/smouha-el-gounah/mQbxBnc
Egito - Premier League,14:00,Al Ittihad,Wadi Degla,3.0,2.62,2.55,https://redscores.com/pt-br/match/wadi-degla-al-ittihad/v3AxSCb
Israel - Ligat ha'Al,15:00,Maccabi Tel Aviv,Ironi Kiryat Shmona,1.22,5.5,11.0,https://redscores.com/pt-br/match/maccabi-tel-aviv-ironi-kiryat-shmona/ezxD2A
Lituânia - A Lyga,14:00,Sūduva,Kauno Žalgiris,2.75,3.4,2.25,https://redscores.com/pt-br/match/kauno-zalgiris-suduva/GHxlRA
Lituânia - A Lyga,14:00,Dainava,Hegelmann Litauen,5.0,3.8,1.53,https://redscores.com/pt-br/match/dainava-hegelmann-litauen/dmbxhBB
Paraguai - Division 1,17:30,Sportivo Ameliano,General Caballero JLM,2.2,3.25,3.3,https://redscores.com/pt-br/match/general-caballero-jlm-sportivo-ameliano/pdbAx04bA
Paraguai - Division 1,20:00,Nacional Asunción,Cerro Porteño,3.4,3.25,2.0,https://redscores.com/pt-br/match/cerro-porteno-nacional-asuncion/24xB6
Polônia - Ekstraklasa,15:00,Radomiak Radom,Wisła Płock,2.3,3.3,3.2,https://redscores.com/pt-br/match/wisla-plock-radomiak-radom/QWxJ1
Romênia - Liga 1,12:30,Botoşani,Hermannstadt,2.05,3.3,3.7,https://redscores.com/pt-br/match/botosani-hermannstadt/L1x2LB
Romênia - Liga 1,15:30,Rapid Bucuresti,Unirea Slobozia,1.44,4.5,6.5,https://redscores.com/pt-br/match/rapid-bucuresti-unirea-slobozia/nCbxJFb
Bulgária - Parva Liga,12:30,CSKA 1948 Sofia,Ludogorets,3.8,3.3,2.0,https://redscores.com/pt-br/match/ludogorets-cska-1948-sofia/7wxFQR
