liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Brasil - Serie A,16:00,Juventude,Cruzeiro,4.33,3.75,1.8,https://redscores.com/pt-br/match/juventude-cruzeiro/Yxi4
Brasil - Serie A,18:00,Bahia,Fortaleza,1.5,4.5,6.0,https://redscores.com/pt-br/match/bahia-fortaleza/KFxl8
Brasil - Serie A,19:30,Corinthians,São Paulo,2.4,2.87,3.4,https://redscores.com/pt-br/match/corinthians-sao-paulo/8cxJ6
Brasil - Serie A,21:30,Ceará,Internacional,2.25,3.1,3.5,https://redscores.com/pt-br/match/internacional-ceara/gwxkIB
Inglaterra - League One,17:00,Peterborough,Stockport County,3.2,3.5,2.1,https://redscores.com/pt-br/match/stockport-county-peterborough-united/Ccxfc
Argélia - Ligue 1,10:00,Paradou AC,El Bayadh,1.65,3.1,5.75,https://redscores.com/pt-br/match/paradou-ac-el-bayadh/Zkcxbwt
Argélia - Ligue 1,12:00,Oued Akbou,USM Alger,,,,https://redscores.com/pt-br/match/usm-alger-oued-akbou/8CbxdOAA
Argélia - Ligue 1,12:00,JS Saoura,El Bayadh,,,,https://redscores.com/pt-br/match/js-saoura-el-bayadh/gKcxbwt
Argélia - Ligue 1,12:00,Mostaganem,Ben Aknoun,,,,https://redscores.com/pt-br/match/mostaganem-ben-aknoun/kKcxEwt
Argélia - Ligue 1,12:00,MC Oran,CR Belouizdad,,,,https://redscores.com/pt-br/match/cr-belouizdad-mc-oran/yZAxQrb
Argélia - Ligue 1,12:00,Paradou AC,MB Rouisset,,,,https://redscores.com/pt-br/match/paradou-ac-mb-rouisset/ZkcxwoM
Argélia - Ligue 1,12:00,JS Kabylie,ASO Chlef,,,,https://redscores.com/pt-br/match/aso-chlef-js-kabylie/baAxHRb
Argélia - Ligue 1,12:00,USM Khenchela,CS Constantine,,,,https://redscores.com/pt-br/match/cs-constantine-usm-khenchela/8MxUoM
Argélia - Ligue 1,12:00,MC Alger,ES Sétif,,,,https://redscores.com/pt-br/match/es-setif-mc-alger/Udxn2A
Argélia - Ligue 1,15:00,MC Oran,ES Sétif,1.57,3.2,6.25,https://redscores.com/pt-br/match/es-setif-mc-oran/UdxQrb
Dinamarca - First Division,14:30,Hobro,Hvidovre,3.0,3.5,2.2,https://redscores.com/pt-br/match/hobro-hvidovre/5Nx5Jb
Paraguai - Division 1,17:00,Sportivo Trinidense,Atlético Tembetary,1.48,3.6,6.25,https://redscores.com/pt-br/match/sportivo-trinidense-atletico-tembetary/Q7bx14bA
Paraguai - Division 1,19:30,Nacional Asunción,Sportivo Ameliano,1.85,3.2,4.0,https://redscores.com/pt-br/match/nacional-asuncion-sportivo-ameliano/B6x04bA
