liga,hora,home,away,link_confronto
Argentina - Superliga,14:30,San Lorenzo,San Martín San Juan,https://redscores.com/pt-br/match/san-lorenzo-san-martin-san-juan/qexSvb
Argentina - Superliga,16:15,Defensa y Justicia,Argentinos Juniors,https://redscores.com/pt-br/match/argentinos-juniors-defensa-y-justicia/t4xWrb
Argentina - Superliga,16:45,Central Cordoba,Unión Santa Fe,https://redscores.com/pt-br/match/union-santa-fe-central-cordoba/p6Ax9zB
Argentina - Superliga,18:30,Newell's Old Boys,Tigre,https://redscores.com/pt-br/match/newell-s-old-boys-tigre/qxbub
Brasil - Serie C,19:00,Caxias,Floresta,https://redscores.com/pt-br/match/caxias-floresta/HVbx8de
Brasil - Serie C,19:00,Ponte Preta,Guarani,https://redscores.com/pt-br/match/guarani-ponte-preta/g9xNBA
Brasil - Serie C,19:00,Londrina,São Bernardo,https://redscores.com/pt-br/match/sao-bernardo-londrina/3UAxPob
Brasil - Serie C,19:00,Náutico,Brusque,https://redscores.com/pt-br/match/brusque-nautico/KvAxjiB
Irlanda - Premier Division,16:00,Shamrock Rovers,Shelbourne,https://redscores.com/pt-br/match/shamrock-rovers-shelbourne/mBxgg
Paraguai - Division 1,17:30,Deportivo Recoleta,Olimpia,https://redscores.com/pt-br/match/olimpia-deportivo-recoleta/0FcxZ4bA
Paraguai - Division 1,20:00,Sportivo Trinidense,General Caballero JLM,https://redscores.com/pt-br/match/sportivo-trinidense-general-caballero-jlm/Q7bxpdbA
Uruguai - Primera Division,19:00,Plaza Colonia,Progreso,https://redscores.com/pt-br/match/progreso-plaza-colonia/PgbxRub
