liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Espanha - La Liga,17:00,Sevilla,Celta Vigo,2.75,3.25,2.62,https://redscores.com/pt-br/match/celta-de-vigo-sevilla/sxCF
Itália - Serie A,14:30,Genoa,Cagliari,2.05,3.0,4.33,https://redscores.com/pt-br/match/genoa-cagliari/UAxsE
Itália - Serie A,16:45,Juventus,Cremonese,1.22,6.5,13.0,https://redscores.com/pt-br/match/juventus-cremonese/Hfxy2b
Espanha - La Liga 2,16:30,Huesca,Córdoba,2.87,2.9,2.7,https://redscores.com/pt-br/match/huesca-cordoba/pcxiH
Países Baixos - Eerste Divisie,16:00,Jong AZ,Jong Ajax,1.75,4.2,4.0,https://redscores.com/pt-br/match/jong-ajax-jong-az/tWxc0
Países Baixos - Eerste Divisie,16:00,Jong PSV,TOP Oss,2.05,3.9,3.1,https://redscores.com/pt-br/match/top-oss-jong-psv/vtxVY
Arábia Saudita - Pro League,12:10,Al Hazm,Al Najma,1.72,3.4,4.1,https://redscores.com/pt-br/match/al-najma-al-hazm/0jBxcXc
Arábia Saudita - Pro League,14:30,Al Ettifaq,Al Khaleej,2.0,3.6,3.0,https://redscores.com/pt-br/match/al-ettifaq-al-khaleej/dvbxiIB
Arábia Saudita - Pro League,14:30,Al Hilal,Al Nassr,2.05,3.9,2.7,https://redscores.com/pt-br/match/al-nassr-al-hilal/CUx62A
