liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,11:00,Leeds,Aston Villa,2.9,3.3,2.5,https://redscores.com/pt-br/match/aston-villa-leeds-united/HxfA
Inglaterra - Premier League,13:30,Arsenal,Tottenham,1.42,4.75,7.5,https://redscores.com/pt-br/match/tottenham-hotspur-arsenal/dxJ
Espanha - La Liga,10:00,R. Oviedo,Rayo Vallecano,3.6,3.2,2.15,https://redscores.com/pt-br/match/real-oviedo-rayo-vallecano/qAxFd
Espanha - La Liga,12:15,Betis,Girona,1.53,4.33,5.75,https://redscores.com/pt-br/match/girona-real-betis/YBx7D
Espanha - La Liga,14:30,Getafe,Atlético Madrid,5.25,3.5,1.72,https://redscores.com/pt-br/match/getafe-atletico-madrid/WAxZeb
Espanha - La Liga,17:00,Elche,Real Madrid,7.0,5.25,1.38,https://redscores.com/pt-br/match/elche-real-madrid/Ajx15
Alemanha - Bundesliga,11:30,RB Leipzig,Werder Bremen,1.45,5.0,6.0,https://redscores.com/pt-br/match/werder-bremen-rb-leipzig/KAxQc
Alemanha - Bundesliga,13:30,St. Pauli,Union Berlin,2.55,3.2,2.87,https://redscores.com/pt-br/match/st-pauli-fc-union-berlin/YCxvI
Itália - Serie A,08:30,Hellas Verona,Parma,2.25,3.0,3.6,https://redscores.com/pt-br/match/parma-hellas-verona/qdxMj
Itália - Serie A,11:00,Cremonese,Roma,6.0,3.75,1.61,https://redscores.com/pt-br/match/roma-cremonese/Sxy2b
Itália - Serie A,14:00,Lazio,Lecce,1.65,3.6,5.75,https://redscores.com/pt-br/match/lazio-lecce/VxVCb
Itália - Serie A,16:45,Inter,Milan,2.0,3.4,3.7,https://redscores.com/pt-br/match/milan-inter/1AxbY
França - Ligue 1,11:00,Auxerre,Lyon,3.5,3.4,2.1,https://redscores.com/pt-br/match/olympique-lyonnais-auxerre/jAxl9
França - Ligue 1,13:15,Nantes,Lorient,2.65,3.4,2.6,https://redscores.com/pt-br/match/nantes-lorient/8xXOb
França - Ligue 1,13:15,Toulouse,Angers,1.66,3.6,5.5,https://redscores.com/pt-br/match/toulouse-angers-sco/Wcxwg
