liga,hora,home,away,link_confronto
Brasil - Serie A,16:00,Vasco da Gama,Vitória,https://redscores.com/pt-br/match/vasco-da-gama-vitoria/MFxm5
Brasil - Serie A,16:00,São Paulo,Palmeiras,https://redscores.com/pt-br/match/palmeiras-sao-paulo/d5xJ6
Brasil - Serie A,18:30,Bahia,Flamengo,https://redscores.com/pt-br/match/bahia-flamengo/KFxYi
Brasil - Serie A,18:30,Juventude,Fortaleza,https://redscores.com/pt-br/match/juventude-fortaleza/Yxl8
Brasil - Serie A,20:30,Cruzeiro,Sport Recife,https://redscores.com/pt-br/match/sport-recife-cruzeiro/rtxi4
Brasil - Serie A,20:30,Ceará,Santos,https://redscores.com/pt-br/match/santos-ceara/m9xkIB
EUA - Major League Soccer,19:00,Vancouver Whitecaps,SJ Earthquakes,https://redscores.com/pt-br/match/sj-earthquakes-vancouver-whitecaps/VcxYc
EUA - Major League Soccer,22:00,Los Angeles FC,Atlanta United,https://redscores.com/pt-br/match/atlanta-united-los-angeles-fc/X8x0UT
Noruega - Eliteserien,09:30,Viking,Brann,https://redscores.com/pt-br/match/viking-brann/iCxru
Noruega - Eliteserien,12:00,Strømsgodset,KFUM,https://redscores.com/pt-br/match/stromsgodset-kfum/eCxJgB
Noruega - Eliteserien,12:00,Fredrikstad,HamKam,https://redscores.com/pt-br/match/fredrikstad-hamkam/Rox9Jb
Noruega - Eliteserien,12:00,Bodø / Glimt,Haugesund,https://redscores.com/pt-br/match/haugesund-bodo-glimt/ncxKN
Noruega - Eliteserien,14:15,Rosenborg,Sarpsborg 08,https://redscores.com/pt-br/match/rosenborg-sarpsborg-08/3KxTv
Suécia - Allsvenskan,09:00,IFK Göteborg,Hammarby,https://redscores.com/pt-br/match/ifk-goteborg-hammarby/wexRt
Suécia - Allsvenskan,09:00,AIK,Värnamo,https://redscores.com/pt-br/match/aik-varnamo/JXxJyA
Suécia - Allsvenskan,11:30,Brommapojkarna,Häcken,https://redscores.com/pt-br/match/hacken-brommapojkarna/rUx12
Suécia - Allsvenskan,11:30,Sirius,Malmö FF,https://redscores.com/pt-br/match/malmo-ff-sirius/zCx4V
Argentina - Superliga,14:30,Godoy Cruz,Independiente,https://redscores.com/pt-br/match/independiente-godoy-cruz/V4bxD7b
Argentina - Superliga,16:30,Estudiantes,Barracas Central,https://redscores.com/pt-br/match/barracas-central-estudiantes/3gbxbPb
Argentina - Superliga,16:45,Talleres Córdoba,Belgrano,https://redscores.com/pt-br/match/belgrano-talleres-cordoba/7ZAx5Ub
Argentina - Superliga,19:00,Boca Juniors,Newell's Old Boys,https://redscores.com/pt-br/match/newell-s-old-boys-boca-juniors/qxtE
Argentina - Superliga,21:15,Rosario Central,River Plate,https://redscores.com/pt-br/match/rosario-central-river-plate/f4x8Ub
Argentina - Primera B Nacional,15:30,Temperley,Nueva Chicago,https://redscores.com/pt-br/match/temperley-nueva-chicago/lvbxaPB
Argentina - Primera B Nacional,15:30,Atletico Mitre,Estudiantes Caseros,https://redscores.com/pt-br/match/estudiantes-caseros-atletico-mitre/bvbxb1B
Argentina - Primera B Nacional,15:30,Agropecuario,San Telmo,https://redscores.com/pt-br/match/agropecuario-san-telmo/11BxA5B
Argentina - Primera B Nacional,15:30,Central Norte,Estudiantes Río Cuarto,https://redscores.com/pt-br/match/estudiantes-rio-cuarto-central-norte/yiBx5VB
Argentina - Primera B Nacional,15:30,Almirante Brown,Talleres Remedios,https://redscores.com/pt-br/match/talleres-remedios-almirante-brown/zCAxlMB
Argentina - Primera B Nacional,15:30,Gimnasia Mendoza,Defensores de Belgrano,https://redscores.com/pt-br/match/defensores-de-belgrano-gimnasia-mendoza/f0xh0B
Argentina - Primera B Nacional,15:30,Colón,Defensores Unidos,https://redscores.com/pt-br/match/colon-defensores-unidos/nBAxT5B
Argentina - Primera B Nacional,15:30,Gimnasia Jujuy,Chacarita Juniors,https://redscores.com/pt-br/match/gimnasia-jujuy-chacarita-juniors/Nobxa7b
Argentina - Primera B Nacional,15:30,Chaco For Ever,Deportivo Morón,https://redscores.com/pt-br/match/chaco-for-ever-deportivo-moron/3ubxE5B
Brasil - Serie B,16:00,Operário PR,Remo,https://redscores.com/pt-br/match/remo-operario-pr/KdBxE7B
Brasil - Serie B,20:30,Atlético GO,Athletico PR,https://redscores.com/pt-br/match/athletico-pr-atletico-go/i5xRhb
Colômbia - Liga BetPlay,17:00,Deportivo Pasto,Alianza Petrolera,https://redscores.com/pt-br/match/deportivo-pasto-alianza-petrolera/lNBxLNB
Colômbia - Liga BetPlay,19:15,Junior FC,Deportes Tolima,https://redscores.com/pt-br/match/junior-fc-deportes-tolima/WCbxIWb
Colômbia - Liga BetPlay,21:30,Boyacá Chicó,Atlético Nacional,https://redscores.com/pt-br/match/atletico-nacional-boyaca-chico/EyAxs5B
Coréia do Sul - K-League 1,02:00,Pohang Steelers,Daejeon Citizen,https://redscores.com/pt-br/match/pohang-steelers-daejeon-citizen/vmx1PA
Coréia do Sul - K-League 1,02:00,Sangju Sangmu,Ulsan,https://redscores.com/pt-br/match/sangju-sangmu-ulsan/7bAxwrA
Coréia do Sul - K-League 1,04:30,Suwon,Seoul,https://redscores.com/pt-br/match/seoul-suwon/AFxZh
Coréia do Sul - K-League 1,04:30,Gangwon,Anyang,https://redscores.com/pt-br/match/gangwon-anyang/h7AxUEb
Coréia do Sul - K League 2,02:00,Jeonnam Dragons,Cheonan City,https://redscores.com/pt-br/match/jeonnam-dragons-cheonan-city/UebxdYc
Coréia do Sul - K League 2,04:30,Busan I'Park,Gyeongnam,https://redscores.com/pt-br/match/busan-i-park-gyeongnam/dwx2eb
Equador - Liga Pro,14:00,Macará,Aucas,https://redscores.com/pt-br/match/aucas-macara/cGbxJkB
Equador - Liga Pro,16:30,Libertad,Orense,https://redscores.com/pt-br/match/orense-libertad/tGuxJDEA
Equador - Liga Pro,19:30,Barcelona Guayaquil,Independiente del Valle,https://redscores.com/pt-br/match/barcelona-guayaquil-independiente-del-valle/WDx55B
Estônia - Meistriliiga,08:30,Levadia,Tammeka,https://redscores.com/pt-br/match/tammeka-levadia/jEAxeFA
Estônia - Meistriliiga,10:30,Nõmme Kalju,Vaprus,https://redscores.com/pt-br/match/vaprus-nomme-kalju/1XxwXA
Irlanda - Premier Division,12:00,Derry City,Sligo Rovers,https://redscores.com/pt-br/match/sligo-rovers-derry-city/5hx9I
Irlanda - Premier Division,12:00,Waterford United,Drogheda United,https://redscores.com/pt-br/match/drogheda-united-waterford-united/3jxWl
Islândia - Pepsideild,11:00,KA,Vestri,https://redscores.com/pt-br/match/ka-vestri/C8AxmIb
Islândia - Pepsideild,16:15,Víkingur Reykjavík,FH,https://redscores.com/pt-br/match/vikingur-reykjavik-fh/cwxZYb
Islândia - Pepsideild,16:15,Breidablik,Fram,https://redscores.com/pt-br/match/fram-breidablik/aRAxk1A
Japão - J-League,03:00,Kashima Antlers,Gamba Osaka,https://redscores.com/pt-br/match/kashima-antlers-gamba-osaka/p9x27B
Japão - J2-League,02:00,Renofa Yamaguchi,Sagan Tosu,https://redscores.com/pt-br/match/sagan-tosu-renofa-yamaguchi/Ofxu6B
Japão - J2-League,02:00,Tokushima Vortis,Imabari,https://redscores.com/pt-br/match/tokushima-vortis-imabari/rNAxmIc
Japão - J2-League,02:00,Blaublitz Akita,Oita Trinita,https://redscores.com/pt-br/match/oita-trinita-blaublitz-akita/V7Bxm4c
Japão - J2-League,03:00,Roasso Kumamoto,Iwaki,https://redscores.com/pt-br/match/roasso-kumamoto-iwaki/SycxsjI
Japão - J2-League,04:00,Ehime,Mito Hollyhock,https://redscores.com/pt-br/match/ehime-mito-hollyhock/tycx4yc
Lituânia - A Lyga,10:00,Džiugas Telšiai,Žalgiris,https://redscores.com/pt-br/match/zalgiris-dziugas-telsiai/Mix10
Lituânia - A Lyga,12:25,FA Šiauliai,Panevėžys,https://redscores.com/pt-br/match/panevezys-fa-siauliai/8fbx2wbA
Lituânia - A Lyga,13:30,Hegelmann Litauen,Banga,https://redscores.com/pt-br/match/banga-hegelmann-litauen/yFbxhBB
Noruega - Obos-Ligaen,12:00,Stabæk,Odd,https://redscores.com/pt-br/match/stabaek-odd/6DxHH
Noruega - Obos-Ligaen,12:00,Lyn,Moss,https://redscores.com/pt-br/match/moss-lyn/GkxYFB
Peru - Primera Division,14:00,Alianza Universidad,Alianza Lima,https://redscores.com/pt-br/match/alianza-universidad-alianza-lima/yrbx61b
Peru - Primera Division,17:00,Atlético Grau,Melgar,https://redscores.com/pt-br/match/melgar-atletico-grau/MBxiqu
Peru - Primera Division,19:30,Deportivo Garcilaso,Alianza Atlético,https://redscores.com/pt-br/match/alianza-atletico-deportivo-garcilaso/j6BxChc
Peru - Primera Division,20:00,Universitario,Juan Pablo II College,https://redscores.com/pt-br/match/universitario-juan-pablo-ii-college/AgbxwyFA
Suécia - Superettan,08:00,Oddevold,Utsikten,https://redscores.com/pt-br/match/utsikten-oddevold/nUxPlb
Suécia - Superettan,10:00,Trelleborg,GIF Sundsvall,https://redscores.com/pt-br/match/trelleborg-gif-sundsvall/KYxOob
Suécia - Superettan,10:00,Örebro,Falkenberg,https://redscores.com/pt-br/match/orebro-falkenberg/7Kx50
Uruguai - Primera Division,10:30,Progreso,Cerro,https://redscores.com/pt-br/match/cerro-progreso/m4xPgb
Uruguai - Primera Division,15:30,Racing,Plaza Colonia,https://redscores.com/pt-br/match/racing-plaza-colonia/kPAxRub
Uruguai - Primera Division,18:00,Peñarol,Danubio,https://redscores.com/pt-br/match/penarol-danubio/w3xL5
Venezuela - Primera Division,16:30,Estudiantes Mérida,Yaracuyanos,https://redscores.com/pt-br/match/estudiantes-merida-yaracuyanos/FFbxrCc
Venezuela - Primera Division,16:30,Academia Anzoátegui,Monagas,https://redscores.com/pt-br/match/monagas-academia-anzoategui/vvbxDEEA
Venezuela - Primera Division,16:30,Caracas,UCV,https://redscores.com/pt-br/match/caracas-ucv/QjBxYBc
Venezuela - Primera Division,16:30,Portuguesa,Academia Puerto Cabello,https://redscores.com/pt-br/match/portuguesa-academia-puerto-cabello/hIcxGjc
Venezuela - Primera Division,16:30,Rayo Zuliano,Metropolitanos,https://redscores.com/pt-br/match/metropolitanos-rayo-zuliano/mBBxl7DA
