liga,hora,home,away,link_confronto
Finlândia - Veikkausliiga,12:00,KuPS,SJK,https://redscores.com/pt-br/match/sjk-kups/QGx2EA
Finlândia - Veikkausliiga,12:00,Ilves,Gnistan,https://redscores.com/pt-br/match/ilves-gnistan/4vxenb
Finlândia - Veikkausliiga,13:00,Inter Turku,HJK,https://redscores.com/pt-br/match/hjk-inter-turku/2FxJN
Bolívia - Liga De Futbol Prof,16:00,Oriente Petrolero,Independiente Petrolero,https://redscores.com/pt-br/match/oriente-petrolero-independiente-petrolero/AGbx8tdA
Brasil - Serie B,19:30,Paysandu,Novorizontino,https://redscores.com/pt-br/match/paysandu-novorizontino/A6xnVA
Brasil - Serie B,21:35,Ferroviária,Goiás,https://redscores.com/pt-br/match/ferroviaria-goias/cUx0pb
Inglaterra - National League,15:45,Woking,Sutton,https://redscores.com/pt-br/match/sutton-united-woking/BCxrd
Inglaterra - National League,15:45,Altrincham,Forest Green,https://redscores.com/pt-br/match/forest-green-rovers-altrincham/4bxdj
Inglaterra - National League,15:45,Rochdale,Solihull Moors,https://redscores.com/pt-br/match/rochdale-solihull-moors/6Bx3i
Inglaterra - National League,15:45,York City,Carlisle,https://redscores.com/pt-br/match/york-city-carlisle-united/PAxMC
Inglaterra - National League,15:45,Brackley Town,Truro City,https://redscores.com/pt-br/match/truro-city-brackley-town/fbxkh
Inglaterra - National League,15:45,Gateshead,Hartlepool,https://redscores.com/pt-br/match/hartlepool-united-gateshead/CCxJC
Japão - J-League,02:00,Albirex Niigata,Nagoya Grampus,https://redscores.com/pt-br/match/albirex-niigata-nagoya-grampus/e8xHKb
Japão - J-League,06:00,Kashima Antlers,Cerezo Osaka,https://redscores.com/pt-br/match/cerezo-osaka-kashima-antlers/R8xp9
Japão - J-League,06:00,Fagiano Okayama,Yokohama,https://redscores.com/pt-br/match/yokohama-fagiano-okayama/bUx8RA
Japão - J-League,06:00,Tokyo,Avispa Fukuoka,https://redscores.com/pt-br/match/avispa-fukuoka-tokyo/Hyx9Y
Japão - J-League,06:00,Shimizu S-Pulse,Urawa Reds,https://redscores.com/pt-br/match/urawa-reds-shimizu-s-pulse/scxB9
Japão - J-League,07:00,Gamba Osaka,Yokohama F. Marinos,https://redscores.com/pt-br/match/yokohama-f-marinos-gamba-osaka/FWx27B
Japão - J-League,07:00,Kyoto Sanga,Machida Zelvia,https://redscores.com/pt-br/match/kyoto-sanga-machida-zelvia/q6xpob
Japão - J-League,07:00,Vissel Kobe,Tokyo Verdy,https://redscores.com/pt-br/match/tokyo-verdy-vissel-kobe/DwxmbA
Japão - J-League,07:00,Kashiwa Reysol,Sanfrecce Hiroshima,https://redscores.com/pt-br/match/kashiwa-reysol-sanfrecce-hiroshima/3cxS7B
Japão - J-League,07:00,Shonan Bellmare,Kawasaki Frontale,https://redscores.com/pt-br/match/shonan-bellmare-kawasaki-frontale/GuxPBA
