liga,hora,home,away,link_confronto
EUA - Major League Soccer,2',Seattle Sounders,Real Salt Lake,https://redscores.com/pt-br/match/real-salt-lake-seattle-sounders/MIxnV
EUA - Major League Soccer,20:00,Austin,Los Angeles FC,https://redscores.com/pt-br/match/los-angeles-fc-austin/0UTxXjDA
Argentina - Superliga,14:30,Aldosivi,Huracán,https://redscores.com/pt-br/match/huracan-aldosivi/o0x2Tb
Argentina - Superliga,16:45,Independiente Rivadavia,Godoy Cruz,https://redscores.com/pt-br/match/independiente-rivadavia-godoy-cruz/JGxD7b
Argentina - Superliga,16:45,Instituto,Atlético Tucumán,https://redscores.com/pt-br/match/instituto-atletico-tucuman/8ubxa2b
Argentina - Superliga,19:15,River Plate,Sarmiento,https://redscores.com/pt-br/match/sarmiento-river-plate/zubx8Ub
Argentina - Superliga,21:15,Independiente,Lanús,https://redscores.com/pt-br/match/lanus-independiente/6TbxV4b
Argentina - Primera B Nacional,15:00,Gimnasia Jujuy,San Miguel,https://redscores.com/pt-br/match/gimnasia-jujuy-san-miguel/NobxQ5B
Argentina - Primera B Nacional,17:10,Estudiantes Caseros,Deportivo Maipú,https://redscores.com/pt-br/match/estudiantes-caseros-deportivo-maipu/bvbxlQB
Argentina - Primera B Nacional,19:00,Tristán Suárez,Agropecuario,https://redscores.com/pt-br/match/agropecuario-tristan-suarez/11Bxa5B
Argentina - Primera B Nacional,19:10,Estudiantes Río Cuarto,Patronato,https://redscores.com/pt-br/match/patronato-estudiantes-rio-cuarto/H2AxyiB
Argentina - Primera B Nacional,21:15,Deportivo Morón,San Martín Tucumán,https://redscores.com/pt-br/match/san-martin-tucuman-deportivo-moron/pubxE5B
Brasil - Serie B,16:00,Novorizontino,Operário PR,https://redscores.com/pt-br/match/novorizontino-operario-pr/nVAxE7B
Brasil - Serie B,18:30,Criciúma,América Mineiro,https://redscores.com/pt-br/match/criciuma-america-mineiro/7SAxvvA
Brasil - Serie B,18:30,Vila Nova,Amazonas,https://redscores.com/pt-br/match/vila-nova-amazonas/XgBxvgBA
Brasil - Serie B,20:30,Cuiabá,Coritiba,https://redscores.com/pt-br/match/cuiaba-coritiba/roAxbvA
Chile - Primera Division,12:00,Unión Española,Huachipato,https://redscores.com/pt-br/match/union-espanola-huachipato/fXbx4bc
Colômbia - Liga BetPlay,16:00,Santa Fe,Llaneros,https://redscores.com/pt-br/match/santa-fe-llaneros/AlBxMcc
Colômbia - Liga BetPlay,18:10,Alianza Petrolera,Junior FC,https://redscores.com/pt-br/match/junior-fc-alianza-petrolera/WCbxLNB
Colômbia - Liga BetPlay,20:20,Atlético Bucaramanga,Unión Magdalena,https://redscores.com/pt-br/match/atletico-bucaramanga-union-magdalena/BGbxfAB
Colômbia - Liga BetPlay,22:30,Rionegro Águilas,Deportivo Pasto,https://redscores.com/pt-br/match/rionegro-aguilas-deportivo-pasto/ZbxlNB
Coréia do Sul - K League 2,02:00,Suwon Bluewings,Cheonan City,https://redscores.com/pt-br/match/suwon-bluewings-cheonan-city/YtxdYc
Coréia do Sul - K League 2,02:00,Busan I'Park,Bucheon 1995,https://redscores.com/pt-br/match/busan-i-park-bucheon-1995/dwxU8A
Coréia do Sul - K League 2,02:00,Jeonnam Dragons,Ansan Greeners,https://redscores.com/pt-br/match/ansan-greeners-jeonnam-dragons/uuAxUeb
Coréia do Sul - K League 2,04:30,Seongnam,Incheon United,https://redscores.com/pt-br/match/seongnam-incheon-united/d8xO1A
Coréia do Sul - K League 2,04:30,Chungnam Asan,Gyeongnam,https://redscores.com/pt-br/match/gyeongnam-chungnam-asan/2ebxaYc
Paraguai - Division 1,17:30,Sportivo Ameliano,Guaraní,https://redscores.com/pt-br/match/guarani-sportivo-ameliano/ZFcx04bA
Paraguai - Division 1,20:00,Nacional Asunción,Sportivo Luqueño,https://redscores.com/pt-br/match/nacional-asuncion-sportivo-luqueno/B6xPpA
Peru - Primera Division,15:00,Ayacucho,ADT,https://redscores.com/pt-br/match/ayacucho-adt/6VBxokBA
Peru - Primera Division,17:30,Alianza Atlético,Los Chankas,https://redscores.com/pt-br/match/los-chankas-alianza-atletico/g1Axj6B
Peru - Primera Division,20:00,Cusco FC,Comerciantes Unidos,https://redscores.com/pt-br/match/cusco-fc-comerciantes-unidos/66bx5hB
Uruguai - Primera Division,10:30,Torque,Wanderers,https://redscores.com/pt-br/match/wanderers-torque/ODxZoA
Uruguai - Primera Division,13:00,Juventud,River Plate,https://redscores.com/pt-br/match/river-plate-juventud/PXxCpb
Uruguai - Primera Division,16:00,Danubio,Nacional,https://redscores.com/pt-br/match/nacional-danubio/RGxL5
