liga,hora,home,away,link_confronto
Brasil - Serie A,11:00,Grêmio,Vitória,https://redscores.com/pt-br/match/gremio-vitoria/7yxm5
Brasil - Serie A,16:00,Fluminense,Botafogo,https://redscores.com/pt-br/match/fluminense-botafogo/7Ix7X
Brasil - Serie A,16:00,Bahia,Palmeiras,https://redscores.com/pt-br/match/bahia-palmeiras/KFxd5
Brasil - Serie A,18:30,Bragantino,Santos,https://redscores.com/pt-br/match/santos-bragantino/m9xadb
Brasil - Serie A,20:30,Corinthians,Flamengo,https://redscores.com/pt-br/match/corinthians-flamengo/8cxYi
EUA - Major League Soccer,20:00,Cincinnati,Orlando City,https://redscores.com/pt-br/match/orlando-city-cincinnati/KBxS8
Noruega - Eliteserien,09:30,Brann,Fredrikstad,https://redscores.com/pt-br/match/fredrikstad-brann/Roxru
Noruega - Eliteserien,12:00,HamKam,Rosenborg,https://redscores.com/pt-br/match/rosenborg-hamkam/3Kx9Jb
Noruega - Eliteserien,12:00,Tromsø,Strømsgodset,https://redscores.com/pt-br/match/stromsgodset-tromso/eCxw6A
Noruega - Eliteserien,12:00,Bryne,Kristiansund,https://redscores.com/pt-br/match/kristiansund-bryne/Hhx1Kb
Noruega - Eliteserien,14:15,Molde,Vålerenga,https://redscores.com/pt-br/match/molde-valerenga/Xcxhe
Suécia - Allsvenskan,09:00,Brommapojkarna,Mjällby,https://redscores.com/pt-br/match/mjallby-brommapojkarna/Wdx12
Suécia - Allsvenskan,09:00,Halmstad,Hammarby,https://redscores.com/pt-br/match/halmstad-hammarby/zFxRt
Suécia - Allsvenskan,11:30,Malmö FF,Värnamo,https://redscores.com/pt-br/match/malmo-ff-varnamo/zCxJyA
Suécia - Allsvenskan,11:30,AIK,GAIS,https://redscores.com/pt-br/match/gais-aik/eOxJX
Finlândia - Veikkausliiga,10:00,Jaro,Mariehamn,https://redscores.com/pt-br/match/mariehamn-jaro/6Gxbbb
Argentina - Superliga,15:15,Racing Club,Independiente,https://redscores.com/pt-br/match/racing-club-independiente/E8xV4b
Argentina - Superliga,18:00,River Plate,Deportivo Riestra,https://redscores.com/pt-br/match/river-plate-deportivo-riestra/8Ubx94B
Argentina - Superliga,19:30,Independiente Rivadavia,Huracán,https://redscores.com/pt-br/match/independiente-rivadavia-huracan/JGxo0
Argentina - Superliga,20:15,Instituto,Lanús,https://redscores.com/pt-br/match/lanus-instituto/6Tbx8ub
