liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Brasil - Serie A,19:00,Vitória,Internacional,2.37,3.2,3.1,https://redscores.com/pt-br/match/internacional-vitoria/gwxm5
Brasil - Serie A,19:00,Sport Recife,Juventude,1.7,3.8,5.0,https://redscores.com/pt-br/match/juventude-sport-recife/Yxrt
Brasil - Serie A,19:00,Bragantino,Corinthians,2.62,3.25,2.75,https://redscores.com/pt-br/match/corinthians-bragantino/8cxadb
Brasil - Serie A,19:30,Botafogo,Vasco da Gama,1.85,3.5,4.33,https://redscores.com/pt-br/match/vasco-da-gama-botafogo/MFx7X
Brasil - Serie A,20:00,Atlético Mineiro,Bahia,2.15,3.25,3.5,https://redscores.com/pt-br/match/bahia-atletico-mineiro/KFxF5
Brasil - Serie A,20:00,Grêmio,Cruzeiro,3.2,3.2,2.3,https://redscores.com/pt-br/match/gremio-cruzeiro/7yxi4
Brasil - Serie A,21:30,São Paulo,Flamengo,,,,https://redscores.com/pt-br/match/flamengo-sao-paulo/YixJ6
Inglaterra - Championship,16:45,Preston,Swansea,2.25,3.1,3.4,https://redscores.com/pt-br/match/swansea-city-preston-north-end/pxtA
Inglaterra - Championship,16:45,Sheffield Wed,Norwich,3.1,3.4,2.25,https://redscores.com/pt-br/match/norwich-city-sheffield-wednesday/Qx5
Inglaterra - Championship,16:45,QPR,Southampton,2.8,3.25,2.5,https://redscores.com/pt-br/match/queens-park-rangers-southampton/yxcA
Inglaterra - Championship,17:00,Portsmouth,Wrexham,2.55,3.1,2.87,https://redscores.com/pt-br/match/portsmouth-wrexham/CxTc
Espanha - La Liga 2,16:00,R. Sociedad II,Huesca,2.9,3.1,2.5,https://redscores.com/pt-br/match/huesca-real-sociedad-ii/pcxjsb
África do Sul - Premier League,14:30,Mamelodi Sundowns,TS Galaxy,1.3,4.5,9.0,https://redscores.com/pt-br/match/mamelodi-sundowns-ts-galaxy/WzAxjoaA
África do Sul - Premier League,14:30,Golden Arrows,Orlando Pirates,5.5,3.4,1.6,https://redscores.com/pt-br/match/golden-arrows-orlando-pirates/pMxIUb
África do Sul - Premier League,14:30,Durban City,Marumo Gallants FC,2.1,2.87,3.7,https://redscores.com/pt-br/match/marumo-gallants-fc-durban-city/URtxOugA
África do Sul - Premier League,14:30,Stellenbosch,Siwelele,1.7,3.25,5.0,https://redscores.com/pt-br/match/stellenbosch-siwelele/2ZxYqGA
Inglaterra - National League,16:45,Solihull Moors,Truro City,2.55,3.3,2.45,https://redscores.com/pt-br/match/truro-city-solihull-moors/fbx3i
Inglaterra - National League,16:45,Woking,Southend United,4.1,3.5,1.8,https://redscores.com/pt-br/match/southend-united-woking/2Axrd
Inglaterra - National League,16:45,Braintree Town,Brackley Town,2.5,3.1,2.62,https://redscores.com/pt-br/match/brackley-town-braintree-town/khxRH
Inglaterra - National League,16:45,Sutton,Eastleigh,2.2,3.3,3.0,https://redscores.com/pt-br/match/eastleigh-sutton-united/NBxBC
Inglaterra - National League,16:45,York City,Gateshead,1.27,6.0,7.0,https://redscores.com/pt-br/match/york-city-gateshead/PAxJC
Inglaterra - National League,16:45,Altrincham,Boston United,1.85,3.5,3.7,https://redscores.com/pt-br/match/boston-united-altrincham/ABxdj
Peru - Primera Division,17:15,Los Chankas,Alianza Lima,3.4,3.25,2.05,https://redscores.com/pt-br/match/los-chankas-alianza-lima/g1Ax61b
Sérvia - Super Liga,13:00,Javor Ivanjica,Partizan,7.0,3.9,1.38,https://redscores.com/pt-br/match/javor-ivanjica-partizan/Lwx1w
Venezuela - Primera Division,20:30,Caracas,Deportivo Táchira,3.1,3.0,2.2,https://redscores.com/pt-br/match/deportivo-tachira-caracas/QHbxQjB
Venezuela - Primera Division,20:30,Metropolitanos,Carabobo,3.5,3.1,1.95,https://redscores.com/pt-br/match/carabobo-metropolitanos/1cbxmBB
