liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,17:00,Leeds,Nottingham,2.2,3.3,3.4,https://redscores.com/pt-br/match/nottingham-forest-leeds-united/bAxfA
Espanha - La Liga,17:00,Celta Vigo,Osasuna,1.95,3.3,4.2,https://redscores.com/pt-br/match/celta-de-vigo-osasuna/sxqD
Alemanha - Bundesliga,16:30,Union Berlin,Frankfurt,2.15,3.4,3.4,https://redscores.com/pt-br/match/eintracht-frankfurt-fc-union-berlin/adxvI
Itália - Serie A,16:45,Hellas Verona,Pisa,2.3,3.0,3.5,https://redscores.com/pt-br/match/pisa-hellas-verona/RIxMj
França - Ligue 1,16:45,Metz,LOSC Lille,5.0,4.1,1.65,https://redscores.com/pt-br/match/losc-lille-metz/JFxs6
Países Baixos - Eredivisie,16:00,NAC Breda,Excelsior,1.75,3.8,4.33,https://redscores.com/pt-br/match/nac-breda-excelsior/NfxCN
Bélgica - Pro League,16:45,Westerlo,St. Truiden,2.45,3.5,2.55,https://redscores.com/pt-br/match/sint-truiden-westerlo/ZCx1C
Inglaterra - Championship,17:01,Charlton,QPR,2.87,3.0,2.62,https://redscores.com/pt-br/match/charlton-athletic-queens-park-rangers/cxy
Espanha - La Liga 2,16:30,Leganés,Granada,2.25,3.0,3.5,https://redscores.com/pt-br/match/granada-leganes/vAx0G
Itália - Serie B,16:30,Cesena,Pescara,1.72,3.8,4.5,https://redscores.com/pt-br/match/cesena-pescara/hkxAl
Alemanha - 2. Bundesliga,14:30,Fürth,Magdeburg,4.1,3.8,1.8,https://redscores.com/pt-br/match/spvgg-greuther-furth-magdeburg/H5xZ6
Alemanha - 2. Bundesliga,14:30,Preußen Münster,Bochum,2.62,3.4,2.55,https://redscores.com/pt-br/match/vfl-bochum-1848-preusen-munster/LixY8
França - Ligue 2,16:00,Red Star,Pau,2.25,3.0,3.0,https://redscores.com/pt-br/match/red-star-pau/XIxep
França - Ligue 2,16:00,Annecy,Grenoble,1.8,3.1,4.2,https://redscores.com/pt-br/match/grenoble-foot-38-annecy/HJxwL
França - Ligue 2,16:00,Dunkerque,Guingamp,2.05,3.0,3.3,https://redscores.com/pt-br/match/dunkerque-guingamp/aKx1y
França - Ligue 2,16:00,Reims,Bastia,1.61,3.3,5.25,https://redscores.com/pt-br/match/bastia-reims/BDx1i
França - Ligue 2,16:00,Boulogne,Rodez,2.2,3.1,2.9,https://redscores.com/pt-br/match/boulogne-rodez/7LxJpb
Países Baixos - Eerste Divisie,16:00,De Graafschap,Jong Ajax,1.44,5.25,5.5,https://redscores.com/pt-br/match/de-graafschap-jong-ajax/sIxtW
Países Baixos - Eerste Divisie,16:00,FC Emmen,Jong Utrecht,2.15,4.0,3.0,https://redscores.com/pt-br/match/fc-emmen-jong-utrecht/RuxfW
Países Baixos - Eerste Divisie,16:00,Helmond,Den Bosch,2.6,3.6,2.5,https://redscores.com/pt-br/match/fc-den-bosch-helmond-sport/dTxku
Países Baixos - Eerste Divisie,16:00,Maastricht,Jong PSV,2.75,3.8,2.25,https://redscores.com/pt-br/match/mvv-maastricht-jong-psv/LoxVY
Países Baixos - Eerste Divisie,16:00,Roda Kerkrade,Den Haag,3.25,3.7,2.05,https://redscores.com/pt-br/match/ado-den-haag-roda-jc-kerkrade/pjxnt
Países Baixos - Eerste Divisie,16:00,Cambuur,Almere City,,,,https://redscores.com/pt-br/match/almere-city-sc-cambuur/pLxqL
Países Baixos - Eerste Divisie,16:00,TOP Oss,Vitesse,2.87,3.6,2.3,https://redscores.com/pt-br/match/vitesse-top-oss/QAxvt
Áustria - Tipico Bundesliga,16:30,Salzburg,Austria Wien,1.66,4.0,4.75,https://redscores.com/pt-br/match/salzburg-austria-wien/zxP8
Dinamarca - Superliga,15:00,AGF,OB,1.55,4.1,5.75,https://redscores.com/pt-br/match/ob-agf/kOxty
Argentina - Superliga,21:00,Central Cordoba,Unión Santa Fe,3.1,2.87,2.62,https://redscores.com/pt-br/match/union-santa-fe-central-cordoba/p6Ax9zB
México - Liga MX,22:00,Tigres UANL,Santos Laguna,1.3,6.0,9.0,https://redscores.com/pt-br/match/tigres-uanl-santos-laguna/9ExtX
México - Liga MX,22:00,Necaxa,Atlético San Luis,2.2,3.5,3.2,https://redscores.com/pt-br/match/necaxa-atletico-san-luis/yBAxofc
Albânia - Superliga,09:30,Bylis Ballsh,Partizani Tirana,,,,https://redscores.com/pt-br/match/partizani-tirana-bylis-ballsh/gmAxQmA
Albânia - Superliga,09:30,Vllaznia Shkodër,Vora,1.44,4.0,6.0,https://redscores.com/pt-br/match/vllaznia-shkoder-vora/imAxWmA
Albânia - Superliga,12:30,AF Elbasani,Teuta Durrës,1.72,3.2,4.5,https://redscores.com/pt-br/match/teuta-durres-af-elbasani/jmAx5LfA
Albânia - Superliga,15:00,Flamurtari,Egnatia Rrogozhinë,4.75,3.1,1.72,https://redscores.com/pt-br/match/flamurtari-egnatia-rrogozhine/lmAxcbI
Alemanha - 3. Liga,15:00,Waldhof Mannheim,Ulm,1.95,3.4,3.4,https://redscores.com/pt-br/match/ulm-waldhof-mannheim/kGxp4
Arábia Saudita - Pro League,11:25,Al Suqoor,Al Riyadh,,,,https://redscores.com/pt-br/match/al-riyadh-al-suqoor/HXcxuXc
Arábia Saudita - Pro League,12:00,Al Ettifaq,Damac,1.7,3.4,4.75,https://redscores.com/pt-br/match/al-ettifaq-damac/dvbxlXc
Arábia Saudita - Pro League,14:30,Al Nassr,Al Ittihad,1.61,4.1,4.33,https://redscores.com/pt-br/match/al-ittihad-al-nassr/zDxCU
Austrália - A-League,03:00,Wellington Phoenix,Melbourne Victory,3.6,3.9,1.9,https://redscores.com/pt-br/match/melbourne-victory-wellington-phoenix/VHxtp
Austrália - A-League,05:35,Macarthur,Perth Glory,2.1,3.75,3.2,https://redscores.com/pt-br/match/perth-glory-macarthur/5cxHwdA
Bélgica - First Division B,16:00,Liège,Lierse Kempenzonen,,,,https://redscores.com/pt-br/match/liege-lierse-kempenzonen/d2xHiaA
Bélgica - First Division B,16:00,Patro Eisden,KRC Genk II,1.4,4.33,6.5,https://redscores.com/pt-br/match/patro-eisden-krc-genk-ii/d0x5jEA
Chile - Primera Division,20:00,Audax Italiano,Univ. Concepción,2.25,3.25,3.2,https://redscores.com/pt-br/match/audax-italiano-univ-concepcion/4Ebx8KB
Colômbia - Liga BetPlay,20:20,Deportivo Pasto,Atlético Bucaramanga,3.5,2.75,2.3,https://redscores.com/pt-br/match/atletico-bucaramanga-deportivo-pasto/BGbxlNB
Colômbia - Liga BetPlay,22:30,Independiente Medellín,La Equidad,,,,https://redscores.com/pt-br/match/independiente-medellin-la-equidad/NCxEUb
Croácia - 1. HNL,14:00,Lokomotiva Zagreb,Gorica,2.0,3.1,3.4,https://redscores.com/pt-br/match/lokomotiva-zagreb-gorica/9NAxpfb
Egito - Premier League,12:00,El Gounah,Future FC,,,,https://redscores.com/pt-br/match/el-gounah-future-fc/BncxvKdA
Egito - Premier League,15:00,El Geish,Al Ittihad,2.45,2.7,3.3,https://redscores.com/pt-br/match/el-geish-al-ittihad/tnxSCb
Egito - Premier League,15:00,Petrojet,ENPPI,2.35,2.9,3.0,https://redscores.com/pt-br/match/enppi-petrojet/aEAxU2A
Hungria - OTP Bank Liga,13:45,Várda SE,Kazincbarcika,1.66,3.75,4.75,https://redscores.com/pt-br/match/varda-se-kazincbarcika/0vxEWb
Irlanda - Premier Division,16:45,Waterford United,Shelbourne,3.25,3.2,2.1,https://redscores.com/pt-br/match/shelbourne-waterford-united/ggxWl
Irlanda - Premier Division,16:45,Galway United,Drogheda United,2.0,3.1,3.7,https://redscores.com/pt-br/match/galway-united-drogheda-united/DCx3j
Irlanda - Premier Division,16:45,Derry City,Sligo Rovers,1.53,3.8,5.75,https://redscores.com/pt-br/match/sligo-rovers-derry-city/5hx9I
Irlanda - Premier Division,17:00,Shamrock Rovers,Dundalk,1.5,4.33,5.0,https://redscores.com/pt-br/match/shamrock-rovers-dundalk/mBxpK
