liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Turquia - Super Lig,10:00,Alanyaspor,Kocaelispor,2.05,3.2,3.8,https://redscores.com/pt-br/match/alanyaspor-kocaelispor/vCxGwB
Turquia - Super Lig,14:00,Başakşehir,Antalyaspor,1.5,4.1,6.5,https://redscores.com/pt-br/match/antalyaspor-istanbul-basaksehir/kAxv9
Turquia - Super Lig,14:00,Eyüpspor,Trabzonspor,5.0,4.0,1.61,https://redscores.com/pt-br/match/trabzonspor-eyupspor/IFx11
Brasil - Serie A,19:00,Palmeiras,Botafogo,1.55,3.9,6.25,https://redscores.com/pt-br/match/botafogo-palmeiras/7Xxd5
Brasil - Serie A,19:00,Bahia,Bragantino,1.95,3.4,4.0,https://redscores.com/pt-br/match/bahia-bragantino/KFxadb
Brasil - Serie A,19:30,Athletico PR,Cruzeiro,2.2,3.25,3.4,https://redscores.com/pt-br/match/cruzeiro-athletico-pr/i4xi5
Brasil - Serie A,20:00,Mirassol,Coritiba,1.7,3.5,5.5,https://redscores.com/pt-br/match/coritiba-mirassol/bvAxm9b
Brasil - Serie A,20:00,Atlético Mineiro,São Paulo,2.4,3.1,3.2,https://redscores.com/pt-br/match/atletico-mineiro-sao-paulo/F5xJ6
Brasil - Serie A,21:30,Santos,Internacional,2.3,3.2,3.2,https://redscores.com/pt-br/match/internacional-santos/gwxm9
Brasil - Serie A,21:30,Vasco da Gama,Fluminense,3.1,3.2,2.4,https://redscores.com/pt-br/match/vasco-da-gama-fluminense/MFx7I
Inglaterra - Championship,16:45,Southampton,Norwich,1.9,3.5,3.9,https://redscores.com/pt-br/match/norwich-city-southampton/QxcA
Inglaterra - League Two,17:00,MK Dons,Colchester,1.66,3.6,4.75,https://redscores.com/pt-br/match/colchester-united-milton-keynes-dons/GAxsC
Itália - Serie B,15:00,Frosinone,Bari 1908,1.45,4.2,7.0,https://redscores.com/pt-br/match/bari-1908-frosinone/jDxwCA
Itália - Serie B,16:00,Pescara,Virtus Entella,2.15,3.4,3.3,https://redscores.com/pt-br/match/pescara-virtus-entella/Alxfdb
Itália - Serie B,16:00,Carrarese,Sampdoria,2.55,2.87,3.0,https://redscores.com/pt-br/match/sampdoria-carrarese/rexJCb
Itália - Serie B,16:00,Avellino,Südtirol,2.87,2.87,2.75,https://redscores.com/pt-br/match/sudtirol-avellino/3bxj1A
México - Liga MX,23:07,Guadalajara,León,1.38,5.0,8.5,https://redscores.com/pt-br/match/guadalajara-leon/aDxT4b
África do Sul - Premier League,14:30,Golden Arrows,Stellenbosch,3.1,2.8,2.25,https://redscores.com/pt-br/match/golden-arrows-stellenbosch/pMx2Z
Argélia - Ligue 1,11:00,Ben Aknoun,MB Rouisset,1.7,3.1,5.0,https://redscores.com/pt-br/match/mb-rouisset-ben-aknoun/woMxEwt
Argélia - Ligue 1,18:00,JS Kabylie,JS Saoura,1.66,3.2,5.0,https://redscores.com/pt-br/match/js-kabylie-js-saoura/HRbxgKc
Argélia - Ligue 1,18:00,USM Alger,ES Sétif,1.53,3.2,6.5,https://redscores.com/pt-br/match/es-setif-usm-alger/Udx8Cb
Argélia - Ligue 1,18:00,CR Belouizdad,ASO Chlef,1.55,3.25,6.25,https://redscores.com/pt-br/match/aso-chlef-cr-belouizdad/baAxyZA
Colômbia - Liga BetPlay,18:10,Deportivo Pasto,Boyacá Chicó,1.53,3.6,7.5,https://redscores.com/pt-br/match/deportivo-pasto-boyaca-chico/lNBxs5B
Colômbia - Liga BetPlay,20:20,La Equidad,Deportivo Pereira,1.66,3.3,6.0,https://redscores.com/pt-br/match/deportivo-pereira-la-equidad/MGbxEUb
Colômbia - Liga BetPlay,21:30,Atlético Bucaramanga,Once Caldas,1.72,3.3,5.25,https://redscores.com/pt-br/match/once-caldas-atletico-bucaramanga/E7xBGb
Colômbia - Liga BetPlay,22:30,Deportivo Cali,Santa Fe,2.2,3.0,3.5,https://redscores.com/pt-br/match/deportivo-cali-santa-fe/b6xAlB
Coréia do Sul - K-League 1,07:30,Pohang Steelers,Seoul,3.0,3.1,2.3,https://redscores.com/pt-br/match/seoul-pohang-steelers/AFxvm
Coréia do Sul - K-League 1,07:30,Incheon United,Daejeon Citizen,2.35,3.2,2.8,https://redscores.com/pt-br/match/daejeon-citizen-incheon-united/1PAxO1A
Coréia do Sul - K-League 1,07:30,Jeonbuk Motors,Anyang,1.8,3.4,4.33,https://redscores.com/pt-br/match/jeonbuk-motors-anyang/W3xUEb
Coréia do Sul - K-League 1,07:30,Jeju United,Ulsan,3.0,3.2,2.25,https://redscores.com/pt-br/match/ulsan-jeju-united/wrAxVEb
Coréia do Sul - K-League 1,07:30,Bucheon 1995,Gangwon,3.4,2.9,2.2,https://redscores.com/pt-br/match/gangwon-bucheon-1995/h7AxU8A
Equador - Liga Pro,16:00,Macará,Delfin,1.66,3.3,5.5,https://redscores.com/pt-br/match/delfin-macara/EubxJkB
Equador - Liga Pro,18:30,Manta,Guayaquil City,1.95,3.4,3.5,https://redscores.com/pt-br/match/guayaquil-city-manta/LtAxMfB
Equador - Liga Pro,21:00,Libertad,Barcelona Guayaquil,,,,https://redscores.com/pt-br/match/barcelona-guayaquil-libertad/WDxJDEA
Irlanda do Norte - Premiership,16:45,Glentoran,Cliftonville,1.55,3.5,5.0,https://redscores.com/pt-br/match/glentoran-cliftonville/hgxGl
Malásia - Super League,11:00,Johor Darul Ta'zim,PDRM,1.02,19.0,41.0,https://redscores.com/pt-br/match/johor-darul-ta-zim-pdrm/JSxyaA
Paraguai - Division 1,18:30,Rubio Ñú,Cerro Porteño,4.5,3.1,1.75,https://redscores.com/pt-br/match/cerro-porteno-rubio-nu/24xTAA
Paraguai - Division 1,20:30,Guaraní,Deportivo Recoleta,1.72,3.25,4.2,https://redscores.com/pt-br/match/guarani-deportivo-recoleta/ZFcxZ4bA
Paraguai - Division 1,20:30,Libertad,Nacional Asunción,2.1,3.0,3.4,https://redscores.com/pt-br/match/nacional-asuncion-libertad/B6xb7b
Venezuela - Primera Division,16:30,Rayo Zuliano,Deportivo Táchira,4.5,3.6,1.61,https://redscores.com/pt-br/match/deportivo-tachira-rayo-zuliano/QHbxl7DA
Venezuela - Primera Division,18:30,Estudiantes Mérida,Carabobo,3.9,3.1,1.9,https://redscores.com/pt-br/match/carabobo-estudiantes-merida/1cbxFFb
Venezuela - Primera Division,19:30,Zamora Fútbol Club,Portuguesa,2.25,3.1,2.8,https://redscores.com/pt-br/match/zamora-futbol-club-portuguesa/fqbxhIc
Venezuela - Primera Division,20:30,Metropolitanos,Monagas,2.0,3.5,3.1,https://redscores.com/pt-br/match/monagas-metropolitanos/vvbxmBB
