id_jogo,liga,hora,home,away,link_confronto,odd_h,odd_d,odd_a
19387106,Brasil - Serie A,19:00,Palmeiras,Sport Recife,https://redscores.com/pt-br/match/sport-recife-palmeiras/rtxd5,,,1.33
19387104,Brasil - Serie A,21:00,Flamengo,Vitória,https://redscores.com/pt-br/match/flamengo-vitoria/Yixm5,,,1.22
19354704,Noruega - Eliteserien,14:00,Sarpsborg 08,Kristiansund,https://redscores.com/pt-br/match/kristiansund-sarpsborg-08/HhxTv,,,1.6
19347850,Suécia - Allsvenskan,14:00,Öster,Norrköping,https://redscores.com/pt-br/match/oster-norrkoping/Eyxc8,,,2.35
19347849,Suécia - Allsvenskan,14:00,GAIS,Mjällby,https://redscores.com/pt-br/match/mjallby-gais/WdxeO,,,2.3
19370490,Finlândia - Veikkausliiga,12:00,Haka,SJK,https://redscores.com/pt-br/match/sjk-haka/QGxkdb,,,3.7
19370486,Finlândia - Veikkausliiga,13:00,Gnistan,Oulu,https://redscores.com/pt-br/match/oulu-gnistan/LqAxenb,,,1.9
19362171,Argentina - Superliga,15:00,Deportivo Riestra,Sarmiento,https://redscores.com/pt-br/match/sarmiento-deportivo-riestra/zubx94B,,,2.05
19362175,Argentina - Superliga,17:00,Godoy Cruz,Vélez Sarsfield,https://redscores.com/pt-br/match/velez-sarsfield-godoy-cruz/lubxD7b,,,2.4
19362165,Argentina - Superliga,19:00,Belgrano,Central Cordoba,https://redscores.com/pt-br/match/belgrano-central-cordoba/7ZAx9zB,,,2.2
19362166,Argentina - Superliga,19:15,Estudiantes,Aldosivi,https://redscores.com/pt-br/match/estudiantes-aldosivi/bPbx2Tb,,,1.7
19362174,Argentina - Superliga,21:15,Lanús,River Plate,https://redscores.com/pt-br/match/lanus-river-plate/6Tbx8Ub,,,3.1
19377661,China - Super League,09:00,Beijing Guoan,Wuhan Three Towns,https://redscores.com/pt-br/match/beijing-guoan-wuhan-three-towns/H4xMhbA,,,1.44
19360715,Argentina - Primera B Nacional,21:05,All Boys,San Martín Tucumán,https://redscores.com/pt-br/match/all-boys-san-martin-tucuman/6gbxpub,,,3.1
19391092,Brasil - Serie B,19:00,Botafogo SP,Vila Nova,https://redscores.com/pt-br/match/botafogo-sp-vila-nova/VAxXgB,,,2.8
19391087,Brasil - Serie B,21:30,Avaí,Amazonas,https://redscores.com/pt-br/match/avai-amazonas/bWAxvgBA,,,
19394410,Brasil - Serie C,19:30,CSA,Ponte Preta,https://redscores.com/pt-br/match/csa-ponte-preta/cbAxNBA,,,1.95
19394404,Brasil - Serie C,19:30,Guarani,Confiança,https://redscores.com/pt-br/match/guarani-confianca/g9xUiB,,,2.1
19444375,Colômbia - Liga BetPlay,20:00,Boyacá Chicó,Deportivo Cali,https://redscores.com/pt-br/match/deportivo-cali-boyaca-chico/b6xs5B,,,2.7
19371721,Equador - Liga Pro,21:00,Orense,Delfin,https://redscores.com/pt-br/match/delfin-orense/EubxtGu,,,2.05
19363663,Islândia - Pepsideild,15:00,KR,Stjarnan,https://redscores.com/pt-br/match/kr-stjarnan/Fkbxjkb,,,1.9
19438651,Lituânia - A Lyga,13:00,FA Šiauliai,Sūduva,https://redscores.com/pt-br/match/suduva-fa-siauliai/lRAx2wbA,,,2.25
19471189,Paraguai - Division 1,18:30,Libertad,Guaraní,https://redscores.com/pt-br/match/libertad-guarani/b7bxZFc,,,1.95
19352221,Suécia - Superettan,14:00,Örebro,Umeå,https://redscores.com/pt-br/match/orebro-umea/7KxMRA,,,1.83
19352215,Suécia - Superettan,14:00,Falkenberg,Sandviken,https://redscores.com/pt-br/match/falkenberg-sandviken/50xzSB,,,2
19352216,Suécia - Superettan,14:00,GIF Sundsvall,Oddevold,https://redscores.com/pt-br/match/oddevold-gif-sundsvall/PlbxOob,,,2.25
19352218,Suécia - Superettan,14:00,Trelleborg,Landskrona,https://redscores.com/pt-br/match/landskrona-trelleborg/bExKY,,,2.4
