liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,16:30,Arsenal,Brentford,1.36,5.0,8.5,https://redscores.com/pt-br/match/arsenal-brentford/Jx2B
Inglaterra - Premier League,16:30,Brighton,Aston Villa,2.1,3.4,3.5,https://redscores.com/pt-br/match/aston-villa-brighton-hove-albion/HxIA
Inglaterra - Premier League,16:30,Burnley,Crystal Palace,4.5,3.9,1.72,https://redscores.com/pt-br/match/burnley-crystal-palace/Nx0
Inglaterra - Premier League,16:30,Wolves,Nottingham,3.2,3.3,2.3,https://redscores.com/pt-br/match/wolverhampton-wanderers-nottingham-forest/OxbA
Inglaterra - Premier League,17:15,Leeds,Chelsea,4.0,3.9,1.83,https://redscores.com/pt-br/match/chelsea-leeds-united/jxfA
Inglaterra - Premier League,17:15,Liverpool,Sunderland,1.36,5.5,7.0,https://redscores.com/pt-br/match/sunderland-liverpool/Bxe
Espanha - La Liga,15:00,Athletic Club,Real Madrid,4.33,3.9,1.75,https://redscores.com/pt-br/match/real-madrid-athletic-club/15xKrB
Brasil - Serie A,19:00,Fortaleza,Corinthians,1.8,3.5,4.75,https://redscores.com/pt-br/match/corinthians-fortaleza/8cxl8
Brasil - Serie A,19:00,Bragantino,Vitória,1.95,3.4,4.1,https://redscores.com/pt-br/match/vitoria-bragantino/m5xadb
Brasil - Serie A,19:30,Juventude,Santos,5.0,3.7,1.72,https://redscores.com/pt-br/match/juventude-santos/Yxm9
Brasil - Serie A,20:00,São Paulo,Internacional,2.75,3.1,2.75,https://redscores.com/pt-br/match/internacional-sao-paulo/gwxJ6
Brasil - Serie A,20:00,Bahia,Sport Recife,1.22,6.5,12.0,https://redscores.com/pt-br/match/bahia-sport-recife/KFxrt
Brasil - Serie A,21:30,Atlético Mineiro,Palmeiras,,,,https://redscores.com/pt-br/match/palmeiras-atletico-mineiro/d5xF5
Brasil - Serie A,21:30,Flamengo,Ceará,,,,https://redscores.com/pt-br/match/flamengo-ceara/YixkIB
Escócia - Premiership,16:45,Dundee United,Rangers,4.1,3.8,1.8,https://redscores.com/pt-br/match/rangers-dundee-united/AAxtc
Escócia - Premiership,16:45,Celtic,Dundee,1.11,9.5,19.0,https://redscores.com/pt-br/match/celtic-dundee/2xuc
Escócia - Premiership,16:45,Aberdeen,St. Mirren,2.2,3.3,3.25,https://redscores.com/pt-br/match/aberdeen-st-mirren/Ocxee
Escócia - Premiership,16:45,Hearts,Kilmarnock,1.4,4.33,8.0,https://redscores.com/pt-br/match/kilmarnock-hearts/7bxEC
Escócia - Premiership,16:45,Falkirk,Motherwell,2.62,3.3,2.62,https://redscores.com/pt-br/match/motherwell-falkirk/cCxtg
Escócia - Premiership,16:45,Livingston,Hibernian,,,,https://redscores.com/pt-br/match/hibernian-livingston/CAxhc
Áustria - Tipico Bundesliga,16:30,Sturm Graz,WSG Tirol,1.65,3.75,5.25,https://redscores.com/pt-br/match/sturm-graz-wsg-tirol/b4x3CA
África do Sul - Premier League,14:30,TS Galaxy,Marumo Gallants FC,1.9,3.0,3.9,https://redscores.com/pt-br/match/marumo-gallants-fc-ts-galaxy/URtxjoaA
África do Sul - Premier League,14:30,Magesi,Sekhukhune United,3.0,2.75,2.4,https://redscores.com/pt-br/match/magesi-sekhukhune-united/sJcxKTdA
África do Sul - Premier League,14:30,Stellenbosch,Polokwane City,1.8,2.8,5.0,https://redscores.com/pt-br/match/stellenbosch-polokwane-city/2ZxhOB
África do Sul - Premier League,14:30,Siwelele,Mamelodi Sundowns,6.5,3.1,1.55,https://redscores.com/pt-br/match/mamelodi-sundowns-siwelele/WzAxYqGA
África do Sul - Premier League,14:30,Orbit College,Durban City,3.1,2.7,2.35,https://redscores.com/pt-br/match/orbit-college-durban-city/vTFAxOugA
África do Sul - Premier League,14:30,Chippa United,Kaizer Chiefs,4.75,3.0,1.75,https://redscores.com/pt-br/match/kaizer-chiefs-chippa-united/uUxCTB
Albânia - Superliga,12:30,Teuta Durrës,AF Elbasani,2.25,2.9,3.0,https://redscores.com/pt-br/match/teuta-durres-af-elbasani/jmAx5LfA
Albânia - Superliga,12:30,Partizani Tirana,Bylis Ballsh,2.1,3.1,3.25,https://redscores.com/pt-br/match/partizani-tirana-bylis-ballsh/gmAxQmA
Albânia - Superliga,15:30,Dinamo Tirana,Tirana,1.61,3.4,5.0,https://redscores.com/pt-br/match/tirana-dinamo-tirana/ImAxKmA
Bolívia - Liga De Futbol Prof,16:00,Blooming,ABB,1.22,5.5,11.0,https://redscores.com/pt-br/match/blooming-abb/c3AxyseA
Bolívia - Liga De Futbol Prof,19:00,Real Tomayapo,Oriente Petrolero,2.45,3.5,2.55,https://redscores.com/pt-br/match/oriente-petrolero-real-tomayapo/AGbxDTdA
Bolívia - Liga De Futbol Prof,21:00,Wilstermann,Real Oruro,,,,https://redscores.com/pt-br/match/wilstermann-real-oruro/u6xmGfA
Egito - Premier League,15:00,Kahraba Ismailia,Pyramids FC,9.5,4.2,1.3,https://redscores.com/pt-br/match/kahraba-ismailia-pyramids-fc/Gncxnnc
Eslováquia - Fortuna Liga,14:00,Podbrezová,Spartak Trnava,3.3,3.6,2.05,https://redscores.com/pt-br/match/podbrezova-spartak-trnava/2WxZ2
